,Account_Enquiry,Cancellation,Checkout Issue,Color,Giftcard_Issues,Layaway Query,Manufacturer Information,Material,Order_Assistance,Order_Issue,Payment Issues,Plan Device Upgrae,Price Match,Price _Enquiry,Product Comparison,Product Details,Product Inventory,Promotions/Deals/Discounts,Return Policy,Rewards,Shipping Inquiry,Size-Shape,Store_Pickup_Queries,System Issue,Warranty Enquiry
Product Details,-1.3181446007,-1.11647531877,-1.16555720235,-1.19882008293,-1.61250132762,-1.40223546905,-0.655970613459,-1.22880271946,-1.34710866996,-0.845642434147,-1.5006776755,-1.14307108193,-0.950531529269,-1.51189748116,-1.16521094074,-0.279693495714,-0.675406426418,-0.990301730051,-1.23023841784,-1.67490634675,-1.4308445389,-0.764050076093,-1.40711503658,-1.12302505786,-1.25968420452
Shipping Inquiry,-1.40284109037,-1.07811141897,-1.24657174255,-1.46981846806,-1.42960136875,-1.57559790145,-1.2088104019,-1.31715071548,-0.819702791249,-1.08150956877,-1.91192913808,-1.23535465693,-1.71434366672,-0.821503579939,-1.40883524896,-0.306732866064,-1.00832557079,-1.43069407636,-1.55223569864,-1.48983456655,-0.0339424171056,-1.81193842995,-0.97364835737,-1.1152949763,-1.17007501719
Product Details,-1.17675834856,-1.26466534585,-1.29671678618,-1.15565930019,-1.20333279365,-1.1365822268,-1.10086240238,-1.1119776313,-1.46553840367,-1.18542412676,-1.33191113977,-1.1578761201,-1.02802592204,-1.33977441668,-1.11684260101,-0.332855474947,-0.447718447638,-0.783738483538,-1.22958359585,-1.32863469623,-1.19335199016,-1.13923418861,-1.14558306609,-1.10597594967,-1.21722132339
Return Policy,-1.12867161346,-1.08783252998,-1.10821031419,-1.1349285414,-1.30796272003,-0.98620052547,-1.01968688636,-0.976164599553,-0.991874488921,-0.67084320391,-1.39264829511,-1.02260972401,-1.10334921858,-1.20530502936,-1.14614254206,-0.989886877101,-0.571257689158,-0.860953371839,-0.122086626081,-1.38619790622,-2.20788854027,-0.857582817497,-0.887122184166,-1.06127236768,-1.06348824384
Promotions/Deals/Discounts,-1.49660129602,-1.02731477384,-0.999401750823,-1.16500619313,-1.02969497596,-1.92306143233,-1.19646145901,-1.17542931364,-1.88754930761,-1.49576021514,-1.13788295526,-1.10014285728,-1.06517374876,-0.986188914343,-1.12808754533,-1.16679971435,-2.0300784333,1.15788945787,-1.50048113233,-1.20365156188,-2.09294792159,-1.62061302039,-2.26824907228,-1.08485061185,-1.00797257108
Payment Issues,-1.31775816905,-1.07220480137,-0.940424317304,-1.12475863673,-0.944177956936,-1.38891732421,-1.07922984219,-1.06622416595,-0.873270491163,-1.44666046529,0.398738198182,-1.10893164458,-1.68624025599,-1.596382716,-1.05325397429,-1.51926213683,-1.11097943059,-0.714319765322,-0.994282069913,-1.37050899168,-1.87437886007,-1.26197429024,-2.33919886117,-1.1323743704,-1.02802714609
Size-Shape,-1.19876316392,-1.09326881103,-1.07669286324,-0.991651243925,-1.29984951054,-1.32499836118,-1.08605453268,-0.981384926418,-1.37552914693,-1.54215196225,-1.16906117133,-1.05082416313,-1.3262403366,-1.0466121111,-1.05778381011,-1.04858399584,-0.868088720134,-1.06410614375,-1.1659042426,-1.19166104891,-1.29838485471,0.775595262774,-1.68679240561,-1.06548871079,-1.05648177811
Product Inventory,-1.31167268598,-1.11782716307,-1.15223203622,-0.843123634043,-1.56156905714,-1.22050429187,-1.13585892804,-0.717645152346,-1.00029692885,-1.96543571847,-1.53013452511,-1.07030036122,-1.23826898499,-1.43746456922,-1.01943408355,-0.38615039992,-0.219769321572,-0.754839761676,-1.19807448261,-1.30381681224,-0.46185366897,-0.915549207381,-2.08029062712,-1.0780642725,-1.05949484546
Payment Issues,-0.945953763576,-0.993668854022,-0.983798759924,-1.07627114318,-1.15125798569,-1.17464072831,-0.844107142194,-0.990534251807,-1.18233827004,-0.981802036611,-0.815173030296,-0.925791726418,-0.888552322473,-0.941721328125,-0.951329659484,-1.06639445856,-1.17638780523,-0.867236018057,-0.837773714722,-1.75526762883,-1.14892768131,-1.06029537989,-1.53536546923,-1.09016024129,-1.01108574433
Cancellation,-1.2130839838,1.19535185717,-1.12258952889,-1.14464034641,-1.48119749625,-1.72004680747,-1.1371797313,-1.13518415069,-1.24983241066,-1.8646413511,-1.15692624507,-1.08602970877,-1.32442126874,-1.38810262662,-1.14964790418,-1.17863307169,-1.0274677104,-0.98083898452,-1.32015637075,-1.48772976817,-1.47399007529,-1.20195530073,-0.604193043291,-1.08001931661,-1.15171628851
Order_Issue,-0.852297710253,-1.06866082084,-0.995053298599,-1.18611863128,-1.17953478739,-0.982810866611,-1.04803448927,-1.03543113891,-0.840846363945,-0.14059145052,-1.31515452916,-1.05530660925,-1.18286112788,-1.19962470819,-1.04957609719,-1.29558116836,-1.05171276526,-1.01218996057,-0.824015795726,-1.44914780233,-1.37100160404,-1.34467736391,-0.936536877804,-1.08305887615,-1.00603723692
Order_Issue,-0.722156254364,-0.364883616346,-1.19918995422,-1.23108067852,-1.08009588642,-1.21458675299,-1.19736111143,-1.13059833692,-1.41220347603,0.274068183118,-1.41910083382,-1.4448283728,-1.75656308172,-1.28145186169,-1.22049201177,-1.14774880855,-1.64992252631,-0.920713496965,-1.03162934587,-1.43774886101,-1.44403461985,-0.721838100054,-1.258701943,-1.1798695829,-1.24622340132
Promotions/Deals/Discounts,-1.63197189728,-1.22507560398,-1.21596265525,-1.24537821546,-1.20134547028,-1.45646193482,-1.18607889978,-1.28459425209,-1.63176330815,-2.25853191379,-0.898023386575,-1.42137072698,-1.04707844408,-1.15115353817,-1.22535672134,-1.21320272354,-1.57464930808,0.333153278674,-1.62470859747,-1.47032920427,-1.60851583913,-1.93585524121,-0.307628015285,-1.23208579697,-1.16536888962
Giftcard_Issues,-1.58729405872,-1.14970450548,-1.25594379097,-1.33014522831,0.483237961496,-1.70517019743,-1.28594453473,-1.27403033761,-0.96662026232,-1.25411385997,-1.60537360102,-1.30557953355,-1.31061277971,-1.44880726994,-1.21938997424,-1.24634635344,-0.821400006603,-1.44140307574,-1.34403620421,-1.04687802171,-1.21029382499,-1.75183308975,-0.863631430167,-1.17500988863,-1.16728756551
Product Details,-1.06518631008,-1.33976315954,-1.2666979903,-1.24490101534,-1.45621280305,-1.62895488176,-0.704950799829,-1.14644670169,-1.16296924004,-1.07090512174,-0.991765944352,-0.948671080107,-1.45508113798,-1.15054270646,-1.44196191685,0.230142011558,-0.380483003816,-0.819208352618,-1.59653710492,-1.52075623879,-1.82334090206,-1.8985503895,-2.03928730441,-1.24326592281,-1.20710190158
Rewards,-1.07609237082,-1.23849967589,-1.03352190404,-1.21402542811,-1.61663464551,-1.22187070965,-1.180318908,-1.10843738132,-1.25740981169,-1.62940728522,-0.80213059329,-1.07625199027,-0.885715696867,-1.31950313864,-1.00697556554,-0.994972802048,-1.58198544019,-0.0266668474557,-1.35164507561,0.283048227055,-2.42748844452,-0.906285449618,-2.34740663713,-1.03720983543,-1.0052500997
Layaway Query,-1.00944042899,-1.03394075064,-1.10697085608,-1.19900169406,-1.20675786248,0.167872457345,-1.06827391733,-1.11526364448,-0.642501866707,-0.666477491689,-1.66746288516,-1.19251248672,-1.00450134911,-1.46887622127,-1.22754402444,-1.510899108,-1.23249173508,-1.2669914406,-1.26207860341,-1.21658237018,-1.1764404053,-1.43325502863,-1.21382809966,-1.12058233758,-1.12746966201
Product Inventory,-0.87403281194,-1.16570689705,-1.01119361227,-1.05815890795,-1.1829461152,-1.32450011694,-0.70399867093,-0.95992372974,-0.925899366121,-0.871726534535,-1.09642905722,-0.976308449176,-1.32643078049,-1.03706119862,-1.10682140596,-0.76551756734,-0.281573552579,-1.05229831497,-1.27662355314,-0.905659422494,-1.56162168721,-1.09214379511,-1.23082484891,-0.99861329062,-1.12123160637
Promotions/Deals/Discounts,-1.32198828041,-1.50009679398,-1.37520608917,-1.51437235358,-1.17049407781,-1.41121070812,-1.24373072162,-1.40728909875,-1.68994359666,-2.00499094319,-1.9817182248,-1.23752741164,-1.10997131906,-0.324301091736,-1.17864367112,-1.09087637546,-1.67236832723,0.410244769018,-1.74764822993,-1.71825003015,-1.69986092238,-1.36380258857,-1.54031322684,-1.16772689195,-1.18993013228
Color,-1.07998801663,-1.01510188312,-1.05413973458,0.0514064621164,-1.44320147293,-1.0294860738,-1.07393702334,-1.01426295269,-0.738744915989,-1.09507149631,-1.2734559151,-1.06149180941,-1.22856611812,-1.58218371997,-0.829193253944,-0.351649923233,-1.07541915555,-0.962481307485,-0.867573667657,-1.50264822255,-1.45920354549,-1.14841504019,-1.36229635616,-1.02428407291,-1.13411256367
Order_Issue,-1.1844247411,-1.31953600036,-1.05983995706,-1.24262007407,-1.5251129258,-1.74167717353,-1.21474909417,-1.13308057975,-0.577195974104,0.235078463542,-1.35505642609,-1.2254960006,-1.14781441459,-1.34248576634,-1.19305116515,-1.22696311585,-1.5958340899,-0.972300097527,-1.58394808046,-0.830034102504,-1.22584431306,-1.52275880992,-1.33930424098,-0.943013075882,-1.14892117068
Rewards,-1.45170225389,-1.22994443474,-1.07823458309,-1.24559103518,-1.61469567007,-1.34466918838,-1.06758426359,-1.13081443892,-0.913580623181,-0.915504023193,-0.934579014565,-1.23035365091,-1.2614276043,-1.32566894456,-1.14073038348,-1.54578463003,-1.4146741518,-1.71794772595,-1.51101525835,0.548677615245,-1.15325351185,-1.20221883729,-1.91612743774,-1.1597964455,-1.25878560874
Price _Enquiry,-1.31573984592,-1.22151895477,-1.11657201329,-1.34192665759,-1.63613180299,-1.48085118129,-1.10158465872,-1.11772129819,-1.16201214643,-2.63905644355,-1.18657414919,-1.06516357124,-0.703986454567,0.198604806864,-1.09668927017,-0.689101123033,-1.30455874974,-0.765029635831,-1.41984551721,-1.36177499285,-1.92813567943,-1.34053945796,-1.16709903819,-1.13981467155,-1.20358713175
Return Policy,-1.61497567227,-1.46830309125,-1.39703313103,-1.43254441451,-1.38490367034,-1.31728396276,-1.33447447495,-1.32849400428,-1.44731607739,-1.26069767906,-1.33407117211,-1.37665171107,-1.65482584773,-1.21834827194,-1.47685878066,-1.27078765082,-0.860297755151,-1.61734395344,0.175606869018,-1.2646574912,-0.800850296848,-2.49252160467,-0.342631782507,-1.18883495679,-1.32492502092
Manufacturer Information,-0.99968464931,-0.98235050482,-1.01156918062,-0.97617547462,-1.43506922483,-1.15206214979,0.247771409,-1.02534911529,-1.099092263,-1.07665180168,-1.53341552154,-1.00245636272,-1.24014359009,-0.718726875982,-0.992187916548,-1.26146438316,-1.61409021456,-1.24825792707,-0.244138412004,-1.32727370615,-1.14411793501,-0.588697689132,-1.70118377495,-1.03953737371,-1.03878149481
Shipping Inquiry,-0.915799119789,-1.08945599338,-0.940135535478,-1.15016362887,-1.30915955481,-1.6653950922,-1.18234028267,-1.19319207245,-0.205065847308,-0.805102544951,-1.5626709776,-1.15308740124,-1.00773870443,-1.23156345705,-1.02674532882,-1.48898831849,-1.82723369534,-1.05223600627,-1.61076153755,-1.11608737896,0.160688718728,-1.32280650193,-1.7128416928,-0.887788346189,-1.10929147671
Return Policy,-1.09992070896,-1.12959674718,-1.05491393112,-1.14831908623,-1.43673387504,-1.09879323852,-1.18167184699,-1.07474428477,-1.45969708766,-2.31082673694,-1.84087577829,-1.13969689349,-0.796058323881,-1.54397208978,-1.09477485427,-1.1979503503,-1.30473325112,-1.05398184702,0.653014154073,-1.35408934767,-1.64597784938,-1.30493426997,-1.56306133683,-1.06477688978,-1.04738369805
Product Details,-0.983390253608,-1.1805604486,-1.20024230758,-1.12781702726,-1.31949143519,-1.26331541274,-1.09229734666,-0.976953611874,-0.89713978257,-1.28754093158,-1.13240101948,-1.24642412457,-1.27406453268,-1.1938665101,-1.13411400762,0.141568603878,-0.714005338439,-1.70166225686,-1.25969010635,-0.920925855742,-1.63779942648,-1.48102404706,-1.95263324875,-1.05275218097,-1.14700290119
Rewards,-1.61129448328,-1.42617935098,-1.19689104227,-1.12816598765,-1.51372607034,-1.71419846537,-1.28609410137,-1.06459334248,-1.43559703569,-2.03275784335,-1.23462517703,-1.06440905184,-1.71037863168,-1.42712433433,-1.21337753004,-1.92851328623,-2.06778970312,-1.16493813207,-1.24931336725,1.63531799687,-1.75587532849,-1.33640122134,-2.20074920258,-1.18872370675,-1.18756788207
Product Inventory,-1.26435867956,-1.1299182991,-1.14070608922,-1.41806679699,-1.83126128823,-0.153846446299,-1.14916012295,-1.34023095293,-1.26157580603,-1.42600367621,-1.92799548495,-1.16658436887,-1.82864017757,-1.1384927097,-1.17703414089,-1.62878258359,0.0730843166144,-1.5716438208,-1.8245698923,-0.914091179889,-1.22601673406,-1.24630887529,-1.20769526945,-1.03702184986,-1.14330924682
Product Inventory,-0.983221223514,-1.01577772155,-0.943063133952,-1.10998726474,-0.926797147673,-1.28753209594,-1.04202843719,-1.21328619878,-1.54437368056,-2.49725209983,-1.58118821718,-1.17456156786,-1.34314876047,-1.67067693973,-1.07688278999,-1.1864189808,0.389318989731,-1.44333364865,-1.31835386594,-1.03111083955,-1.9250187059,-1.44463324229,-0.31369462023,-0.934765528094,-1.31775674588
Product Details,-1.10925388125,-1.06644588172,-1.06053881182,-1.04961063766,-1.21567646243,-0.686068447952,-0.935742885828,-1.15699549444,-1.24135447401,-0.9123030396,-1.10381792836,-1.07024751999,-1.07817391586,-0.887701335217,-0.96689754935,-0.51566317975,-0.967141693191,-1.33533780435,-1.23680171817,-1.08517664413,-0.581012416517,-0.712696636927,-0.977476953145,-1.10758597989,-1.0060273958
Shipping Inquiry,-1.01710877974,-1.26310270122,-1.0779982222,-1.20459686056,-0.988051986926,-1.27163670239,-1.06634242289,-1.09253346615,-1.19273211464,-1.29288905594,-1.32883633344,-1.25125926438,-1.78772023827,-1.75769607682,-1.3465918144,-1.5039406713,-1.74609223275,-1.48599832843,-0.788283996145,-1.09473821196,0.250039315318,-1.47232885205,-0.775379877944,-1.13160864185,-1.07930332499
Store_Pickup_Queries,-1.92932563942,-1.56842645001,-1.46415073854,-1.29222633804,-1.59076721645,-1.98999743213,-1.45308806469,-1.48616405176,-1.00296904872,-3.2619591103,-1.28559484711,-1.33330895079,-1.29621435276,-1.57244033568,-1.55396687268,-1.91433685682,-0.527610205936,-1.33467921918,-1.26190720618,-1.58229738164,0.0306074365529,-1.80246844136,0.466977527191,-1.30801547696,-1.30006534762
Shipping Inquiry,-1.53506756009,-1.29459259099,-1.26764470365,-1.62258574186,-2.01620114703,-1.19564169318,-1.28484253449,-1.6095275123,-0.55142254648,-1.20851873041,-1.6215638865,-1.41761602483,-1.48208936054,-1.0532756894,-1.45709393537,-1.53861510294,-0.537572828603,-2.34454046192,-1.53380512698,-0.998908696488,-0.306697760918,-1.87328361435,-0.415691503517,-1.16489129503,-1.32043022731
Product Details,-1.40189413976,-1.39841707675,-1.37479137639,-1.50919941617,-1.53382343954,-1.39224397429,-1.19069412844,-1.46884356933,-1.47251743961,-1.62897147067,-1.39342296096,-1.10920545996,-1.081337903,-1.1279365099,-1.12134354215,0.361673334448,-0.989065978222,-0.798535419021,-1.30197571185,-1.12807610864,-1.11196652321,-1.00995266028,-0.625789297253,-1.16732199953,-1.15318679415
Store_Pickup_Queries,-1.22923484025,-1.24337042462,-1.21723520674,-0.580113357303,-1.40068367539,-1.19020662758,-1.18276294937,-1.25593406054,-0.488163169686,-2.63066721476,-1.31360858254,-1.11131672442,-1.42563250837,-1.715614396,-1.12878674228,-1.80461182534,-0.298814852233,-0.890080828828,-1.32208570562,-1.67415052048,-1.04713581092,-1.39196583073,-0.0176020560901,-1.08194806235,-1.066691508
Product Details,-1.40903519641,-1.26803578932,-1.27059619016,-0.893740617025,-1.12342070628,-1.23640109843,-1.47429852526,-1.31357768293,-1.65585739637,-0.16187195743,-1.53991252161,-1.30006506217,-1.36131853924,-1.43464366384,-1.44648703477,0.215093282621,-1.52732477404,-1.62398832409,-0.946827766758,-1.51980645212,-1.81749678293,-1.37646728798,0.0479516479478,-1.25979817288,-1.17896594641
Order_Issue,-1.39501454463,-1.25250366843,-1.1232653533,-1.14023367453,-1.15933873371,-1.42228605296,-1.12215922549,-1.20792302178,-1.37961482708,0.342364519087,-0.781092561659,-1.11581258226,-1.35501382484,-1.01406125009,-1.26901837339,-1.83420505495,-1.23340382232,-1.65661032644,-1.20870407138,-1.27856262394,-0.837194588681,-1.4463124528,-0.254267158159,-1.16146860653,-1.10527957239
Product Inventory,-0.877898294927,-1.16755523994,-0.949741180526,-1.04338889608,-1.39376845918,-1.1109193732,-1.35995444426,-0.947504398652,-0.972466261051,-2.06706395157,-1.48055507593,-1.05971411522,-0.69230325402,-1.23146418538,-0.853004035549,-0.823527626181,-0.372797127007,-1.09499024422,-1.23642129608,-1.364216642,-1.21916644944,-1.40899409435,-0.778998117006,-0.996869329681,-1.00475944882
Order_Issue,-1.5757727218,-1.13810227755,-1.09650112207,-1.19636042733,-1.30414902168,-1.08867368504,-1.02677682027,-1.21557921092,-1.03420697102,-0.508080771786,-0.79137473679,-1.57828854726,-1.0755290141,-0.902609311296,-1.24944901933,-0.534428913292,-0.68530845839,-0.971718310358,-1.39739735688,-1.41581524684,-0.616073608995,-1.33595410048,-1.40205069288,-1.19730965068,-1.18356530497
Product Inventory,-1.25701467383,-1.14492879133,-1.19186449923,-0.935554935074,-1.33205508502,-1.22892103918,-1.09342868581,-0.995923238706,-1.55931306222,-1.2305114163,-0.433250264753,-1.17793595403,-0.427495128433,-0.974813516465,-0.930641564206,-1.88358671599,0.349338109562,-0.90860394066,-1.55194977143,-1.49439197673,-1.23762049435,-0.641123326407,-1.46382748886,-1.12641397507,-1.10497192673
Warranty Enquiry,-0.929055769135,-1.11017020435,-1.05527911009,-1.07634581394,-1.46304901685,-1.32208890609,-1.19923249307,-1.10763608337,-1.33611657924,-1.17636151304,-1.18817860724,-1.06405758195,-1.39906746811,-0.978019849131,-1.26755330262,-0.866619008783,-1.57338388918,-0.89392818771,-0.891349788341,-1.53942231495,-1.75541376196,-1.58827311245,-1.41205425726,-1.09663329325,2.02216425044
Product Details,-1.41648398346,-1.11834477473,-1.09667227696,-1.11796269526,-1.65185317926,-1.20765761133,-1.15580022132,-0.930086413488,-1.10707094258,-1.27607805211,-1.21744867921,-1.12627907867,-1.23557590186,-1.06953174446,-0.863521094404,-0.298018513573,-0.7408679606,-0.627782585886,-1.13107104853,-1.27273729614,-0.973515677775,-0.931005564424,-1.24099301075,-1.01431479515,-0.946649380278
Shipping Inquiry,-1.51246801184,-1.19157508855,-1.2659264316,-1.27540692164,-1.64418259372,-1.34500240256,-0.980576756419,-1.15866864965,-0.6975093165,-0.533490434356,-0.935236939549,-1.16392363657,-1.22181628251,-1.31747228394,-0.992504312793,-0.775183032719,-0.999946590843,-1.04404957422,-1.46605227034,-1.69510557657,-0.141387462674,-1.2535999077,-2.25105129342,-1.08358427824,-1.21634284872
Giftcard_Issues,-1.90943924285,-1.21586991661,-1.45210787599,-1.58008335901,0.961037012693,-1.54313840122,-1.42272016468,-1.38888000899,-1.83177548596,-0.292768631612,-1.2369373412,-1.33343384217,-1.68127325903,-1.14410902951,-1.48733284781,-1.20513470054,-1.11964511561,-1.86446693597,-1.57328981573,-1.31851026137,-1.86312584852,-1.92368198563,-1.18159125323,-1.23366887797,-1.18070373119
Store_Pickup_Queries,-1.73317376284,-1.56305165503,-1.36875376398,-1.4430948865,-0.988039812437,-1.46519378281,-1.43616402945,-1.13806708376,-1.17663662182,-4.00119487537,-1.43514299201,-1.26197136621,-0.821595758585,-0.838666027009,-1.50342659168,-1.20461293517,-0.86132297088,-1.94538016976,-1.72683777641,-1.72399194964,-1.58490422175,-1.81311070073,1.00609996171,-1.29172505667,-1.47688747574
Product Details,-0.949992647319,-1.16899961312,-1.1580091537,-1.11457228761,-1.75992381308,-1.33480682786,-1.086672502,-1.03431261195,-0.68343137206,-1.0595525241,-1.39632516022,-0.958626808244,-1.186296246,-0.724566839,-1.38600724743,0.0310612219501,-0.568780040253,-0.931196448507,-1.41116859456,-1.49185722288,-1.43812393966,-1.41499408035,-1.94297602407,-1.10661667366,-1.01029567993
Promotions/Deals/Discounts,-1.20580520046,-1.54825581933,-1.34120131613,-1.22379814714,-0.831272498142,-1.51656449248,-1.12045110799,-1.18075451594,-1.77058591591,-1.17514711881,-1.79451799721,-1.08672986272,-1.36172800867,-1.05595558569,-1.16109557859,-1.26490193386,-1.20244660523,0.730751381368,-1.68812058399,-2.17478044931,-1.57686405171,-1.50971764809,-1.62776295382,-1.17489764019,-1.05196740836
Payment Issues,-1.36499144216,-1.23389990006,-1.16229344283,-1.02559390928,-1.68338225582,-1.44551553802,-1.0938053443,-0.808388214557,-1.31769922602,-1.39225212383,-0.452346071872,-1.18433320466,-1.40421767097,-1.01405967437,-1.06530374706,-0.558911364054,-0.553684748274,-0.993608591405,-1.14326571041,-1.32388673039,-1.1123994895,-0.987683926221,-1.84409719854,-1.18422168219,-1.11062257761
Shipping Inquiry,-1.47318278931,-1.20007346304,-1.24798230187,-1.26713721041,-1.2000817356,-1.3191802505,-1.20568980547,-1.27157810723,-1.9336250657,-1.0187636996,-1.42884333363,-1.07753447415,-1.68802975441,-1.45016866182,-1.2054517088,-0.9877950904,-1.21942446865,-1.21249794068,-1.58724223163,-1.51001777086,0.376130375952,-1.61380393605,-1.1297450177,-1.19456247123,-1.12072175081
Promotions/Deals/Discounts,-1.60345840804,-1.49932269371,-1.28575319873,-1.45395269242,-0.689432701342,-1.34057870588,-1.22562439612,-1.26533184838,-1.18214534483,-0.550197530987,-1.05030384895,-1.31485318846,-0.805140262367,-1.10820460373,-1.35878687853,-1.19516509447,-0.706691817205,-0.419276585172,-0.903098216037,-1.69779504848,-1.65515726045,-1.87200885214,-0.634139925454,-1.18959271095,-1.18164867417
Product Details,-0.902949746075,-0.931897836805,-1.03112656692,-0.899649839597,-1.35503464863,-1.31319213536,-0.972434832742,-0.892894361852,-1.54872885756,-1.86233128701,-0.839243827248,-0.957526804018,-1.42634266621,-0.649500723297,-0.817044680494,-0.382607614918,-0.982917982551,-0.826841375362,-1.25804221941,-0.952674905731,-0.910026067477,-0.509575431461,-2.17990181619,-1.08842475186,-0.968430919324
Store_Pickup_Queries,-1.38206163391,-1.24050542002,-1.16503713123,-1.14093582067,-1.33203845487,-1.26942785166,-1.17847851423,-1.19349872481,-1.57493363843,-2.29779424392,-1.48559381544,-1.16703324877,-0.951830494868,-1.14472579158,-1.17016299929,-1.55944578109,-1.17019757792,-1.91735898261,-0.954929873319,-1.05167365484,-1.20394750977,-1.67765543263,1.20248587972,-1.14575912966,-1.11861124276
Account_Enquiry,0.453920564248,-1.14105209816,-0.991746967827,-1.02795525027,-1.04845865956,-1.21176768234,-1.00405002521,-1.01444070457,-0.910587960024,-0.693868670218,-0.846928467764,-1.02377534523,-1.16738645054,-0.923840670332,-1.00459211518,-1.35797449122,-1.40485454972,-0.90075515089,-1.39815736848,-1.08106050805,-1.26478137358,-1.03602573908,-1.19102475974,-1.03322196847,-1.00430493576
