XTest,sessionId,y__true,y_pred,y_prob_max
i have a service appointment that was scheduled and then cancelled and i did not cancel it,ID1232270887,Appointment,Appointment,0.57321799597
no dial tone cant make calls,ID1222633706,Dail Tone Issue,Dail Tone Issue,0.34933022283
download speed only 331mbps with speed test test timed out when i do uploading,ID1231941989,Speed Issue,Speed Issue,0.922803792326
dvr overfillsonly hold 3-4 hr long shows then starts deleting,ID1227223428,Dvr Issue,Dvr Issue,0.949279307964
my guide does not show all of the channels it is only showing approximately 30 channels,ID1232116812,Channel Issue,Channel Issue,0.61517436214
i have not been able to get a dial tone since i got my new modem last friday  i have tried both phone ports and unplugged and restarted the modem several times,ID1230226298,Dail Tone Issue,Dail Tone Issue,0.109544270816
i have been expriencing issues with the home wifi since we got it a couple days back the wifi frequently ccup and stop working randomly disconnect and just have unnaturally gh ping in gameswebsitesvideoes it is unacceptable ive tried talking to someone on livechat to fix it it did not work i would like ts issue to be fixed immediately or i will be cancelling services after ts month and going elsewhere,ID1235428536,Home Wifi,Home Wifi,0.257682260489
my account has been locked i forgot my password,ID1225418845,Account Disabled,Login Issue,0.169297254054
my remote is not working  i have changed the batteries,ID1228666170,Remote,Remote,0.922037463607
speed test not available,ID1223492488,Speed Issue,Speed Issue,0.922803792326
slow speeds -whats up,ID1225097354,Speed Issue,Speed Issue,1.16555859425
the selectok button on my remote has stopped working completely ive rebooted the box twice and also tried fresh batteries but still no luck,ID1223648704,Remote,Remote,0.50047928064
why is my email for ts account being rejected,ID1222470890,Account Info,Email Issue,0.130196957683
wle trying to sign up for internet service online and prompted to enter my address and apartment number the site claims my address is a business and directs me to twcbccom instead,ID1219342138,Account Setup,Internet Not Working,0.292607691801
how do i set up internet connection to email,ID1227324799,Email Issue,Email Issue,0.14513807423
on demand not available for some channels,ID1236309953,Odc-Not Working,Odc-Not Working,0.0170923302967
what internet speed do i have and what modem would be able to work at my house,ID1222566223,Speed Issue,Speed Issue,0.380707768787
trying to logging in my account but is saying is locked help,ID1235172846,Account Disabled,Account Disabled,0.350088668145
we had our service setup today and when the tech was here he swapped our number and we had dial tone just fine  now 30 minutes later we have no landline dial tone,ID1231638460,Dail Tone Issue,Dail Tone Issue,0.493769733454
internet so slow why,ID1236057775,Speed Issue,Speed Issue,0.911355821884
my speed is way down i did a speed test and download speed is over 100 upload is only about 10 or so is ts normal phone number associated with ts account is 409-283-1991 but my husband works out of town and is not here at the house to speak to you,ID1224137359,Speed Issue,Speed Issue,0.633346770622
how do i turn on my wifi,ID1222454096,Home Wifi,Home Wifi,0.458632744834
cant connect to internet,ID1230250193,Internet Not Working,Internet Not Working,0.292607691801
"dvr box is acting up - first the reception was terrible where it was ""stuttering"" not it wont even display a picture at all",ID1231384368,Signal Issue,Dvr Issue,0.565827699438
new internet connection,ID1219783397,Service Issue,Internet Not Working,0.292607691801
 i would like to to connect my twc remote to my tv the only problem is that it is connected to my previous tv,ID1236204622,Remote,Remote,0.0848325915384
i need to cancel my service appointment,ID1229619311,Appointment,Appointment,0.57321799597
can you give me my username and password for my wifi i can not find them,ID1234476163,Wifi Password,Wifi Password,0.286469416432
internet is intermitent and very slow,ID1233681308,Speed Issue,Speed Issue,0.911355821884
i need help getting into my locked out account,ID1236009073,Account Disabled,Account Disabled,0.350088668145
how can i get the byutv channel,ID1219101594,Channel Issue,Channel Issue,0.447453393481
internet download speed is slow again - are there any service issues in our area,ID1226564306,Speed Issue,Speed Issue,0.98359963615
how can i speed up my internet,ID1223474020,Speed Issue,Speed Issue,0.677971708775
the dvr is full after cable box frooze,ID1229280261,Dvr Issue,Dvr Issue,0.09476285615
internet speed is slow,ID1222075460,Speed Issue,Speed Issue,1.62430263715
the internet was installed on tuesday and it has not been working properly,ID1222252490,Internet Not Working,Internet Not Working,0.292607691801
internet is extremely slow,ID1228388708,Speed Issue,Speed Issue,0.911355821884
how do you find the password,ID1219353077,Login Issue,Login Issue,0.628693369974
hbo channels,ID1224304289,Channel Issue,Channel Issue,0.61517436214
my fox  nbc channels keep getting scrambled,ID1219960792,Channel Issue,Channel Issue,0.61517436214
order number 3002461072,ID1229563682,Order Status,Order Status,0.399168099988
my internet speeds have dropped to negligible speeds,ID1232195518,Speed Issue,Internet Not Working,0.292607691801
does my ubee modem have built in wireless  if so how do i set it up,ID1235207353,Purchase Modem,Modem Setup,0.303496439344
i tried to clear my cache by unplugging my modem for 45 minutes but the cache isnt cleared  i need to have my isp cache cleared before i can log into godaddycoms website builder  t told me that i needed to contact my isp for ts to happen,ID1220591948,Modem Setup,Modem Setup,0.303496439344
our speed is really slow i have compalined before we just got a brand new lap top and half the time it does not connect and says the internet has limited access if we move the laptop right by the router it works great but other deivces on the wifi have no trouble conncecting is there a more powerful router available it is located in the center of our house,ID1233194795,Speed Issue,Speed Issue,1.19594728127
intermitten internet,ID1220133406,Internet Not Working,Internet Not Working,0.292607691801
internet does not work,ID1228670347,Internet Not Working,Internet Not Working,0.292607691801
how do i set up my voicemail,ID1235190027,Voice Mail,Voice Mail,1.03967659568
my internet keeps going on and off and i am not getting the full speed i should be getting,ID1233149034,Speed Issue,Speed Issue,0.677971708775
i have received a letter and an email stating that my internet speed has been increased fro 50 mbps ti 100mbps yet my speed test still shows 50,ID1219134256,Speed Issue,Speed Issue,0.397963425424
speed is unusually slow,ID1219230782,Speed Issue,Speed Issue,1.83752044391
my online account log in id is disabled please enable it and reset my password,ID1225228469,Login Issue,Login Issue,0.343254177476
i would like to know about time warner approved home wifi modems  routers,ID1229278801,Home Wifi,Home Wifi,0.458632744834
my dvr deleted all of the set recordings,ID1231305833,Dvr Issue,Dvr Issue,0.949279307964
internet seems slow and lagging ,ID1229106853,Speed Issue,Speed Issue,0.911355821884
cannot connect with phone to wifi,ID1227747216,Home Wifi,Home Wifi,-0.00165524759078
i am not able to view channel 20  i tnk ts is included in my package so why cant i get it,ID1222724037,Channel Issue,Channel Issue,0.447453393481
i am unable to pull up my dvr recordings  i do not see a button on the remote for my recordings,ID1221247842,Dvr Issue,Dvr Issue,0.14736633829
initial rental modem setup,ID1219112791,Modem Setup,Modem Setup,0.303496439344
i purchased a modem that does not have emta how can i get emta ,ID1236146284,Purchase Modem,Modem Setup,0.303496439344
how to authorize a dvr box for service,ID1223811708,Dvr Issue,Dvr Issue,0.565827699438
i received a new modem and cant figure out how to install it  twc said that t could send a technician to install if i had a problem,ID1224230118,Modem Setup,Modem Setup,0.303496439344
i bought a motorola surfboard modem model sb6141  will ts work with time warner,ID1233502535,Modem Setup,Modem Setup,0.303496439344
my remote isnt working to the cable box because sometng is wrong with my cable box a tech came out on monday and told me what the problem was even though he doesnt live in my fuckin house nor watch ts television so now im back to square one because once again my fuckin remote isnt working and ya amy chat online sucks also,ID1226730119,Cable Box Not Working,Remote,-0.0318776353448
wifi not active,ID1236491131,Home Wifi,Home Wifi,0.458632744834
for the past week the service has been very slow and its taking unusually long time to download even the smallest of files,ID1224935923,Speed Issue,Speed Issue,1.16555859425
what packages do you have for wifi,ID1222957791,Plan Explaination,Home Wifi,0.458632744834
my internet stopped working,ID1235998455,Internet Not Working,Internet Not Working,0.292607691801
we just had a new router installed  how do i change the password,ID1231859761,Account Info,Login Issue,0.628693369974
technician did not give me password to log into my wifi,ID1232391160,Home Wifi,Home Wifi,0.0785121855132
our modem was replaced now our speeds have dropped from 124 mbits to 30 mbits,ID1229048456,Speed Issue,Modem Setup,0.303496439344
we had our cable box reset last week and we are still having the same issue where on demand wont work we have called 2x about ts issue and we need to get it reset again and also set up a service call to replace the box,ID1237019662,Odm,Cable Box Not Working,-0.0347339740959
i forgot my id and password how can i register again,ID1226205956,Login Issue,Login Issue,0.310612028901
how do i change settings in secondary email account,ID1231955186,Email Issue,Email Issue,0.130196957683
i want to block a specific phone number on my phone,ID1224108018,Block Calls,Block Calls,0.0387887315518
"i have been trying to order the free on demand movies from fmod and epix on demand  it keeps stating ""____ is currently unavailable please try again later""",ID1219141675,Odm,Odm,0.498167450083
slow speed,ID1228581151,Speed Issue,Speed Issue,1.83752044391
i had problems accessing certain channels and called to resolve  resulting in a tech being scheduled for repair today however  the problems with the cable seemed to have correct itself last night  therefore the scheduled tech today will not be necessary  thank you,ID1219738863,Channel Issue,Channel Issue,0.29117159469
i cannot find the password for my router,ID1226690215,Modem Setup,Login Issue,0.628693369974
im getting between 8 and 12 mbps wch really sucks for someone who pays for 50 mbps  more than once ts has happened and im getting tired of it please help me to resolved ts matter  if notng can be done let me know for i will seek an internet an internet service provider that will thanks chris,ID1229612897,Speed Issue,Internet Not Working,0.292607691801
my remote to turn on the cable box is not working batteries are good and the remote turns on the tv but not the cable box,ID1232054270,Remote,Remote,0.08567822558
twc home wifi install failed on mac running os 1095 received plug-in blocked notification install cd states os 109+ isnt supported how can ts be resolved,ID1224095097,Home Wifi,Home Wifi,0.458632744834
why cant i get basic channels online when im not at home,ID1235194911,Channel Issue,Channel Issue,0.61517436214
i cannot get into twc com to my account and need help getting it fixed so i can block a bad caller,ID1229071496,Block Calls,Block Calls,0.651227460033
unable to activate my modem,ID1230719354,Modem Setup,Modem Setup,0.303496439344
i have been having issue for the last two weeks with the channels being black or the picture not showing,ID1229852052,Channel Issue,Channel Issue,0.61517436214
internet available in my area,ID1231649716,Service Availablity,Service Availablity,0.00069671740602
wifi not connecting,ID1226235019,Home Wifi,Home Wifi,0.458632744834
no upload speed,ID1235122965,Speed Issue,Speed Issue,0.922803792326
we are experiencing dramatically lower internet speeds than were promised when we signed our agreement download speeds were just tested at 3755mbps can you please address please see the link httpwwwspeedtestnetresult3910586189png,ID1227712372,Speed Issue,Internet Not Working,0.292607691801
very very slow,ID1237009791,Speed Issue,Speed Issue,1.16555859425
service unacceptably slow,ID1229271301,Speed Issue,Speed Issue,1.16555859425
how do i know wch modem i need ie a plan up to 50 mbps or 100 mbps etc,ID1232233639,Purchase Modem,Modem Setup,0.303496439344
how to setting my home wifi ,ID1235419193,Home Wifi,Home Wifi,0.458632744834
password reset,ID1221126024,Login Issue,Login Issue,0.628693369974
internet connection problems,ID1227034416,Internet Not Working,Internet Not Working,0.292607691801
how can i check speed,ID1225253843,Speed Issue,Speed Issue,0.922803792326
trying to sign in im locked out,ID1228444930,Login Issue,Account Disabled,0.350801164091
wifi speed suddenly very slow,ID1229221519,Speed Issue,Speed Issue,1.28543291426
if i get a package that doesnt have the free home wifi but i have my own router can i still get wifi,ID1231400674,Details Of Existing Plan,Home Wifi,0.458632744834
low speed,ID1220031164,Speed Issue,Speed Issue,0.922803792326
i am unable to access my home phone voicemail it says i have tried to enter my password to many times help,ID1224672869,Voice Mail,Voice Mail,0.567170500046
i want another box,ID1224221944,Cable Box Not Working,Cable Box Not Working,0.170694069502
on demand isnt working,ID1232368266,Odm,Odc-Not Working,0.332158696218
any features in the modem that can help with internet phone receiving calls from another voip system like avaya,ID1228924997,Modem Setup,Phone Not Working,0.0867655106544
i was told yesterday that hbo would be added to our package is that an immediate update or does it take a wle for it to actually be added  i didnt see the channel in our channel guide ts morning,ID1231800002,Channel Issue,Channel Issue,0.447453393481
i need to activate my modem,ID1235241925,Modem Setup,Modem Setup,0.303496439344
"when viewing on demand shows if we t pause or stop it ends the program when we t ""resume"" it rewinds the show very far back it doesnt resume from where we left off eg watcng one movie we were 1 hr 30 min in paused started again it started only 15 mins into the movie we would have had to watch 1 hr 15 minutes of repeat to get back where we paused and theres no fast forward so were stucking rewatcng tngs we already saw ts is getting frustrating",ID1219386750,Odm,Odm,0.319454154577
cable box not connecting to tv or re-bootingtrouble shooting,ID1232133397,Signal Issue,Cable Box Not Working,0.0655715165967
internet isnt working,ID1228481940,Internet Not Working,Internet Not Working,0.292607691801
internet speed,ID1235353381,Speed Issue,Speed Issue,0.677971708775
having trouble setting up new modem,ID1223605186,Modem Setup,Modem Setup,0.303496439344
slow download speeds for certain sites,ID1221861623,Speed Issue,Speed Issue,1.16555859425
my internet hasnt been running very well after an outage in the area ive already tried power cycling and it didnt seem to help veer much can you check to make sure im receiving signals correctly thanks,ID1232001808,Signal Issue,Service Availablity,0.00069671740602
why dont we get fox sports 1 it is listed as being in the standard package on channel 37 in beeville texas 78102  all i get is a black picture and no sound,ID1223655646,Dvr Issue,Channel Issue,0.447453393481
im trying to set up a new email address,ID1223705423,Email Issue,Email Issue,0.45381142214
channel is not working,ID1235208350,Channel Issue,Channel Issue,0.447453393481
i currently have download speed of 100 but supposed to be 300,ID1231973769,Speed Issue,Speed Issue,0.922803792326
we had internet installed last week most devices are connected to the wifi fine but our tv internet is incredibly slow signal strength shows 2 bars what can i do,ID1227009788,Speed Issue,Speed Issue,0.0588354145959
my online account is disabled,ID1223563887,Account Setup,Account Disabled,0.360854339002
i need to upgrade so i get lifetime channels and story,ID1236327847,Change Package,Channel Issue,0.21350373677
can i watch my dvr recordings on my iphone,ID1228091702,Dvr Issue,Dvr Issue,0.949279307964
channels arent working,ID1221773459,Channel Issue,Channel Issue,0.61517436214
how do i turn off voicemail,ID1228091693,Voice Mail,Voice Mail,1.03967659568
is there an outage in the 78228 area i have tried to call my mother since last night and am told there is netowkr difficulties can you tell me what is going on,ID1235294234,Phone Not Working,Service Availablity,0.120297661344
i am trying to stream video on my new service just set up today and it is stopping quite a bit so i went to speedtest time warner cable and it shows i have the lowest speed however i was sold on the next speed up wch is 6mpbs but i am only getting 2mbps i dont tnk i have the correct speed,ID1234653045,Speed Issue,Speed Issue,0.792198916757
"calls from ""unknown""not being blocked  also is there any way to add more than 30 numbers to call block  i have taken every other precaution iedonotcallgov and the texas link",ID1221191804,Block Calls,Block Calls,0.41915566224
speed has gone down considerably,ID1233360004,Speed Issue,Speed Issue,0.922803792326
zip is 78248 very slow has lost connectivity more than one tonight  using macbook pro-yosemite,ID1230616825,Speed Issue,Speed Issue,1.16555859425
weak wifi need to schedule a technician,ID1231319144,Home Wifi,Home Wifi,0.458632744834
i cant access my remote dvr,ID1236294875,Dvr Issue,Dvr Issue,0.14736633829
i do not get all the channels i pay for,ID1224818736,Channel Issue,Channel Issue,0.61517436214
"numerous ""mail delivery failures"" in my email account that i didnt send appears someone has my email info",ID1230799805,Email Issue,Email Issue,0.341917715719
do you have the samsung cable box smt-h3362 at the queens  center mall in stock,ID1229146969,Service Availablity,Cable Box Not Working,0.278938070786
on demand shows,ID1224958345,Odc-Not Working,Odc-Not Working,0.332158696218
i hooked up the new router i got from twc i had to call twice already now my roku box isnt showing my ip address it shows 0000,ID1219725837,Modem Setup,Cable Box Not Working,0.170694069502
phone not working for calls to mexico,ID1224117298,Phone Not Working,Phone Not Working,1.35084195297
program guide and channel info not working,ID1224997684,Channel Issue,Channel Issue,0.447453393481
speed increase not working,ID1223455308,Speed Issue,Speed Issue,0.922803792326
i had a question for marcus but we got disconnected  it is regarding clearing my cache from my modem,ID1220599196,Modem Setup,Modem Setup,0.303496439344
tv on computer need password,ID1220038026,Login Issue,Login Issue,0.00598515121365
my cable box is malfunctioning,ID1228544228,Cable Box Not Working,Cable Box Not Working,0.278938070786
cable box not powering up,ID1224074979,Cable Box Not Working,Cable Box Not Working,0.278938070786
new modem is not on the approved listthe modem you are attempting to activate is not an approved modem click here for a list of approved modems for assistance chat with a live agent or contact time warner cable at 1-855-490-6693,ID1227666108,Modem Setup,Modem Setup,0.209905221579
i tnk someone is messing with my internet,ID1219181090,Internet Not Working,Internet Not Working,0.292607691801
we continue to have intermittent internet service following technician visit on 1014,ID1228986574,Internet Not Working,Internet Not Working,0.292607691801
adding channels,ID1231388976,Change Package,Channel Issue,0.61517436214
why is my download speed so slow today,ID1222619370,Speed Issue,Speed Issue,1.83752044391
wifes email subaccount keeps getting inactivated  can you prevent that,ID1219370903,Email Issue,Email Issue,0.45381142214
why has my account been disabled,ID1228950917,Account Info,Account Disabled,0.360854339002
too slow,ID1236059078,Speed Issue,Speed Issue,1.16555859425
for some reason is not accepting my user name and password,ID1229230076,Login Issue,Login Issue,0.628693369974
how do i set up my new routermotem for wifi,ID1231712803,Modem Setup,Home Wifi,0.458632744834
why have the channels changed and where are the encore channels,ID1236351693,Channel Issue,Channel Issue,0.61517436214
on demand is not working  i keep getting,ID1236360253,Odm,Odc-Not Working,0.41730364564
why cant i watch my cable channels online,ID1235290694,Streaming,Channel Issue,0.29117159469
i need to reset my email password but my username doesnt match your records,ID1221192732,Login Issue,Login Issue,0.132503969371
i want to know speed of my internet,ID1233511827,Plan Explaination,Speed Issue,0.677971708775
picked up modem today not connecting so get an error message on httpsregistrationrrcom,ID1229247111,Modem Issue,Modem Setup,0.303496439344
change password,ID1223669532,Account Setup,Login Issue,0.628693369974
my internet isnt working it was supposed to be activated today,ID1222818442,Internet Not Working,Internet Not Working,0.292607691801
box wont tune to channels,ID1226266326,Cable Box Not Working,Channel Issue,0.143681722245
not all of my channels are working such as fox nbc espn is ts my issue or are others reporting ts,ID1229266977,Channel Issue,Channel Issue,0.61517436214
"i cannot receive incoming email on my iphone moblie but am able to send email on it can you help me please when i get on the email app a message pops up and says cannot connect to the server for ""twc"" and then says mail can try to repair these settings either cancel or repair wch does not work",ID1233753989,Email Issue,Email Issue,-0.0457258714405
my internet speed is not what im paying for 3069 is what i just checked again i should be getting a lot gher for what im paying,ID1219803333,Speed Issue,Speed Issue,0.677971708775
i am out of the country and suddenly i can no longer access my email account i will be here in italy for another week  why am i not able to access it anymore,ID1224540239,Account Disabled,Email Issue,0.130196957683
wifi is not working it is not broadcasting,ID1237055417,Home Wifi,Home Wifi,0.458632744834
why is my internet so slow,ID1236430137,Speed Issue,Speed Issue,0.911355821884
my internet is down is there an outage in the 10003 area,ID1231315608,Service Availablity,Service Availablity,0.00069671740602
internet is not availale,ID1232252039,Internet Not Working,Internet Not Working,0.292607691801
why is the on demand not available,ID1231334712,Odc-Not Working,Odc-Not Working,0.332158696218
how to set up our email and remote questions,ID1224178793,Email Issue,Remote,0.462981247902
my cable service is slow stutters picture and audio and primteime od is not working,ID1226171209,Speed Issue,Speed Issue,0.555602733922
internet is very slow,ID1224220401,Speed Issue,Speed Issue,0.911355821884
we exchanged modems and i dont know the password for new modem  is it on the modem,ID1232593332,Modem Setup,Modem Setup,0.122872995448
i have been billed for showtime and my tv does not show that i have it please check and let me know,ID1230885065,Bill Explaination,Bill Explaination,0.105836792835
is there a link to optimize my wifi speed the interenet has been unuslaly slow,ID1224261228,Speed Issue,Speed Issue,1.28543291426
my wireless router wont work with my new modem,ID1235463435,Home Wifi,Modem Setup,0.303496439344
i forgot my password to my my account,ID1220618761,Login Issue,Login Issue,0.516807183187
i had ordered a docsis 3 modem after receiving a docsis 2 modem and i was wondering if i can get the tracking information on it,ID1220525222,Purchase Modem,Modem Setup,0.303496439344
twid password  my account passwrod reset  shows disabled,ID1220605616,Login Issue,Login Issue,0.37213970249
internet speed is slow,ID1231994893,Speed Issue,Speed Issue,1.62430263715
if i buy internet will i get installed the same day,ID1233350944,Purchase Modem,Internet Not Working,0.292607691801
wifi not carrying through house,ID1236336765,Home Wifi,Home Wifi,0.458632744834
we just got a  new dvr and cc is not working on itit worked beforeplease advise,ID1230016921,Dvr Issue,Dvr Issue,0.949279307964
why is my digital box not restting,ID1223770651,Cable Box Not Working,Cable Box Not Working,0.170694069502
can you please tell me how to turn off power save on my set top box,ID1236169752,Cable Box Not Working,Cable Box Not Working,0.170694069502
modem activation,ID1232244013,Modem Setup,Modem Setup,0.303496439344
 im trying to download the free mcafee antivirus but i forgot my twc assigned email address  would you help me figure it out,ID1220032920,Email Issue,Anti Virus,1.13257103343
internet is out,ID1222491119,Internet Not Working,Internet Not Working,0.292607691801
does twc have the cuttlery channel and the western channel,ID1236448448,Channel List,Channel Issue,0.447453393481
it seeems i have to reboot my set top box daily to fix pixilating and tiling trouble could ts be a system issue causing ts or is it a problem with my equipment,ID1224717513,Cable Box Not Working,Cable Box Not Working,0.170694069502
no on demand,ID1236244721,Odm,Odc-Not Working,0.332158696218
forgot user name and password,ID1235146447,Login Issue,Login Issue,0.628693369974
not recognizing my email  setting up new computer,ID1229658628,Email Issue,Email Issue,0.45381142214
dta never quits searcng for channels,ID1228833690,Signal Issue,Channel Issue,0.61517436214
i have an email address but cannot access it and cannot reset the password can you help,ID1226143712,Update,Login Issue,0.132503969371
no dial tone,ID1233488882,Phone Not Working,Dail Tone Issue,0.493769733454
new arris dg1670 router not sending wifi signal anymore,ID1227627319,Home Wifi,Home Wifi,0.458632744834
the dvr in my bedroom does not list the programs ive recorded on my living room dvr wch is a multi-room dvr,ID1235642480,Dvr Issue,Dvr Issue,0.949279307964
 there i recently received a postcard in the mail saying that my internet service was being upgraded from 50mbps to 100mbps for free however multiple speed tests reflect that im not even getting 50 ive called multiple times to no avail,ID1222042657,Speed Issue,Speed Issue,0.677971708775
i am not getting email,ID1232665243,Email Issue,Email Issue,0.45381142214
how can i rename my wifi and change the password,ID1232204306,Home Wifi,Home Wifi,0.0785121855132
i want to unblock my caller id info for all calls,ID1223345150,Caller Id,Caller Id,0.717189509795
i just bought a modem  i need to activate it,ID1224811397,Modem Setup,Modem Setup,0.303496439344
my wifi is not working properly,ID1221659411,Home Wifi,Home Wifi,0.458632744834
need query on internet outage,ID1224638173,Internet Not Working,Internet Not Working,0.292607691801
modem keeps resetting,ID1229776944,Modem Setup,Modem Setup,0.303496439344
i am not sure what the speed is on my internet  can you help me,ID1224834369,Speed Issue,Speed Issue,0.677971708775
need a cable box test and reset getting distorted picture,ID1230737178,Cable Box Not Working,Cable Box Not Working,0.278938070786
cannot get ch 131 any more  i get the channels around it after installing new tv,ID1236134957,Channel Issue,Channel Issue,0.399898792391
do i need to activate my new modem to get the phone working,ID1235250289,Phone Not Working,Phone Not Working,0.833172441102
can you remotely reset my internet connection,ID1236930300,Internet Not Working,Internet Not Working,0.292607691801
my wifi doesnt work pls help,ID1230015341,Home Wifi,Home Wifi,0.458632744834
im just trying to find out if there is an outage in my area,ID1231997086,Service Availablity,Service Availablity,0.120297661344
my account has been disabled please fix it so i can log on,ID1219322105,Login Issue,Account Disabled,0.360854339002
i am having problems with my phone i have no dial tone,ID1224172725,Dail Tone Issue,Dail Tone Issue,0.304427752071
cant remember name and password to get on when get to security question i have no idea what a favorite movie iscan you help me,ID1230733697,Login Issue,Login Issue,0.0568636570335
speed problem,ID1229283761,Speed Issue,Speed Issue,0.922803792326
i recently change my home phone number and apparently have locked myself out of the voicemail system so i need ot get it reset,ID1229000636,Voice Mail,Voice Mail,0.444986487859
what is my voicemail pin,ID1231345579,Voice Mail,Voice Mail,1.03967659568
wireless printer finds router but not password here in licoln ne,ID1223379434,Home Wifi,Login Issue,0.628693369974
very slow speed,ID1233548126,Speed Issue,Speed Issue,1.83752044391
i need to know my wifi key,ID1236380805,Wifi Password,Home Wifi,0.458632744834
very slow internet  horrible ping,ID1231771344,Speed Issue,Speed Issue,0.911355821884
locked out of my account online,ID1228121576,Account Disabled,Account Disabled,0.350088668145
i would like to use my internet on another device and need wifi,ID1223669542,Home Wifi,Home Wifi,0.15647970353
how can i retrieve my password and username,ID1233492884,Login Issue,Login Issue,0.628693369974
just spoke to two other technical support persons and my wifi had a decent speed then we rebooted the modem to try tomake the signal even better but now it has dropped to 4878 and my upload speed is 574 i was getting 86,ID1231425743,Speed Issue,Speed Issue,0.548151890647
