,Account Disabled,Account Info,Account Setup,Add Ons,Additional User,Anti Virus,App Issue,Appointment,Bill Explaination,Bill Related,Block Calls,Cable Box Not Working,Cable Issue,Call History,Caller Id,Cancellation,Change Package,Channel Issue,Channel List,Chhange Address - My Move,Dail Tone Issue,Details Of Existing Plan,Digital Adapter,Dvr Issue,Email Issue,Home Wifi,Internet Not Working,Login Issue,Make Payment,Modem Issue,Modem Setup,Multiple Tv,Odc-Not Working,Odm,Online Tv Issues,Order Status,Payment Status,Phone Cancellation,Phone Not Working,Phone Setup,Plan Explaination,Purchase Modem,Receving Bill - Paper&Paperless,Refund,Remote,Return Box,Service Availablity,Service Issue,Signal Issue,Smart Tv,Speed Issue,Streaming,Tv Not Working,Tv Setup,Twc Id,Update,Upgrade Plan-Internet,Voice Mail,Wifi Password
Speed Issue,-1.91049936688,-1.25111066287,-1.07542981099,-1.00453681512,-1.11825685561,-1.0128436227,-1.06189858913,-1.43234378449,-1.15051712703,-1.16793730597,-1.11717603464,-1.28713532297,-1.83115242079,-1.22829601476,-1.19354835364,-1.0191516004,-1.02044454395,-1.12260143602,-1.07584027824,-1.00795165557,-1.55675067435,-0.986176833023,-1.00476700291,-1.25125896185,-1.23774750703,-1.85256010905,-1.0096817323,-1.23575108044,-1.25620741863,-0.918879126707,-0.88356035466,-1.01563245935,-1.08061870893,-1.59666261696,-1.03182992683,-1.0009324432,-1.00334528218,-1.11596535667,-1.3481386565,-1.18997679978,-0.9602211607,-0.82691784382,-1.00943591435,-1.03115735716,-1.29449189519,-1.37782231027,-2.41474725625,-1.04926877468,-1.16042921037,-1.09329071035,0.380707768787,-1.01767228556,-1.21580625265,-1.16836759355,-1.28883736693,-1.02703694935,-0.942915544599,-1.40758108063,-1.07811381752
Home Wifi,-0.991129111003,-1.20404016791,-1.11236926309,-1.00000796003,-1.032511332,-0.999935378902,-1.44383584185,-1.04814404647,-1.23056095012,-0.983832563282,-0.999975038258,-1.17417092719,-1.49604333399,-0.99998481188,-1.07868757893,-1.70876452667,-1.01778889238,-1.4428539638,-1.17188987239,-0.999150089441,-1.00000064002,-0.97919760314,-0.999989051872,-1.57969543792,-0.989157611525,0.458632744834,-0.890919287296,-0.983634057306,-1.01940238182,-1.17935690694,-0.918118449091,-1.00000995832,-1.22564679885,-1.2923684772,-1.0354558811,-1.00474327894,-0.999975783114,-1.07663322422,-0.990095290823,-1.13559606985,-0.972272739163,-0.93929455057,-0.999993162066,-1.00000328081,-1.03196904419,-1.16270371036,-1.18351673001,-0.991622756666,-0.973191665203,-1.00045455133,-0.96958827334,-1.01167643234,-1.13192138378,-1.23529727357,-1.14273209696,-0.994756068935,-1.03684307741,-0.999916348056,-0.940489132696
Login Issue,-0.98221520475,-0.937520251105,-0.986674897182,-0.996793116992,-0.997840363545,-0.978640404769,-0.994324360017,-0.88992337372,-0.989752776526,-0.990920331271,-0.99451749353,-0.964088566789,-0.980268097284,-0.998163305115,-1.02331611453,-0.997961530237,-0.984052170269,-0.853699160203,-0.997451624776,-0.984473620281,-0.99754588136,-0.980099961162,-0.993393720043,-0.987344248206,-0.891705088413,-0.957419787296,-0.839696669349,-0.729601128691,-0.997968321731,-1.06122942153,-0.825783711919,-0.999074176015,-0.983959379231,-0.999092312248,-0.9939912235,-0.991485794641,-0.995750832851,-0.999154742695,-0.972424718578,-0.988792440547,-0.969452490184,-0.962753097384,-0.997203275873,-0.998314235494,-0.994483461346,-1.30199197204,-0.982191493715,-0.863131724608,-0.922799434704,-0.996524836231,-0.859292323145,-0.978967523495,-0.977997512634,-0.982207270805,-0.992619943781,-0.989505376397,-0.982873114841,-0.981471390407,-0.999978285818
Cable Box Not Working,-1.14950447432,-0.999850976029,-1.14365553135,-1.04939173121,-1.07501145284,-0.999909842693,-1.91138056518,-0.978548428463,-1.17055795948,-1.09770160865,-1.32496817589,0.278938070786,-0.970474743854,-1.06578086859,-1.05914899207,-1.30891531967,-1.05773887632,-0.937525878732,-1.02081452262,-1.32353708776,-1.00034201659,-0.981795749498,-1.03169442277,-0.995584663869,-1.01646596287,-1.00004883609,-1.18165718486,-1.11579280472,-1.01899394494,-1.15086485303,-0.94845275167,-1.02282397004,-0.990552205335,-1.07502854042,-1.221343781,-1.0055778668,-0.994723372793,-1.0177523696,-1.16030860036,-1.15076892237,-0.956386805746,-0.966753385808,-1.00041502481,-1.02947828641,-0.990307496367,-1.17695040602,-0.990204462253,-0.989204231082,-0.687413410564,-1.02396526112,-0.976415894333,-1.10089243498,-1.01976182674,-0.972408915103,-1.09028401587,-1.0432603362,-1.02831970867,-0.999950800705,-1.07985230184
Internet Not Working,-1.17224798062,-1.03057038531,-1.06294872362,-0.680803592804,-1.09724837466,-0.995392395612,-1.23064096086,-0.930376511633,-1.13136425131,-1.05935204623,-1.04797703805,-0.998314359926,-0.853865286311,-1.09388203587,-1.06583551554,-1.19905436064,-1.01972737842,-0.914359323331,-1.00018500897,-0.994296364245,-1.25917828982,-0.987075139129,-1.02037543703,-1.05315333203,-0.968165588862,-0.978291342115,-0.557531150723,-0.921000056272,-1.13524906576,-1.09031277194,-0.971604185517,-1.02083894671,-1.06957293625,-1.19385597577,-0.998551432703,-0.999367510087,-0.999683001658,-1.0370991345,-1.36461174075,-1.11191751932,-0.963172233933,-0.96905924864,-1.00360366336,-1.02694058795,-1.14838174327,-1.48655266317,-0.982387675366,-0.922260505743,-0.966385764425,-1.00037920336,-0.865166710979,-0.988993449496,-0.992672183234,-0.995755336395,-1.13511685578,-0.992005241493,-1.0104147192,-0.996434110946,-1.04878007533
Odc-Not Working,-1.13245080237,-1.13749911456,-1.06247294451,-1.00129496459,-1.00375416155,-1.0134279158,-1.05950898607,-1.34008924793,-1.00416148682,-1.01928147381,-1.00220077236,-1.39099407138,-1.27715596063,-1.00071786921,-1.05427573108,-1.28174834996,-0.981007248712,-0.221816514109,-1.35005510219,-1.00216989065,-1.00098456445,-1.20231286697,-1.00266095655,-1.17680954241,-1.17323689975,-1.34161675279,-1.03117798069,-1.31939760511,-1.00707158428,-1.06122942153,-1.10488199535,-1.01603099104,0.0170923302967,-0.962404291806,-0.99342195505,-1.00338519875,-1.00316981811,-1.00034240352,-1.0192309776,-1.03564237172,-1.02597741923,-1.09947177227,-1.00111290088,-1.02883076897,-1.74668563689,-1.30199197204,-1.26668557482,-1.10663644752,-0.994946767191,-1.10392060115,-1.64207810695,-1.03897356702,-1.21628466638,-1.0397661345,-1.08725684469,-1.03729168919,-1.08345899269,-1.04953046433,-1.01730147544
Speed Issue,-1.67823249144,-1.23860667564,-1.07139549131,-1.00294487935,-1.07650885068,-1.0146230022,-1.03471021432,-1.70932858288,-1.14115969129,-1.14957654992,-1.08401469373,-1.45749123603,-1.52289863844,-1.20902436844,-1.06710031636,-1.00914973443,-1.03509969791,-1.09675599096,-1.12611955416,-1.0080191769,-1.6590295273,-1.00337814969,-1.00470055809,-1.10967627227,-1.06994424294,-2.00344867879,-1.54633846291,-1.37484308852,-1.22411938459,-1.05026671116,-2.03246825972,-1.00949629097,-1.07455142877,-1.82008154131,-1.01200541124,-1.00815048695,-1.00277450809,-1.04962837222,-1.32411586858,-1.1814689997,-1.0064924919,-1.16306997551,-1.00877509046,-1.02190064402,-1.27549002011,-1.53776446658,-1.55021536963,-1.06738114061,-1.14038337693,-1.00197183643,1.62430263715,-1.00544019053,-1.12391386528,-1.11978195402,-1.13071196522,-1.06201013888,-0.973660241081,-1.01304206163,-1.10557446996
Home Wifi,-0.991129111003,-1.20404016791,-1.11236926309,-1.00000796003,-1.032511332,-0.999935378902,-1.44383584185,-1.04814404647,-1.23056095012,-0.983832563282,-0.999975038258,-1.17417092719,-1.49604333399,-0.99998481188,-1.07868757893,-1.70876452667,-1.01778889238,-1.4428539638,-1.17188987239,-0.999150089441,-1.00000064002,-0.97919760314,-0.999989051872,-1.57969543792,-0.989157611525,0.458632744834,-0.890919287296,-0.983634057306,-1.01940238182,-1.17935690694,-0.918118449091,-1.00000995832,-1.22564679885,-1.2923684772,-1.0354558811,-1.00474327894,-0.999975783114,-1.07663322422,-0.990095290823,-1.13559606985,-0.972272739163,-0.93929455057,-0.999993162066,-1.00000328081,-1.03196904419,-1.16270371036,-1.18351673001,-0.991622756666,-0.973191665203,-1.00045455133,-0.96958827334,-1.01167643234,-1.13192138378,-1.23529727357,-1.14273209696,-0.994756068935,-1.03684307741,-0.999916348056,-0.940489132696
Login Issue,-0.98221520475,-0.937520251105,-0.986674897182,-0.996793116992,-0.997840363545,-0.978640404769,-0.994324360017,-0.88992337372,-0.989752776526,-0.990920331271,-0.99451749353,-0.964088566789,-0.980268097284,-0.998163305115,-1.02331611453,-0.997961530237,-0.984052170269,-0.853699160203,-0.997451624776,-0.984473620281,-0.99754588136,-0.980099961162,-0.993393720043,-0.987344248206,-0.891705088413,-0.957419787296,-0.839696669349,-0.729601128691,-0.997968321731,-1.06122942153,-0.825783711919,-0.999074176015,-0.983959379231,-0.999092312248,-0.9939912235,-0.991485794641,-0.995750832851,-0.999154742695,-0.972424718578,-0.988792440547,-0.969452490184,-0.962753097384,-0.997203275873,-0.998314235494,-0.994483461346,-1.30199197204,-0.982191493715,-0.863131724608,-0.922799434704,-0.996524836231,-0.859292323145,-0.978967523495,-0.977997512634,-0.982207270805,-0.992619943781,-0.989505376397,-0.982873114841,-0.981471390407,-0.999978285818
Cable Box Not Working,-1.11218779744,-1.05828267578,-1.10648705623,-1.03610680286,-1.05386852573,-1.00761929787,-1.6470010503,-1.02474780015,-1.12437993473,-1.07250237663,-1.23193992417,-0.301741168697,-0.909926570479,-1.04721155591,-1.04867335035,-1.15145446177,-1.046601726,-1.00939567318,-1.0157112179,-0.460276377333,-1.00113105812,-0.994566477064,-1.02479921555,-0.933525583598,-0.949903477635,-1.15893709126,-1.25998833945,-1.18887291779,-1.01417545646,-1.12466018484,-0.854679890706,-1.01649108738,-0.999090067414,-1.05342718035,-1.15879363751,-1.00700991801,-0.99786264305,-1.01286546608,-1.1233823393,-1.11400113965,-0.98035456588,-0.992580617805,-1.00130053987,-1.02148791909,-0.99514214346,-1.2135059588,-0.85111957952,-1.19530469607,-0.840094595739,-1.01821320908,-1.03708289042,-1.07897105128,-1.02190219114,-0.98993480135,-1.06685689708,-1.05169052705,-1.02704923513,-1.00661160933,-1.06313524203
Login Issue,-0.575578337206,-0.626920125706,-0.855398533076,-1.00114247997,-0.999660077108,-2.07228038782,-1.74096914294,-1.62975496054,-1.20046236402,-0.974998509856,-0.99997231222,-1.4902470581,-1.74800332732,-0.99999547177,-1.23171085191,-0.986846029223,-1.03015469434,-1.50621338422,-0.991530111704,-0.98865210638,-0.999999549918,-0.988251825818,-0.99999807993,-1.03978082986,-0.923188876731,-1.03104128178,-0.992105076996,-0.331283804003,-0.975629446832,-1.17011262172,-0.973507140814,-1.00000649326,-0.99696173089,-0.998930857016,-0.991546188957,-1.00560982234,-0.999560096063,-1.01181378387,-1.50498359773,-1.00212119306,-1.10293111151,-0.998007376515,-0.999996530258,-1.00117423238,-1.04674340876,-1.30199197204,-1.24086633298,-0.991925845491,-0.993877355839,-1.00108137204,-0.966533671431,-0.996082415862,-1.19844902693,-1.40871973895,-1.24267767543,-0.91648979452,-1.04118894044,-1.8458955356,-0.998556716584
Wifi Password,-1.08780550615,-1.09840083706,-1.02407648338,-1.00045868697,-1.01993198129,-1.00305705061,-1.2073331356,-1.04490837733,-1.09141194532,-1.04095143827,-1.00077512584,-1.33305810245,-1.55579143233,-1.03802490506,-1.25276571475,-1.28027666491,-1.00708832623,-1.16663853466,-1.06201580514,-1.00292369608,-1.00036619103,-1.00854055781,-1.00094768575,-1.49517475618,-1.6274828221,-0.78861828685,-1.45999792172,-0.216644003601,-1.2712068036,-1.16896833002,-1.15157597061,-1.00013776791,-1.08428555274,-1.6418037354,-1.00959182421,-1.00533231712,-1.01478976715,-1.02849641477,-1.12813350445,-1.14632667001,-1.03239808032,-1.17684574059,-1.00785845134,-1.00545661166,-1.04131090248,-1.26006099796,-1.11979199328,-1.01664150647,-1.17735963062,-1.00131425905,-1.04104569914,-1.00418130553,-1.16737308276,-1.08637982053,-1.05322176871,-0.900404011957,-1.04262099566,-1.00470754521,0.0880341375582
Email Issue,-1.15482309434,-0.942104201427,-0.995807086886,-1.00848705625,-1.00001029776,-0.993019646235,-1.73842300127,-0.982265704529,-1.0131398097,-0.995077629069,-1.93289524119,-1.61685524567,-1.52857816294,-1.08499811389,-1.22813702252,-0.999887977233,-0.999928579989,-1.58880016941,-0.996998833497,-1.61917563612,-1.00000440341,-1.00457423228,-0.999981039559,-1.10547516255,0.45381142214,-0.974712831585,-0.987286720312,-0.734808554955,-1.03017562822,-1.09941976326,-0.982587700929,-1.00000980425,-0.996865931856,-1.3082299846,-1.00650459357,-0.999959791338,-0.999996991696,-1.03790740721,-0.993729108512,-0.968163848916,-1.03897714113,-0.999608284545,-1.08184336603,-1.00159600091,-1.00365687964,-1.83070924763,-1.1784318171,-1.01283347479,-1.09154380259,-1.05729736311,-1.49109242171,-0.999927454109,-1.02578689173,-1.03824582955,-0.988297332541,-0.918807164331,-1.02739973823,-0.999911029313,-1.07796780831
Login Issue,-0.98221520475,-0.937520251105,-0.986674897182,-0.996793116992,-0.997840363545,-0.978640404769,-0.994324360017,-0.88992337372,-0.989752776526,-0.990920331271,-0.99451749353,-0.964088566789,-0.980268097284,-0.998163305115,-1.02331611453,-0.997961530237,-0.984052170269,-0.853699160203,-0.997451624776,-0.984473620281,-0.99754588136,-0.980099961162,-0.993393720043,-0.987344248206,-0.891705088413,-0.957419787296,-0.839696669349,-0.729601128691,-0.997968321731,-1.06122942153,-0.825783711919,-0.999074176015,-0.983959379231,-0.999092312248,-0.9939912235,-0.991485794641,-0.995750832851,-0.999154742695,-0.972424718578,-0.988792440547,-0.969452490184,-0.962753097384,-0.997203275873,-0.998314235494,-0.994483461346,-1.30199197204,-0.982191493715,-0.863131724608,-0.922799434704,-0.996524836231,-0.859292323145,-0.978967523495,-0.977997512634,-0.982207270805,-0.992619943781,-0.989505376397,-0.982873114841,-0.981471390407,-0.999978285818
Odc-Not Working,-1.05743334655,-1.02154711224,-1.01519774874,-0.99998512356,-1.00374514759,-0.999767497927,-1.0813333247,-1.38654719385,-0.97907222209,-0.999930996566,-0.999996962841,-1.46681564149,-1.0084927844,-0.999970104661,-1.02331611453,-0.999967704687,-1.00777308256,-1.25868650996,-1.59880233913,-0.999900386538,-1.00000930757,-1.24055159272,-0.999977606811,-0.981392217715,-1.16877822554,-1.39111507361,-0.955574910578,-1.2831183374,-1.00243865091,-1.06122942153,-0.998673217189,-1.00000229527,0.332158696218,-0.406767053313,-0.976137135802,-0.999945007483,-0.999984423876,-1.00000126617,-1.01043240406,-1.01084659806,-1.04365877651,-1.02096811646,-0.999978513496,-1.03667436902,-1.99176445948,-1.30199197204,-1.20572589415,-0.936857374118,-0.958062979088,-1.10530164587,-0.999580432885,-1.05209426691,-1.13400493045,-0.948766207088,-0.999956976375,-1.00622412013,-0.999867732512,-0.99985814295,-1.00006626555
Tv Setup,-0.957834187076,-1.05867571731,-0.963839223129,-1.03877165944,-1.07310028966,-1.01162016939,-0.714906068578,-0.91376654187,-1.02682675425,-1.01238902411,-1.06328708814,-1.2253990292,-1.00501499308,-1.00061133543,-1.04312253943,-1.01704489218,-1.01808056463,-1.03523732579,-1.159110436,-1.29155681724,-1.19404772854,-1.55203017491,-1.0382449157,-0.970765566353,-1.02503244554,-1.32143209941,-1.16388151039,-0.805693401701,-1.01326998227,-1.08093327466,-1.05898447733,-1.02717253344,-1.47699298016,-1.15233206956,-0.795510615487,-1.00295396782,-1.00288988596,-1.00254289415,-1.2298716332,-0.971508374897,-0.935456015556,-1.06476618976,-1.00096515919,-1.00057714659,-1.03024175814,-1.3549549636,-1.12503341886,-0.916117533286,-0.803167255522,-1.0026632915,-1.05029939349,-0.893258924426,-1.00027422323,-0.57066916049,-1.40677955525,-1.05589789539,-1.07406043885,-1.21809644583,-1.05702859198
Login Issue,-1.02239976832,-0.960334503021,-1.08447318772,-1.00006738384,-1.00856481473,-1.24371883774,-1.01865691427,-0.987197502849,-1.0207553909,-1.20310810609,-1.02057043105,-1.32839615286,-1.37249534033,-1.03733036907,-1.19284667322,-0.994927894844,-1.00840289426,-1.17675400089,-1.01595348125,-1.00917175235,-1.19109344942,-1.01600016728,-1.00200978663,-1.27690869171,-1.5643481512,-1.00597938099,-1.3935918014,-0.0153393946119,-1.24216696537,-1.05687241797,-0.949666629737,-1.01908430441,-1.0065180367,-1.54241571823,-1.01321002595,-1.00985100828,-1.01616927161,-1.03794054591,-0.448664278256,-0.970961484353,-0.999042222436,-1.19376251829,-1.00878484821,-1.04325381164,-1.06139713345,-1.32441960458,-1.30606337989,-0.957335195793,-1.14293227255,-1.00384379353,-1.15414342291,-1.02585829158,-1.26430576579,-0.993764998499,-0.997936342457,-0.936198249644,-1.11505012117,-1.0061888463,-0.992468575964
