sessionId,lineText,lineBy,L2,L3,lineNum,issueLine
ID1224231142,my internet keeps going out... Is there an outage in my area???,2,,Internet Not Working,1,1
ID1224232307,What is that fastest connection speed I can upgrade my road runner to?,2,,Upgrade Plan-Internet,1,1
ID1224232313,every couple of hours I get a message to push ok if i want to continue watching and it either goes off or comes back on if I'm not quick enough,2,,Internet Not Working,1,1
ID1224232668,"Wifi on modem isn't activating, double check if I have wifi on my account?",2,,Modem Setup,1,1
ID1224232678,i am getting mail delivery failure messages for emails I did not send.  I am guessing someone got a hold of my email.  What can I do?,2,,Email Issue,1,1
ID1224233773,New Modem,2,,Modem Setup,1,1
ID1224233780,my account is disable,2,,Service Issue,1,1
ID1224233798,what is my pin,2,,Account Info,1,1
ID1224234179,MY twice account,2,,Account Info,1,1
ID1224235701,My on-demand isn't working,2,,Odc-Not Working,1,1
ID1224236739,since we got the free wifi in the house and the upgrade our internet is delayed and the pages dont load as you are scrolling on fb or the internet . it is really slow,2,,Speed Issue,1,1
ID1224237818,"Hello, Our DVR gets filled up to 100% with only one show.  Can you please fix?",2,,Dvr Issue,1,1
ID1224238542,twc email,2,,Email Issue,1,1
ID1224239754,Speed issue,2,,Speed Issue,1,1
ID1224241679,When I switch on the TV it doesn't see the box,2,,Tv Not Working,1,1
ID1224242066,can you help w/ phone ?,2,,Phone Not Working,1,1
ID1224243580,I am getting 1/30th of the bandwidth I am paying for...,2,,Speed Issue,1,1
ID1224244279,Speed issues,2,,Speed Issue,1,1
ID1224244673,not getting full bandwidth,2,,Speed Issue,1,1
ID1224245526,"I used to have an Earthlink email address but recently upgraded. That is now gone, do I instead have an TWC email address? It says no email address in my account.",2,,Email Issue,1,1
ID1224246637,DVR not working,2,,Dvr Issue,1,1
ID1224248968,"I'm trying to recover my TWC ID username, but it says my email address is linked to 2 accounts.",2,,Twc Id,1,1
ID1224249660,Why when I try to watch a show OnDemand does it never load (I've tried multiple times on different days),2,,Odc-Not Working,1,1
ID1224249666,Internet Speed Issue,2,,Speed Issue,1,1
ID1224249672,My on-demand isn't working,2,,Odc-Not Working,1,1
ID1224250980,need to login and forgot user name and password,2,,Login Issue,1,1
ID1224253619,I'm trying to stream cable from home on my computer/tablet but it says that I am not at home or away and cannot watch the full line up of channels normally provided. How can I sync my wifi information and my information from TWC to recognize that I am home.,2,,Home Wifi,1,1
ID1224257654,"Some of the channels on our cable sometimes completely black out in the middle of a show, why is this happening?",2,,Channel Issue,1,1
ID1224258964,Box Frozen at Cisco Downloading Initial Application,2,,Cable Box Not Working,1,1
ID1224259648,can u activate phone modem ?,2,,Modem Setup,1,1
ID1224260274,too slow,2,,Speed Issue,1,1
ID1224261226,Phone has no dial tone,2,,Dail Tone Issue,1,1
ID1224261228,is there a link to optimize my wifi speed? the interenet has been unuslaly slow,2,,Speed Issue,1,1
ID1224262563,Activating New Modem,2,,Modem Setup,1,1
ID1224264791,"I forgot my password, how do I get it emailed to me or change it?",2,,Login Issue,1,1
ID1224266757,My upload speeds are really low. <0.5 Mbs with Ultimate plan,2,,Speed Issue,1,1
ID1224266763,Cable is not working,2,,Cable Issue,1,1
ID1224267138,how cam i watch movies on demand on my laptop?,2,,Odm,1,1
ID1224268049,My wifi doesnt work,2,,Home Wifi,1,1
ID1224268321,Password reset on showtime anytime,2,,Login Issue,1,1
ID1224268608,"Hello I just had cable installed yesterday, but I now realize that I just want the service where it's just 99 channels and I guess the cable gets hooked up to the tv directly? I dont want these boxes. Can you help?",2,,Cable Issue,1,1
ID1224268612,I don't know the password for my Wifi,2,,Wifi Password,1,1
ID1224269543,I called last week because my  wifi was not working. The Tech said via phone that my internet was turned off because I was up for a upgrade. ok.. So she sent me a new modem. The modem that was sent to me does not have a usb on the back to connect my router for wifi. I have hooked it up and I will get internet on the computer upstairs on the desk top but it will not connect to my belkin router. What I want to know is if I can take the modem sent to me to the office on Duval Road and exchange it f,2,,Home Wifi,1,1
ID1224271352,"selected update ,has been running for 12 hrs. when I try to select anything else I get unexpected error please retry",2,,Update,1,1
ID1224271957,need to rest password for account,2,,Login Issue,1,1
ID1224272545,I just upgraded from standard internet to ultimate. will i need a new modem or service call or can the upgrade be done remotely?,2,,Upgrade Plan-Internet,1,1
ID1224273127,I forgot the password for my parental control how can i get t reset?,2,,Login Issue,1,1
ID1224275795,temporary suspenyion of services,2,,Service Issue,1,1
ID1224275806,Our on Demand is not working,2,,Odc-Not Working,1,1
ID1224277515,How can i reset my password?,2,,Login Issue,1,1
ID1224278652,I have never been able to register for a TWC ID.  I enter my zip and phone number and get an error message.  Customer service has tried to trouble shoot and tried to log on from their computer and got the same error message.,2,,Twc Id,1,1
ID1224278941,I am about to order home wifi-- do I need to have a home phone already for this to work or is purchasing the modem enough?,2,,Purchase Modem,1,1
ID1224280589,Showtime not working.,2,,Tv Not Working,1,1
ID1224281159,Trying to access AMC shows but it needs to login with TWC account but nothign omes up to sign in and just sits there. I cant wait until my google fiber in so i can drop all these issues like a bad habbit,2,,Login Issue,1,1
ID1224282260,my wifi not working,2,,Home Wifi,1,1
ID1224284874,My internet lost connection,2,,Internet Not Working,1,1
ID1224284882,remote is bad,2,,Remote,1,1
ID1224288003,Somebody was supposed to come out to turn on my internet today but nobody showed up.,2,,Internet Not Working,1,1
ID1224288559,How to activate a digital adapter,2,,Modem Setup,1,1
ID1224290331,Extremely low speeds... again.,2,,Speed Issue,1,1
ID1224290866,change wifi name and password,2,,Wifi Password,1,1
ID1224291116,Received new modem w/ Easy Connect Guide; wireless signals on modem not blinking/working,2,,Modem Setup,1,1
ID1224291361,Modem swap,2,,Modem Setup,1,1
ID1224292077,Cable box does not work,2,,Cable Box Not Working,1,1
ID1224292081,Cannot access,2,,Account Disabled,1,1
ID1224292588,I need to reset my password.  I do not remember the answer I gave for favorite movie.,2,,Login Issue,1,1
ID1224293844,Internet Speeds,2,,Speed Issue,1,1
ID1224294317,Why is my speed declining?,2,,Speed Issue,1,1
ID1224295013,How can i get my WPA key?,2,,Account Info,1,1
ID1224296809,account locked,2,,Account Disabled,1,1
ID1224296817,wifi name and password,2,,Wifi Password,1,1
ID1224298257,changing my phone number,2,,Update,1,1
ID1224298450,How do I replace my internet passord on my router?,2,,Modem Setup,1,1
ID1224299477,wifi not working,2,,Home Wifi,1,1
ID1224299962,no internet,2,,Internet Not Working,1,1
ID1224300202,Previous Support Session Continuing / Modem not accessing Home WiFi setup,2,,Home Wifi,1,1
ID1224301420,parental control pin recovery,2,,Account Info,1,1
ID1224302510,I am unable to login to obtain a copy of mcafee,2,,Login Issue,1,1
ID1224303166,my iphone cannot recieve twc mail,2,,Email Issue,1,1
ID1224303887,Need a new remote,2,,Remote,1,1
ID1224304289,HBO channels,2,,Channel Issue,1,1
ID1224304755,i can not log into my account i need to reset my password,2,,Login Issue,1,1
ID1224307928,Outgoing mail,2,,Email Issue,1,1
ID1224310127,Not getting speed we're paying for.,2,,Speed Issue,1,1
ID1224313300,box contiunally messes up....sounds as if it is rebooting,2,,Cable Box Not Working,1,1
ID1224313463,dvr recordring cut short,2,,Dvr Issue,1,1
ID1224313871,can not register,2,,Account Setup,1,1
ID1224314657,Why won't my very smart TV and DVD player not connect to the network?,2,,Smart Tv,1,1
ID1224315414,"I'm suppose to be getting 30 Mbps' but I'm only getting 1.36 Mbps, why?",2,,Speed Issue,1,1
ID1224319128,slowness,2,,Speed Issue,1,1
ID1224319131,I am unable to sign in because my account has been locked,2,,Account Disabled,1,1
ID1224327095,can i lease a non wifi cable modem,2,,Purchase Modem,1,1
ID1224327403,"What channel is HBO for Englewood, NJ, 07631?  Not showing up at all.",2,,Channel Issue,1,1
ID1224329255,slow speed internet,2,,Speed Issue,1,1
ID1224333485,Internet Plans,2,,Plan Explaination,1,1
ID1224333781,why is my net so slow?,2,,Speed Issue,1,1
ID1224334817,Modem Router problems,2,,Modem Setup,1,1
ID1224340546,my account is disabled,2,,Account Disabled,1,1
ID1224345401,do i have wifi on my modem,2,,Home Wifi,1,1
ID1224379319,How do I record a tv show,2,,Tv Setup,1,1
ID1224381084,Why am I not getting all of the channels I'm suppose to get?,2,,Channel Issue,1,1
ID1224383039,"my internet speed on my computer is just fine but it is horrendous on my ipad and iphone as of this AM. i just performed a speed test on my computer and got very good numbers. i understand the antennae on the smaller devices are not as strong, but the difference is not generally so pronounced. Any advice?",2,,Speed Issue,1,1
ID1224383299,speed is slow,2,,Speed Issue,1,1
ID1224383896,need to change my wifi password,2,,Wifi Password,1,1
ID1224384169,how do I watch queens ny1 on my computer?,2,,Channel Issue,1,1
ID1224384171,where can I return a cable box I don't need any more?,2,,Return Box,1,1
ID1224385594,Cant send e-mail,2,,Email Issue,1,1
ID1224386405,I would like to block any outgoing calls to international numbers. Can you please help?,2,,Block Calls,1,1
ID1224386415,I am having trouble receiving calls and not being able to hear or the other party hearing us.,2,,Phone Not Working,1,1
ID1224391752,My download speed is very slow - 6MBps; The upload is fine. I ran the Time Warner and another speed test to confirm,2,,Speed Issue,1,1
ID1224393903,user name and password to watch the walking dead,2,,Login Issue,1,1
ID1224399017,Can you please tell me how I email a problem to TWC?  I don't really have time to chat or call at work.,2,,Service Issue,1,1
ID1224400587,need help with Look Back and Start Over,2,,Channel Issue,1,1
ID1224400972,"TV screen acts erratic, freezes, skip sound, etc.",2,,Tv Not Working,1,1
ID1224401385,I have a regular modem for my internet access and want to know more about swapping for a wireless modem/router,2,,Modem Setup,1,1
ID1224401783,Modem Box Availability,2,,Purchase Modem,1,1
ID1224403958,I cannot see my call history since saturday,2,,Call History,1,1
ID1224405316,I am constantly having trouble with my email password. Help,2,,Login Issue,1,1
ID1224407150,"Turned on Bridged NAT with my Arris modem, WiFi no longer works and am unable to connect to my router's page (192.168.0.1)",2,,Home Wifi,1,1
ID1224408987,"need to reset password, please send by email",2,,Login Issue,1,1
ID1224409476,I just upgrade my internet plan to faster speed (from BASIC plan to STANDARD).  Do I need to do anything to see the speed difference?  How long will it take to have the new speed in service?,2,,Speed Issue,1,1
ID1224412456,Connecting/activating modem,2,,Modem Setup,1,1
ID1224417196,I do not want TV to go to channel 14 when it is turned off. Please help me program remote,2,,Channel Issue,1,1
ID1224417200,trying to access amc online and it says i have to log into my twc account in order to view i dont know it please help,2,,Login Issue,1,1
ID1224418346,why is my twc account disabled,2,,Account Disabled,1,1
ID1224419479,Internet not working,2,,Internet Not Working,1,1
ID1224423236,unable to login into my online account,2,,Login Issue,1,1
ID1224429556,"Changed NAT to bridged, modem page (192.168.0.1) crashed and am unable to access it anymore and revert my NAT type. Also since changing to Bridged wifi has stopped working.",2,,Internet Not Working,1,1
ID1224438389,locked oaact,2,,Account Disabled,1,1
ID1224442914,"Hello, I am trying to install VoiceZone Connect on my pc but keep getting this error message ""Sorry an error has occurred the application could not be installed because installer file is damaged. Try obtaining new installer file from the application author.",2,,App Issue,1,1
ID1224442922,I was upgraded on a package that I did not want to be upgraded on and want to remove certain items.,2,,Upgrade Plan-Internet,1,1
ID1224446937,"download speed still slow, 6MBPS after last call with you . Call refernce RT4373978283",2,,Speed Issue,1,1
ID1224449653,My online account has been disable. How do i fix it so I can view my bill online?,2,,Account Disabled,1,1
ID1224450308,internet not working,2,,Internet Not Working,1,1
ID1224453726,"I just upgreated to Iphone 6 and the email is setup but I want to change it to leave a copy on the server, where do I fix that?",2,,Account Setup,1,1
ID1224454482,Time Warner recently replaced my modem with a better model.  They said it's possible that I need a new router.  What models are compatible?,2,,Purchase Modem,1,1
ID1224457419,internet not working,2,,Internet Not Working,1,1
ID1224463287,"husbands email address has been suspended, password no longer working, it is his work email address and needs to get back up ASAP.  Can you help with this?",2,,Login Issue,1,1
ID1224464002,"Good morning. On November 06, 2014 I had my bundle package installed. I changed from Uverse to TWC due to the lower price, but with that lower price came a myriad of problems.",2,,Service Issue,1,1
ID1224465547,"I made some changes to my account in October.  I was told I would receive a link to register a $300 gift card.  Due to some unexplained reasons, my account changes were cancelled then reinstalled in late October.  I still have not received the link to register a gift card or any other information about that card.",2,,Update,1,1
ID1224468550,My HD DVR Cisco box in the living room is not working.  It shows a message that it is downloading initial application and seems to be stuck on there?,2,,Dvr Issue,1,1
ID1224474836,internet not working,2,,Internet Not Working,1,1
ID1224474838,Modem operating at critical status. Need to schedule a service call,2,,Service Issue,1,1
ID1224475612,UNABLE TO ACCESS TWC ACCOUNT,2,,Account Disabled,1,1
ID1224477208,Our internet is still going on and off.  Can you please send the technician out to help us?,2,,Internet Not Working,1,1
ID1224481116,I'd like to turn on my wifi that came with the new TWC modem.,2,,Home Wifi,1,1
ID1224486562,User name & Password,2,,Login Issue,1,1
ID1224489110,Speed is very less,2,,Speed Issue,1,1
ID1224490675,On demand not working - appt scheduled - confirmation email is not the appt i spoke to tecnician about.,2,,Odc-Not Working,1,1
ID1224494672,I need the settings for our static IP address and our modem put into bridge mode.,2,,Modem Setup,1,1
ID1224497065,I purchased my own modem and i'd like to replace it with the one im renting from you guys . how do i do that,2,,Modem Setup,1,1
ID1224497904,internet speed really slow,2,,Speed Issue,1,1
ID1224500400,"I currently own a DSL internet modem from netgear (dm111PSP) that is not on your approved modem list, should this still work? I was hoping/thinking so.",2,,Modem Setup,1,1
ID1224502982,how do i set up my wifi,2,,Home Wifi,1,1
ID1224503757,Will TWC ever carry RFD TV again?,2,,Service Issue,1,1
ID1224507198,My Ip address,2,,Modem Setup,1,1
ID1224513938,i need my account number,2,,Account Info,1,1
ID1224519779,TV and internet not working,2,,Internet Not Working,1,1
ID1224521539,question regarding time warner being provider for an App,2,,App Issue,1,1
ID1224521563,customer code / downloading antivirus software,2,,Anti Virus,1,1
ID1224524204,My WIFI keeps crashing,2,,Home Wifi,1,1
ID1224527685,"Have not been able to log in to my account, they try to repair it about 2 weeks ago. Unable to resolve division Error Code: NO_DIVISIONReference ID: ESD2Q-85R9M-EZDSF-UCEZK-EHPMU",2,,Login Issue,1,1
ID1224528587,app not loading on my mac,2,,App Issue,1,1
ID1224528602,I have the ARRIS/Motorola SB6183.  I wanted to know if our system has been upgraded to the Ultimate 100 Internet plan?,2,,Upgrade Plan-Internet,1,1
ID1224532819,We cannot log-into my wife's e-mail account,2,,Login Issue,1,1
ID1224535284,is not working,2,,Internet Not Working,1,1
ID1224540239,I am out of the country and suddenly I can no longer access my email account. I will be here in Italy for another week.  Why am I not able to access it anymore?,2,,Account Disabled,1,1
ID1224540288,A TWC tech was scheduled to arrive at 9-10:00 am,2,,Appointment,1,1
ID1224545254,"Will it take more than three attempts to get my issue fixed? Im willing to say yes, we shall see.",2,,Service Issue,1,1
ID1224546042,I am receiving an error when I send emails to my office. Apparently TWC has been put on a spam list. Can you remove it or do they need to? Here is the message I'm receiving: This message was created automatically by the mail system (ecelerity). A message that you sent could not be delivered to one or more of its recipients. This is a permanent error. The following address(es) failed: sherman.stone@bethany-umc.org (after RCPT TO): 550 Server IP 107.14.73.227 listed as abusive. See http://www.linu,2,,Email Issue,1,1
ID1224551048,"Recently when I signed on to the internet I received a dialogue box that I needed to exchange my modem with TWC.  I can't find any informatoin about this on the TWC website, is this a virus?",2,,Anti Virus,1,1
ID1224555972,I went to use phone this morning-says no line. I pay for phone service. I have a payment ar,2,,Phone Not Working,1,1
ID1224558479,need help wifi is not working,2,,Home Wifi,1,1
ID1224564228,vonage phone not getting on internet,2,,Phone Not Working,1,1
ID1224566872,setup online account says already have account. i have forgotten my information,2,,Login Issue,1,1
ID1224567808,i am unable to login into my account.  i forgot my username and iam unable to setup a new one,2,,Login Issue,1,1
ID1224569609,Does customer service ever get anything right on the first attempt?,2,,Service Issue,1,1
ID1224569613,Just came home from vacation. Internet is no longer working. Have tried turning the modem on and off with no success. TV is still working so its not a cable issue. I am thinking it may be a modem issue. Do you have any trouble shooting suggestions??,2,,Internet Not Working,1,1
ID1224571303,"My services are cancelled, but I received a statement. Why?",2,,Receving Bill - Paper&Paperless,1,1
ID1224571313,cant remember my email,2,,Login Issue,1,1
ID1224574034,I am paying for extreme internet but only have 10 email boxes max,2,,Email Issue,1,1
ID1224579234,"Account locked, trying to set up new email",2,,Account Disabled,1,1
ID1224585547,i was chatting with Paul and lost connection.  i have my username but it has been disabled when i try to login online,2,,Login Issue,1,1
ID1224596934,I can not sign into my account,2,,Login Issue,1,1
ID1224600316,I am looking at the recommended modems. I currently have Motorolo SB5101U which was previously on the recommended list. I use the internet only for browsing. Would I see a noticeable increase in performance on the internet if I changed modems?,2,,Purchase Modem,1,1
ID1224601139,It is not accepting my usewr name,2,,Login Issue,1,1
ID1224604797,cant remember email password,2,,Login Issue,1,1
ID1224605609,My account has been disabled,2,,Account Disabled,1,1
ID1224605636,just completed a speed test- is very slow,2,,Speed Issue,1,1
ID1224610742,Need help logging in and also need to know the fee to cancel services,2,,Login Issue,1,1
ID1224612494,Am I being billed for the modem,2,,Bill Related,1,1
ID1224613265,phone cannot call out / call in after it was cut off during a conversation,2,,Phone Not Working,1,1
ID1224613308,some hd channels not working,2,,Channel Issue,1,1
ID1224616712,It is saying my account has been diasbled! It has not.,2,,Account Disabled,1,1
ID1224616732,cancellation request,2,,Cancellation,1,1
ID1224616746,checking whether TWC blocks any ports in/out of customers?,2,,Service Issue,1,1
ID1224617571,Hi. Iw ould like to have my emails say they come from a deifferent name than my current email address. currently it is faranetta1@tx.rr.com and I would like to have it say it came from melinda@girlmeetslake.com. I do not know if I need to change the actual email address or if i can jsu change the name. I receive emails sent to melinda@girlmeetslake.com in my inbox but when I reply they come from faranetta1@tx.rr.com. is there a way to change this. Thanks.,2,,Email Issue,1,1
ID1224618464,logging in to lifetime tv with time warner credentials does not work now when it worked two hours agao,2,,Login Issue,1,1
ID1224619303,WANT TO KNOW IF TIME WARNER HAS COVERAGE AT OUR AREA,2,,Service Availablity,1,1
ID1224619339,how do I port my existing number,2,,Update,1,1
ID1224621157,Billing,2,,Bill Related,1,1
ID1224622159,How can I find my WiFi password to add a new device or allow additional access?:,2,,Additional User,1,1
ID1224623871,WANT TO KNOW IF YOU OFFER SERVICE IN THIS AREA?,2,,Service Availablity,1,1
ID1224625791,cannot find input once changed TV,2,,Tv Not Working,1,1
ID1224627613,My Wifi does not reach all of the rooms in my small house.  What can be done to improve the connection?,2,,Home Wifi,1,1
ID1224628481,I have issues with my connection on a regular basis need help,2,,Internet Not Working,1,1
ID1224629362,services,2,,Service Issue,1,1
ID1224631999,"I have an intermitent problem with my phone, when I answer a call ther is no connection.  ,",2,,Phone Not Working,1,1
ID1224638173,need query on internet outage?,2,,Internet Not Working,1,1
ID1224640804,"I am planning to buy a wifi enabled modem for ""Everyday low price"" ?",2,,Purchase Modem,1,1
ID1224644437,iam unable to login,2,,Login Issue,1,1
ID1224647183,periodically slow internet connection,2,,Speed Issue,1,1
ID1224648884,dlink wireless receiver,2,,Modem Setup,1,1
ID1224649697,I leased a modem and don't know where to mail it back to.,2,,Return Box,1,1
ID1224652249,Sales Represenative,2,,Appointment,1,1
ID1224654019,password,2,,Login Issue,1,1
ID1224654889,Ive been logged out of my account,2,,Login Issue,1,1
ID1224656594,How can I find my WiFi password to add a new device or allow additional access?:,2,,Additional User,1,1
ID1224656597,"My email's been erratic for more than a week now. Today I just sent a group mail to a list that includes a trusted (and recently working) email address bounced with a message that this ...@sbcglobal.net address didn't exist. When I tried to send a single message just to that recipient, I got another bounce ... this time with 69 other ""doesn't exist"" email addresses ...all ending in either .fr or .de. I was in the middle of a phone conversation about this with national (I think) Tech Supp when I ",2,,Email Issue,1,1
ID1224658396,How do I set up Caller ID on TV?,2,,Caller Id,1,1
ID1224658408,My  internet is not working and I have rebooted the modem once,2,,Internet Not Working,1,1
ID1224662812,How can I reschedule my appointment to turn on my services?,2,,Appointment,1,1
ID1224663644,Why do I have to reboot my TWC box every time I turn on my TV? Its very frustrating!!!,2,,Cable Box Not Working,1,1
ID1224663659,slow uploads,2,,Speed Issue,1,1
ID1224666300,I need to set up a new email account,2,,Account Setup,1,1
ID1224670035,Is residential IPV6 available for the Austin Texas service area?,2,,Service Issue,1,1
ID1224670061,phone takes 3-5 seconds to connect once call is picked up,2,,Phone Not Working,1,1
ID1224670067,password,2,,Login Issue,1,1
ID1224672869,I am unable to access my home phone voicemail. It says I have tried to enter my password to many times. Help.,2,,Voice Mail,1,1
ID1224673794,what is my email address?,2,,Email Issue,1,1
ID1224682030,streaming,2,,Streaming,1,1
ID1224688415,"a rep tried to install cable at my apartment last friday but said the line was bad, when is the next crew going to come out to fix the line?",2,,Cable Issue,1,1
ID1224691107,No sound and interrupting frames,2,,Tv Not Working,1,1
ID1224693711,why do ya'll show 2 modems on my accont,2,,Account Info,1,1
ID1224699129,Internet slow today.  I'm only getting between 3-8 Mbps download speed.  I've re-booted the modem with no improvement.  What's the issue?,2,,Speed Issue,1,1
ID1224700152,I am getting tons of robo sales calls.  How do I block these calls (I have already registered with the governments' no call registry)?,2,,Block Calls,1,1
