,Account Management,Billing & Payments,Complaints,"Discounts, Offers, Promotions",Disputes,Fees and charges,Fraud,"Modifications, Cancellation and Refunds",Ordering Process,Product or Service Details,Product or Service Quality issues,Purchase Pricing Enquiry,Scheduling Appointments,Shipping  & Order Status,Warranty & Repairs,Website Issue
Purchase Pricing Enquiry,-2.36442044698,-1.54868602644,-0.749828527021,-1.40791175281,-1.03482118676,-0.919683210947,-1.26922374078,-1.10536091306,-1.27783935936,-1.24302993607,-1.12389819267,0.954375320312,-1.35643190903,-1.58129189619,-1.91462821915,-1.28780195462
Billing & Payments,-0.451885801571,-0.0545957995461,-1.39210752515,-1.29344167709,-1.6944106508,-1.10849034773,-1.24880999484,-0.604804213029,-1.25099523756,-1.62518715594,-1.53420655559,-1.04599627711,-1.64269730527,-1.622012893,-1.19641755493,-1.27745265974
Fees and charges,-0.332969977104,-1.28557015055,-1.23312038937,-1.67041975399,-1.0157727454,0.268284638561,-1.25724745691,-1.59276505581,-1.12887606051,-1.58930710722,-0.864368802014,-1.06931838282,-1.45350354317,-1.1218748118,-1.24722088476,-1.12101107199
Fees and charges,-0.131851613674,-1.68105830916,-1.3992886676,-1.82520957397,-1.1127131803,0.924468846719,-1.40578697685,-1.42241195824,-1.51508937392,-1.8197503738,-1.783865839,-1.68076041403,-1.65851276638,-1.81314698909,-1.55285383164,-1.70699584068
Account Management,0.62145851567,-1.16378078575,-1.20501170424,-1.2289185281,-0.559743940817,-1.21625106273,-1.19023681423,-1.35724131202,-1.24265788157,-1.65902597351,-2.12228536738,-1.32054449685,-1.5655474475,-1.42676046126,-1.73582140141,-1.3122436403
"Modifications, Cancellation and Refunds",-2.30668200986,-0.685189870085,-0.909398585811,-1.076623721,-0.940840810819,-1.40926336109,-1.15278778705,1.0872021455,-1.14186501184,-1.13655429969,-1.63995301498,-1.97348178518,-1.69689824422,-2.15462959286,-1.4049629711,-1.13897082725
Product or Service Quality issues,-1.70882167998,-1.37134708338,-1.04699318964,-1.26911133843,-1.30700084227,-1.55226469284,-1.0221884375,-1.66889496907,-1.07704578202,-0.81025822065,0.331942960998,-1.07875041892,-0.866037460595,-1.44610653729,-1.46522874293,-1.23983024795
Billing & Payments,-1.49574840863,0.413517455931,-1.25955169319,-1.26486842534,-1.02317762349,-1.63564235167,-1.12330964427,-1.57688182202,-1.20798015147,-1.39326187135,-1.96189686408,-1.28331179277,-1.63017909211,-1.7514027013,-1.0422061567,-1.04675843601
Billing & Payments,-1.62242595931,0.155843399582,-1.34151229324,-1.67208330683,-0.623984322392,-1.03291531874,-1.35945395323,-1.73445708228,-1.4591203372,-1.31525784476,-0.933522214091,-1.58293395752,-1.22534037089,-1.26447066467,-1.71849702199,-1.44606026853
Scheduling Appointments,-1.26419425099,-0.526014340561,-0.998793473127,-1.32394476803,-1.65015766208,-1.08080267479,-1.03824252476,-1.01303342532,-0.891566073488,-0.905669711978,-0.537554022322,-1.05015272749,0.148976149423,-0.761222557098,-1.53445054146,-1.07159284163
"Modifications, Cancellation and Refunds",-1.51384985036,-0.192522435174,-1.28166595587,-1.2406511096,-1.43000246568,-1.15283550281,-1.15832085553,-0.09922209841,-1.11010703772,-1.32185001533,-0.897313720801,-2.55551023986,-2.10997380756,-2.60107935433,-1.19543464699,-0.91470320985
Fraud,-0.669104552769,-0.701851467324,-1.36299801653,-1.10490567226,-0.959388504215,-0.807997614685,-0.293036843479,-1.53501617794,-1.05316462898,-1.16730957084,-1.33738547227,-1.23823589849,-1.41137723261,-1.13325014736,-0.931741187181,-1.18689114388
Fees and charges,-1.33378632137,-1.38928347645,-1.09236269839,-1.35816484907,-1.00472144411,1.0304989549,-0.97975646477,-1.66706963989,-1.08577614775,-1.24467756801,-1.72871260271,-1.55617171134,-1.29059743685,-1.38320011777,-1.15939013479,-1.30138082284
"Discounts, Offers, Promotions",-1.69839806287,-1.08151538189,-1.17247595045,-0.0670638635242,-1.84076107338,-1.72302086699,-1.09833711686,-1.33765304418,-1.12308639486,-0.925482283201,-1.63006266278,-0.968163781545,-1.22623726647,-1.8737300454,-0.313953005858,-1.30355202265
Disputes,-1.23267923104,-1.48425847732,-1.18276689412,-1.67636472871,0.0949255965722,-1.05039725898,-1.16814527119,-1.40318389583,-1.15195839862,-1.27588431146,-1.29765807984,-2.01007229477,-1.79939401019,-0.74104109794,-1.16162215686,-1.11769032533
Billing & Payments,-2.74807068762,0.87897828611,-1.26699643765,-1.40362253718,-1.14728702553,-1.73136048253,-1.22026612002,-1.38029430715,-1.18577861702,-1.69073191266,-1.64677338493,-1.79019327019,-1.66672725697,-2.74139680924,-1.07918433584,-1.29669847864
Account Management,0.591738362171,-1.87824470928,-1.28785161619,-1.26938893816,-1.27234888588,-0.908683695978,-1.12251196344,-0.813884902996,-1.15684369049,-1.72630289581,-1.5177877344,-1.72364577085,-1.65588480339,-1.26489198663,-1.32219082863,-1.21975176905
Warranty & Repairs,-1.69977516799,-0.963423840941,-1.06366521308,-1.40720000228,-0.952011137371,-1.09753174358,-1.00089418053,-1.55421159187,-0.975255255139,-1.50087949833,-1.21108286093,-0.508710832013,-1.5324928686,-0.94893514654,0.573984673148,-0.944039516977
Product or Service Quality issues,-1.55670882687,-1.98709831904,-1.18986463643,-1.06641321981,-1.54582041387,-1.74066149577,-1.1950021705,-1.37517423777,-1.21312313941,-1.42941483624,0.848671306166,-0.294761068022,-1.3216979633,-1.59497841962,-1.84824470639,-1.31912749101
"Discounts, Offers, Promotions",-1.54602597396,-1.10925405469,-0.982104337298,0.695608046672,-0.865543241443,-1.29167142445,-1.03336178731,-0.969648694837,-0.820762356335,-1.51561672739,-0.884753843442,-1.71854632433,-1.43578367998,-1.2812061816,-1.20049970915,-1.32719309364
Product or Service Quality issues,-2.79890577472,-1.58813486101,-1.10437860173,-1.34363649687,-1.47430275357,-1.41410490024,-1.14668005334,-1.57375445094,-1.30696104586,-1.80295454651,0.0957645592326,-0.400225927273,-0.0781352485487,-1.64442139635,-1.55147157753,-1.05413433921
Account Management,0.0530973058261,-0.412864285545,-1.07737228113,-0.731540247471,-1.22047530487,-1.99359907141,-1.21199047606,-1.15531232456,-1.17380587078,-0.931126859772,-1.68958675937,-0.662720876111,-1.18820400914,-1.39548787555,-1.35809054468,-0.934985968868
Billing & Payments,-0.261804048677,0.138735193189,-1.11412387293,-1.384512705,-0.941409812676,-1.91461818422,-1.08813117097,-0.783360296054,-0.981841977402,-1.14533904927,-0.942504324617,-2.19836854316,-1.41521966218,-2.74523999575,-0.932909547932,-1.10438580537
Scheduling Appointments,-0.952639376164,-0.942839122537,-1.06886973397,-1.2893023927,-1.20861419255,-1.28585307677,-0.957756416728,-1.59255789616,-0.705175197176,-0.721697409568,-1.30825154481,-1.21087128528,-0.397087029439,-0.896972850475,-1.18062316229,-0.983697632239
"Modifications, Cancellation and Refunds",-0.254588541795,-1.25530611797,-1.13878769743,-1.33566680302,-0.510983907303,-1.5616791497,-1.16560703846,-0.0539367915101,-1.20223576171,-1.31404235971,-1.08375108637,-0.965130954183,-1.05019695589,-1.55422130732,-1.31549310445,-1.10391216725
"Modifications, Cancellation and Refunds",-2.02446379957,-1.45670558355,-1.06786585407,-1.0967589312,-1.57806368723,-1.38105538126,-1.1246613775,0.484441982021,-1.08577095197,-1.3064815051,-1.79401981674,-1.49720387265,-0.963698401595,-0.302265052874,-1.44654508728,-1.02168670353
Account Management,-0.286051860056,-0.293290446877,-1.16645964341,-0.853667412889,-0.338506212909,-0.946658503656,-1.27941538458,-1.49176815341,-1.2208299644,-1.63063119246,-1.27808856008,-1.88035162441,-1.49246922653,-1.50202756525,-1.31351291671,-1.37139461695
Fees and charges,-1.1697560369,-0.714192716254,-1.26401809029,-1.62614238975,-0.529963615643,-0.430652481838,-1.10325264114,-0.737987067226,-1.08142503311,-1.06554963428,-1.31519324319,-0.979676154604,-1.1291562237,-1.30413782345,-1.40472815973,-1.0849071708
"Discounts, Offers, Promotions",-1.29074302327,-1.26799910868,-1.27671972581,0.292420489067,-1.37651245871,-1.64346908328,-1.40254796892,-1.54486483865,-1.30198347863,-1.651969099,-1.54268181493,-1.93844184823,-1.30945197778,-1.54279547566,-1.14809816881,-1.58719786709
Complaints,-1.68240615194,-1.18585155753,-0.279992260681,-1.15778608481,-0.819148898509,-1.57988063153,-1.12647076588,-0.507917075998,-1.17941419085,-1.17801782897,-1.48885571383,-0.705971976395,-1.17756645459,-1.29846311107,-1.15349473096,-1.0606414926
"Discounts, Offers, Promotions",-1.9233196417,-1.95423899679,-1.10319637208,1.08647238697,-0.728419723194,-1.7516767406,-0.943991307526,-1.79566419532,-0.990035164807,-1.21908063687,-1.07631556866,-1.4602574773,-1.5719315528,-1.34610203611,-0.745282104075,-0.951964808328
Disputes,-0.658431273099,-1.2255036023,-1.17907873427,-1.40948850742,0.622010824373,-1.4432542521,-0.818399493275,-1.55509663171,-1.16271343631,-1.21351586595,-1.64034026608,-1.43777654412,-1.2798715168,-1.29093357531,-1.51421302195,-1.13005053704
Billing & Payments,-1.17662273681,-0.176584266656,-1.16511039431,-1.61208044405,-1.2120049256,-0.827924829558,-0.947744576194,-1.76422603689,-1.23628365267,-1.30458509552,-0.775864789281,-1.51451190154,-1.26491650796,-1.35167828032,-1.08040799982,-1.25194875626
Billing & Payments,-2.16353087534,-0.0832800090135,-1.47611953501,-1.82664528913,-1.82498844924,-1.52734908805,-1.21880575131,-0.11757948286,-1.25079583678,-1.50988107598,-0.809493066119,-1.74822880496,-1.38025551009,-1.97924320272,-1.36921526333,-1.39781907485
"Discounts, Offers, Promotions",-2.70043584764,-1.88718062186,-1.16095308481,1.71886736407,-1.29724107174,-1.71237574609,-1.2013764807,-1.52346010166,-1.08577077826,-1.5280622716,-1.53446531939,-1.28696380942,-1.43713708544,-1.39855771706,-0.948470995964,-1.35445498483
Account Management,-0.162489654836,-0.695898155078,-1.15156776586,-1.36645185263,-1.01379818762,-1.69599651662,-1.06691809378,-0.979577805447,-1.03216638281,-0.996811801366,-1.167609316,-0.594032470363,-1.35619589537,-1.26066578625,-1.2700523141,-1.09729775604
"Modifications, Cancellation and Refunds",-1.35125426774,-1.18786881471,-0.687998373361,-1.08253583134,-1.52909075529,-1.20667128056,-0.996155583202,-0.126992405221,-0.614118380513,-0.570435508901,-0.835311942948,-1.31764330048,-1.61193518746,-0.549296309933,-1.07937257794,-0.860528837763
Billing & Payments,-2.67330146156,2.46515095312,-1.23165223403,-1.58439833264,-1.66024336652,-1.73509410079,-1.26827189093,-1.36631373018,-1.23616113483,-1.53528520684,-1.62309195745,-2.03941092028,-1.70439174174,-2.07401119678,-1.49636360208,-1.25109367453
Scheduling Appointments,-1.76101764051,-1.27948381967,-1.41609145102,-1.43041114864,-1.27223378754,-1.41643071415,-1.01814563803,-1.12654262528,-1.01011515111,-1.18241384877,-1.28510779933,-1.51203781106,0.804501782633,-1.33959660245,-1.11633186579,-1.09320556689
"Discounts, Offers, Promotions",-0.862687411302,-1.2467635755,-0.956533441453,-0.216692156986,-1.52479639177,-0.290562642485,-0.955997117538,-0.793443766856,-0.895192003515,-0.916799993243,-1.32208784882,-1.57186296712,-0.913785169853,-1.18832282348,-1.21112978692,-1.03345971434
Shipping  & Order Status,-0.862075686841,-1.12861132266,-0.96393465386,-0.954054265598,-1.1815322704,-1.28507655645,-1.03691545486,-1.48820135823,-0.726572101651,-0.765009944085,-0.859036766488,-1.19118353014,-1.40388693377,-0.293834562885,-1.09527945222,-0.485437154587
Account Management,1.54135548027,-1.25088327497,-1.18797008635,-1.33722466806,-1.16735937226,-1.46313532434,-1.08280033057,-1.60439179631,-1.23082495097,-1.21286461847,-2.04301738664,-1.64413578294,-1.28333618038,-1.18118159572,-1.34913306773,-1.36877814678
Product or Service Quality issues,-2.32089619174,-2.10097242749,-1.24078149088,-1.41491103929,-1.34292596497,-1.96579525123,-1.33376511941,-1.5092321088,-1.20323568194,-1.88478873418,0.638548474036,0.241792546003,-1.57868323668,-1.62994268438,-1.57421865959,-1.45312330074
Billing & Payments,-2.51195277238,0.914393149523,-1.23617326507,-1.53850788018,-0.707444880609,-1.30060810634,-1.17535843933,-0.5636436562,-1.37279631512,-1.6971054544,-1.58883641901,-1.68809715558,-1.74609643843,-0.885270945755,-1.46944366282,-1.3559305088
Fraud,-0.806769954203,-0.767950650484,-1.16774668929,-1.2993691288,-0.4775940449,-0.725595972675,-0.466925161884,-1.10386482508,-1.11207332005,-1.26697411584,-1.51026425347,-1.56902670898,-1.37086229842,-1.83592451515,-1.76561948321,-1.13930624275
Account Management,0.136607955158,-0.832231924917,-1.23035145487,-1.62981655662,-0.775908234185,-0.673241656142,-1.18808111206,-1.18820987269,-1.47395622581,-1.5220926544,-1.8804513741,-1.22349441765,-1.97597932222,-1.87429523838,-1.03861710631,-1.43194678122
"Discounts, Offers, Promotions",-1.43597544337,-0.425785149465,-0.986595509521,-0.390286038703,-1.10730081945,-1.6029713146,-1.08348448958,-1.57172725821,-1.07984219035,-1.42534321021,-1.62775359021,-1.39274988521,-1.44414662477,-1.5806786978,-0.631743393829,-1.29520401372
Account Management,1.17162039697,-0.947026308542,-1.10614155704,-1.38272904383,-1.15691930036,-1.39955225106,-1.00496683587,-1.24504636626,-1.22656444674,-1.38919508389,-2.04025708829,-1.59026342443,-1.2107773792,-1.40170049337,-1.40435927063,-1.21538494849
Scheduling Appointments,-1.68498982808,-1.04425879577,-1.04997857759,-1.03470632405,-0.83502592374,-1.48362744983,-0.946866469772,-1.31779574897,-1.16058526827,-0.84770946333,-0.625745875386,-1.20803502389,-0.203193741453,-1.54459424368,-1.31327621544,-1.14027065253
Account Management,1.12312634342,-1.33616029552,-1.38881750634,-1.16958223046,-1.58227613269,-2.11627329195,-1.39836541373,-0.728827893468,-1.27182527092,-1.35143433307,-2.16465018951,-1.6016450683,-1.78163985025,-1.82298227765,-1.31247710584,-1.21583593974
Fraud,-1.41124862371,-0.647117942318,-1.17279927136,-1.41672461738,-0.789427075068,-0.592342115375,-0.266681273717,-1.2000192566,-0.933141713444,-1.09183830295,-1.30538652637,-1.32025108212,-1.38126572858,-1.36826737518,-1.23592738845,-1.14799047487
Billing & Payments,-2.10554566299,0.55297556905,-1.51898605569,-1.6945856536,-0.551665272372,-1.09494633144,-1.49044965094,-0.987402362883,-1.4610456911,-1.99512795845,-2.35607329806,-2.53521331373,-1.88227090184,-2.04017316348,-1.56895764735,-1.77023871647
Product or Service Details,-0.994483182109,-0.567089112894,-1.01349344187,-0.810670860488,-1.33173661535,-1.47517037884,-1.06565618661,-1.22847981282,-1.10393714499,-0.511683454927,-0.85626381886,-1.04870311681,-0.934231723437,-0.942378172318,-0.904512311166,-1.22742211497
Account Management,1.26681562562,-1.26972064612,-1.15012419429,-0.901760225632,-1.42741860281,-1.59507476187,-1.13450658639,-1.33082667935,-1.19397848812,-1.37137405044,-1.48240205924,-1.24302307976,-1.11525862397,-1.43674317076,-1.35814548289,-1.27633637626
Scheduling Appointments,-1.29257470308,-1.01040733168,-1.18748756666,-1.67051981718,-1.31132068726,-1.12668891322,-0.963682756392,-1.44141831834,-0.980919506152,-0.991989111982,-0.601390970222,-0.950749044873,0.255482824568,-1.17725085792,-1.04466233413,-1.07606637729
Account Management,0.901172575181,-1.54691744004,-1.19879252489,-1.17142632731,-1.51330330812,-1.0343647945,-1.00840960003,-1.11833245725,-1.07400702326,-1.22603009089,-1.48381844495,-1.92067274931,-1.66282868468,-1.28345531602,-1.25719198117,-1.20108630639
Website Issue,-0.417097662575,-1.00755435252,-1.25080283861,-0.946301379193,-1.6298418287,-1.42976630167,-1.26826547066,-1.35473698458,-0.832262343942,-1.25607060894,-1.46533839426,-2.02823358246,-1.32593941818,-0.509215153338,-1.26573577772,-0.274335734704
Product or Service Quality issues,-0.950630605693,-1.17815732628,-1.16546874833,-1.53297972399,-0.942283927319,-1.49644441629,-1.00878856162,-1.49558824563,-0.974710888913,-1.11370223404,1.00588225188,-1.36147402606,-1.04294036259,-1.5171633538,-1.06216831835,-1.24610178999
Billing & Payments,-0.432371441232,-0.404837262165,-1.40674582794,-1.31394574989,-1.54615801948,-1.22174183283,-1.27586030908,-1.32420280077,-1.21886323082,-1.92573494136,-2.1368520967,-1.23300799446,-0.744453962659,-1.23235024023,-1.35302804966,-1.27195454314
Purchase Pricing Enquiry,-0.978386898825,-1.34969141027,-1.10451811449,-1.85078294334,-1.34288681806,-1.75114856668,-1.09490630417,-1.26942891991,-1.11302213109,-1.07474129773,-1.23760454085,0.175327834084,-0.434745960034,-1.47557352146,-1.13276224607,-1.1142000538
Product or Service Quality issues,-1.58471308733,-1.48922121745,-1.25840634339,-1.17717585005,-1.69089952298,-1.84411817357,-1.18202755702,-2.11526423132,-1.38100270854,-1.51047328039,0.205651422354,-0.157675990476,-1.03091362047,-1.26558060817,-1.85508624079,-1.61685420387
Product or Service Details,-1.10552629474,-1.06847575258,-1.07404838809,-0.909569292995,-1.30479817026,-1.46117150897,-1.06474063958,-1.62729943873,-1.08194832334,0.856363086728,-1.27105645259,-1.31112067459,-1.36845868461,-1.16221148475,-1.07796039382,-0.881511459045
Disputes,-1.79436008475,-0.525828540027,-0.986144315472,-0.445417930064,-0.0929805151899,-1.00169003806,-0.904578906284,-1.08053090479,-1.16278294562,-1.33408078372,-1.04544698423,-1.47636485025,-1.09635642947,-1.62078828665,-1.50317682307,-1.0259909408
Product or Service Details,-1.0369237417,-0.663839221817,-1.02342758248,-1.0911750749,-1.4061293711,-0.899869676169,-0.901980819168,-1.68609128143,-0.972878381388,0.479659481245,-1.38874858739,-0.801040801902,-0.947322143377,-1.38238878125,-1.18663417665,-0.806046754354
"Discounts, Offers, Promotions",-0.932011895173,-2.03189075238,-0.892347512816,-0.235932162404,-1.20398640912,-1.334617419,-0.739622681105,-0.85071127157,-1.11668330351,-1.10864707622,-0.934995991964,-0.969514887883,-1.41491025694,-1.31334133516,-1.14880040839,-0.967369874467
Billing & Payments,-0.677530053975,0.2338496358,-1.45275259883,-1.11645295088,-1.02824914542,-1.48737835927,-1.23829667525,-1.36858943267,-1.29565435402,-1.96693930039,-2.19869185848,-2.38257666112,-1.96606381721,-1.59980054747,-0.923574173196,-1.37195325917
Product or Service Quality issues,-1.64115578492,-1.38613128375,-1.40370457329,-1.45394577707,-1.42364096503,-1.27894394336,-1.04144330398,-1.14466961299,-1.02799491999,-1.07596836714,1.57708711819,-1.10543516895,-1.34912229727,-1.22195784085,-1.46426494705,-1.08478497095
Product or Service Details,-1.11323285811,-1.02778220361,-0.911199583141,-1.05381173083,-1.08740061644,-1.12228169861,-0.865324571673,-1.47827142394,-1.02176718909,-0.113929452458,-1.14284708664,-1.26794174814,-1.12061843964,-0.412967570671,-1.11318154146,-1.0753284415
"Discounts, Offers, Promotions",-0.874492424197,-1.07001829032,-1.32268047927,0.363186393908,-2.1779819749,-0.924162978518,-1.13719936546,-1.27680763194,-1.1849134641,-1.46900371581,-1.98596552817,-1.84074473812,-1.69254659061,-1.319961954,-1.39149525013,-1.23765735899
Fraud,-0.807415948377,-0.815805528287,-0.812049143823,-0.999529278983,-1.00954558079,-1.09002332788,-0.690019982299,-1.36657706707,-0.757294137133,-0.694392031513,-1.05330569898,-0.997625325056,-1.03231920442,-1.06251695526,-1.02059941928,-0.806063987364
Disputes,-1.49334921436,-0.313721250884,-1.07135332185,-1.2542777399,-0.306126231277,-0.851011972772,-1.07283048112,-1.25802647348,-1.08178176054,-1.31725579919,-1.15367204858,-1.42054406279,-1.4891926512,-0.998897819861,-1.69006162609,-1.13223461065
Fees and charges,-0.716333469763,-1.0339733587,-1.22775580856,-1.80698185932,-1.60011439456,0.64386104468,-1.23803396987,-0.965846907027,-1.15764827606,-1.29865308327,-1.49623744334,-1.16685936557,-1.26897388291,-1.47856175141,-2.0612610514,-1.18877650054
Purchase Pricing Enquiry,-2.06088842792,-1.21821436417,-0.899823858053,-1.02344073169,-1.30324049504,-1.46346390983,-1.11168645731,-2.05184448502,-1.11778318987,-1.25575977709,-1.51221753509,1.21827962739,-1.45903739034,-1.34127530122,-1.26835078829,-1.17399024996
Fees and charges,-1.98683735105,-1.15130087666,-1.12436418169,-2.09573279013,0.311251515717,0.3400569214,-1.08525532464,-1.64960254501,-1.15580597729,-1.48275820528,-1.58795861516,-1.33525725734,-1.63276124899,-1.64083410638,-1.25484855086,-1.23562826972
Account Management,-0.308421931898,-0.65033094661,-1.12993153115,-0.901088968617,-1.43886626532,-1.02855255521,-0.869795315844,-1.45822748381,-0.882610151251,-0.67981206963,-1.19430118191,-0.707902327445,-1.16201167952,-0.696245028973,-1.42350960528,-0.894575429793
Fees and charges,-1.98207448362,-1.11461926006,-1.30891286042,-1.53885874369,-1.8355474885,0.983047200756,-0.950569964921,-0.600736344241,-1.39065565092,-1.57239119624,-1.82300379105,-1.5395409999,-1.61953054781,-1.88615643418,-1.50254082357,-1.39587014637
Product or Service Details,-1.00843196022,-1.00554734443,-0.617053717108,-1.09240168085,-1.06989473962,-1.28430572438,-0.889374201876,-1.46697479505,-0.872624689123,0.205467343758,-1.16603772702,-1.00902751369,-1.13723037216,-1.45362486667,-1.11362489823,-0.899595043971
