XTest,sessionId,y__true,y_pred,y_prob_max
a family member has a broken boiler and i understand there are a few options,INT-sv1appin09-1453140711499-226812,Product or Service Quality issues,Product or Service Quality issues,0.331942960998
how do i change the amount of a one time payment,ID1103158464,Billing & Payments,Billing & Payments,0.413517455931
can you please wave the 1000 fee  my account is overdrawn and i cant afford to balance it out right now,ID1095727319,Fees and charges,Fees and charges,1.0304989549
i am showing that a payment was scheduled to be made onxxxxxxxx in my email and i tnk that payment was cancelled and i just made a payment today are you showing in your records a payment being made onxxxxxxxx-15,INT-sv1appin10-1438101343880-84381,Billing & Payments,Billing & Payments,0.87897828611
pllip foster want to close account ending in 7239,INT-sv1appin09-1438100079761-84222,Account Management,Account Management,0.591738362171
i just wanted to see about ordering a new card with a different image on it and im not sure where to go to do that,ID616939828,Warranty & Repairs,Warranty & Repairs,0.573984673148
 we have homecare cover for service of boiler and gas fire  not sure if it covers repairs ,INT-sv1appin10-1453109701181-223744,Product or Service Quality issues,Product or Service Quality issues,0.848671306166
 have received a pound12 energy credit voucher however my name has been spelt incorrectly therefore i cannot collect it,INT-va1appin09-1452765469888-889,"Discounts, Offers, Promotions","Discounts, Offers, Promotions",0.695608046672
"i placed an order on 106 and as of ts morning i checked tracking for an item and it says it has been cancelled by the spper xxxx-xxxx-0109 xxxxxxx thank you ""no the boots size 11 had a tracking  and as of ts morning it says it was cancelled by spper but i have not received email refund or items"" ts is the tracking  target sent 1zy8f934ywxxxx-xxxx-60",INT-sv1appin09-1445194296290-886,Shipping  & Order Status,"Modifications, Cancellation and Refunds",0.484441982021
  mckenzie i called capital one about a problem logging into or creating a rewards checking account i received a confirmation number 188725 and was told the problem should be resolved witn a couple of days and after over a week my account still doesnt work id like to redeem my points before my account changes,INT-sv1appin10-1438290815044-98935,Account Management,"Discounts, Offers, Promotions",0.292420489067
how do i view and cash in points i have done in the past but cannot remember how,INT-va1appin06-1437166814606-23655,Account Management,"Discounts, Offers, Promotions",1.08647238697
 im jessica carrilloi need to dispute a transaction on my mastercard debit card,INT-va1appin07-1437239518591-27122,Disputes,Disputes,0.622010824373
i want to redeem my rewards checking rewards,INT-va1appin06-1437479722257-42403,"Discounts, Offers, Promotions","Discounts, Offers, Promotions",1.71886736407
 i just wanted to ask about a payment check payment i made that the payee never received the payment would have been mailed to them but t never got it i would like to stop payment on that as i subseuqently sent another payment the reference number is 10506 the amount was 139 and the payee was thomas pfundstein,ID1191543140,Billing & Payments,Billing & Payments,2.46515095312
i would like to book an engineer,INT-sv1appin09-1453211433374-233880,Scheduling Appointments,Scheduling Appointments,0.804501782633
i need to change the address on ts account please,INT-va1appin06-1437747979569-65563,Account Management,Account Management,1.54135548027
if i sign up to your home and boiler cover tier 3 at pound1525 per motnh can i claim the annual boiler service now from the outset  we have a pressure drop problem on our boiler right now but also would like cover going forward  i am keen to buy online to get the discounts applied,INT-sv1appin10-1453195809828-232669,"Discounts, Offers, Promotions",Product or Service Quality issues,0.638548474036
i did a chat last week regarding a bill pay that was never received by the person i was trying to pay reference 10352 the person on chat said t would credit it back to my account i did not see the 360 post yet any idea why not,ID1146894196,"Modifications, Cancellation and Refunds",Billing & Payments,0.914393149523
 i am not able to change the address from account managment could you please do that on my behalf i get an error message,ID1186245113,Account Management,Account Management,1.17162039697
i am trying to close my capital one bank accounts,INT-va1appin08-1437668028247-58941,"Discounts, Offers, Promotions",Account Management,1.12312634342
loan ending in 0281 ready credit payment was sent as an online payment from citibank checking on monday september 1st however did not post until two weeks later on friday september 12th causing a 10 late charge  i have never been late on payments  i am disappointed that on online payment from citibank to citibank took 12 days to post wch caused a 10 late fee  i have deleted my autopay monthly payment and have setup a recurring online monthly transfer beteen accounts instead  my request is to credit the 10 late charge on ts account,ID1191646681,Fees and charges,Billing & Payments,0.55297556905
im trying to register online for an account and having trouble,INT-sv1appin05-1452960625026-211006,Account Management,Account Management,1.26681562562
need to book a service,INT-sv1appin08-1452608556411-176379,Scheduling Appointments,Scheduling Appointments,0.255482824568
would you please close my savings account,INT-va1appin06-1437666033578-58701,Account Management,Account Management,0.901172575181
i do not know how to get messages off phone,ID1019458897,Product or Service Quality issues,Product or Service Quality issues,1.00588225188
 i need help my cat g boiler does not ignight,INT-sv1appin09-1453031328536-216382,Product or Service Quality issues,Product or Service Quality issues,0.205651422354
 can the tabitha fabric sofa bed be brought in any colour as i am looking for a green sofa bed but do not like the ones on offer,INT-va1appin08-1437730838200-64507,Product or Service Details,Product or Service Details,0.856363086728
i am looking for a wardrobe depth 55 height 200 width 150,INT-va1appin05-1438680845171-89467,Product or Service Details,Product or Service Details,0.479659481245
i made a capital one credit card payment and it was processed today but as i checked on my credit card account the payment didnt apply yet,INT-sv1appin07-1436803898245-64059,Billing & Payments,Billing & Payments,0.2338496358
 my home phone has not been working since my uverse was installed,ID1019449526,Product or Service Quality issues,Product or Service Quality issues,1.57708711819
 i am a citi premier credit card holder how can i tell how many points have,ID1202666690,"Discounts, Offers, Promotions","Discounts, Offers, Promotions",0.363186393908
can you check why my account has monthly service charges i were told if i have direct deposit there will be no monthly charges,ID1202790376,Fees and charges,Fees and charges,0.64386104468
i am sure we had an appontment today for smart meters to be unstalled but i have not heard from  _end_ thank ,INT-va1appin08-1453470681750-17953,Purchase Pricing Enquiry,Purchase Pricing Enquiry,1.21827962739
gm i see minimum interest charge being charged every month what is that,ID1095829814,Fees and charges,Fees and charges,0.3400569214
so i found out from several people to whom i recently sent wire transfers from my main checking account ending 0806 that t were charged 15 for the incoming wire transfer all of them save for one are citibank clients too in some of these instances ts is the manner in wch i pay the persons salary none of them had any idea these fees would be imposed there used to be no fees charged for ts i just transferred a total of 275 to the 5 people who were several times t with these outrageous fees 90 each to two recipients 120 to another 60 to another and 15 to the non-citibank person i believe that citibank should reimburse me for these fees -- or refund them to the appropriate clients and then i will sort out evening up with each of them,ID1148842864,"Modifications, Cancellation and Refunds",Fees and charges,0.983047200756
can you recommend a black microwave underpound50,INT-va1appin07-1437411792159-36627,Product or Service Details,Product or Service Details,0.205467343758
do you provide electricity to retail clients in london,INT-sv1appin07-1453217514443-234701,Purchase Pricing Enquiry,Purchase Pricing Enquiry,0.672696031721
my customer reference number is registered to occupier and i am unable to create an account because of ts ts will be my first paid bill since moving into the property,INT-sv1appin05-1453212255331-233968,Account Management,Account Management,0.61647677114
i am looking to switch my gas and electricity supplier but need a new boiler too was wondering if british gas had any deals currently for switcng,INT-sv1appin05-1452954963118-210425,"Discounts, Offers, Promotions",Purchase Pricing Enquiry,0.58084329925
i was wondering how much the monthly payment would be if i transfer a balance of 4000,ID665075146,Billing & Payments,Billing & Payments,1.62016674418
no thank you can i use my reward points towards a flight purchase i mean an airline ticket from jetblue aa or delta etc,ID1149797092,"Discounts, Offers, Promotions",Warranty & Repairs,0.476139557385
i am online now - obviously - but the system says it is too late for me to change a payment that will go out later today  however i know in the past ive called in with ts timing and the agent has been able to help me i dont need information i need you to stop a bill payment that the system wont let me stop,ID1202253604,Billing & Payments,Billing & Payments,0.607037379294
 martin here can u tell me is smart meter  _end_ no ,INT-sv1appin05-1452934078635-209304,Purchase Pricing Enquiry,Purchase Pricing Enquiry,0.894953107668
sandra stevens  15 ex20 1bb 31 01 1957 i had an account with you there i am no longer at that address but was trying to find out what nectar account my points went into wle i was with  _end_ thats great thankyou,INT-sv1appin08-1453203385643-233180,"Discounts, Offers, Promotions","Discounts, Offers, Promotions",0.879896316745
i would like to request a refund of atm fees incurred in canada here is a pasted spreadsheet of my withdrawals and fees incurred since my last refund,INT-sv1appin09-1438093501513-83477,"Modifications, Cancellation and Refunds","Modifications, Cancellation and Refunds",1.63103100315
i need another link to reset my password the one sent has timed out,INT-sv1appin05-1451321229937-67962,Account Management,Account Management,2.10622101461
ts charge was not authorized,ID1146603670,Fraud,Disputes,0.445670354397
i am trying to pay a bill but it is telling me to do the following the details you entered are currently in the name of occupier please call us on 0800 048 0202 and select the home move option so we can register the account in your name,INT-sv1appin09-1453209686557-233705,Billing & Payments,Billing & Payments,0.484984806082
" carl good morning i just realized we got charged a ""returned check fee"" of 3400 but i thought we had overdraft protection on ts account i feel like the original person who helped us set ts up several months ago did not explain tngs properly to us its a bit frustrating",ID1096485064,Fees and charges,Fees and charges,0.524395373465
i seen a table with 6 chairs yesterday it seems that its not on the computer today i tnk it was called swanley it was very cheap,INT-va1appin10-1437402927314-35529,Product or Service Details,Product or Service Details,0.753858304628
 ive just moved into a new house and need to register my account please,INT-sv1appin05-1451492318353-81851,Account Management,Account Management,0.630664716491
 i have nectar point of 2947 as at feb 2015 what can i use these point for,INT-sv1appin09-1452179796659-132745,"Discounts, Offers, Promotions","Discounts, Offers, Promotions",1.81270188121
ts contact had a payment sent first to didishanikgmailcom when citi did not send a payment to that email i stop that payment activity and set up a new payment to yykleinergmailcom i spoke to ts contact many times he claims it is correct i need to know what to say meanwle if citi knew sometng wrong with email why was i not told right the way it would have  prevented an overdrawing of the account why was i not told email is damaged,ID1102604326,Billing & Payments,Billing & Payments,1.11475639381
 arjun i have submitted an incorrect gas meter reading of 10490 online i then resubmitted the correct reading of 10049 please can you confirm that the correct meter reading is recorded and i will be billed for the correct amount my apologies i dont usually submit meter readings without making any mistakes thank you _end_ joanne victoria senior 850032210227 13 the sidings cnley derbysre sk23 6de 07956 122082 _end_ thats fantastic thank you so much for your help arjun much appreciated,INT-sv1appin05-1452948467733-209935,Disputes,Disputes,0.278665107833
i dont understand why there is a 250 non-citi atm fee for june 18 ts was a withdrawal from a citi atm,ID1142415617,Fees and charges,Fees and charges,0.351311011286
sorry about that srley and good morning to you i need to set up a monthly on line payment,ID1184778644,Billing & Payments,Billing & Payments,0.667263811578
 i am looking to take our landlord cover can you let me know when the gas safety check can be done and when the certificate can be  _end_ wf16 9 _end_ ok ,INT-sv1appin06-1453212246983-233975,Purchase Pricing Enquiry,Purchase Pricing Enquiry,1.06046625231
is the online website down  i cannot log on but i can on my phone,ID1203384353,Account Management,Account Management,1.08936076884
i am trying to make a payment and i already have an external account set up every time i click on payment with external account it leads me to a page to set up new accounts and i am not sure why,ID1147723421,Billing & Payments,Billing & Payments,0.787259392621
 can you tell me how many rewards i have,INT-va1appin06-1437259829062-28306,"Discounts, Offers, Promotions","Discounts, Offers, Promotions",0.977510231054
i would like to be informed about the status of my account i would like to be informed why is the account blocked i would appreciate your help,ID1097769674,Account Management,Account Management,0.739482385173
the phone seems to be working as well  still not sure why my wireless is so spotty  but i can schedule a tech to come out and check that for me right,ID1016172225,Product or Service Quality issues,Product or Service Quality issues,1.46864397391
 my moms central heating is not working and she has just come out of hospital today - will it be possible to sign up to homecare 200 and to ask for an engineer for today if possible,INT-va1appin05-1452782482270-1923,Scheduling Appointments,Scheduling Appointments,0.251944279465
 su i would like to order a one-off boiler repair actually i tnk that the fault is with a valve rather than the boiler together with the installation of the ve boiler controller and i am not a contracted customer for ts property although i am a landlords customer with you on a different property,INT-sv1appin10-1453200390075-232972,Purchase Pricing Enquiry,Product or Service Quality issues,0.726218051059
 susan order some items but i still not recieve them as yet ok no prob xxxx-xxxx-608 xxxxxxx,INT-va1appin10-1445099394151-22636,Shipping  & Order Status,Shipping  & Order Status,0.460860555096
i would like to close my account today,INT-va1appin06-1437749567710-65715,Account Management,Account Management,0.610716539314
i am looking at landlord pro is there an excess with ts policy for  _end_ i also have 3 gas appliancies that require a safety cert how does ts effect the  _end_ boilerhob ,INT-va1appin07-1453380407461-7494,Purchase Pricing Enquiry,Purchase Pricing Enquiry,1.52358138097
i am struggling a bit trying to find my checking account number and my routing number i discovered that my account is also closed,ID1208433132,Account Management,Account Management,0.903693091998
"i received an email that my order for store pick up will have to be changed due to items not at store do i need to re-pay for these ""ok ts was the email i received so when i went to change delivery option i saw the pay now button to continue with the order i have already paid so i wasnt sure if i should continue"" but i am changing the order for delivery since its not available for store pick up ok thanks",INT-va1appin07-1445044167199-40712,Shipping  & Order Status,Shipping  & Order Status,0.803086919454
how long do you tnk it will take to deliver a fridge,INT-va1appin06-1437378340630-33966,Shipping  & Order Status,Product or Service Details,0.616211224425
"i am trying to check out and every time i click complete order i get a box that says ""oops an exception occurred"" xxxx-xxxx-7398 filtrete odor reduction filter ""ok i will try that thank you""",INT-va1appin10-1445129738234-25695,Website Issue,Website Issue,0.423451149114
 i would like to ask about home appliances cover,INT-sv1appin10-1453203840028-233223,Purchase Pricing Enquiry,Purchase Pricing Enquiry,0.593820143454
 im trying to report a bill payment problem and the form doesnt go through when i click next,ID1100898695,Billing & Payments,Billing & Payments,0.854603888484
can i ask my gas and electricity use is not working on my direct debit part on my account,INT-sv1appin06-1452686884492-186101,Billing & Payments,Billing & Payments,0.334942282638
can you please tell me if there is a way to close my online bank account on the website i have already transferred all the money,INT-sv1appin06-1438107703037-85135,Account Management,Account Management,0.407378243628
can i arrange for all of the items to be delivered on the same day i work for a charity and were organising the items to be delivered to somewhere were renovating but were not there all of the time,INT-va1appin06-1437477635553-42297,Ordering Process,Shipping  & Order Status,0.455743813235
773-631-0745 is my house phone number wch is currently not working please have the technician call me at my cell number wch is 773-490-8837,ID1018374937,Product or Service Quality issues,Product or Service Quality issues,0.668484208614
im trying to register a new account but it keeps bringing up old details,INT-sv1appin06-1452519889250-165013,Account Management,Account Management,0.290734597638
 im trying to pay my bill on my iphone app it doesnt recognise me,INT-sv1appin08-1452167463322-131427,Billing & Payments,Billing & Payments,1.41909487563
" i changed my address over the phone earlier today because the website wouldnt allow me do it online my new address appears on the website now but it is incorrect it says ""apt"" when there is no apt number in my address",ID1204043903,Account Management,Account Management,1.14480401939
good thanks and you my questions are how to change the last name on my acct and how to add my spouse as an authorized user,ID660206718,Account Management,Account Management,0.972962767871
 im trying to register an online account ive entered my personal details and customer number and clicked find account but its just like a spinning loading circle tng that is there for ages and wont go no further,INT-sv1appin05-1452951511994-210137,Account Management,Account Management,1.54026280183
i received a call today from your company about an overdue payment,ID669622196,Billing & Payments,Billing & Payments,1.03970525349
my boiler is not working,INT-sv1appin07-1453105194595-223458,Product or Service Quality issues,Product or Service Quality issues,0.24601774242
im trying to link an external account and dont what online id or pin t want - from the other account i assume but pin or password can you tell me what needs to be put in those 2 fields,INT-va1appin10-1437759507358-66590,Account Management,Account Management,2.31788980253
i did not have to pay for the transfer in germany but now i saw that citibank us charged 15 for each transferi chose citibank as a bank because t told me it was fee to send money from citibank to citibank incoming wire fee,ID1192314381,Fees and charges,Fees and charges,0.552098520648
i was interested in the home care service,INT-va1appin10-1452777654112-1571,Purchase Pricing Enquiry,Purchase Pricing Enquiry,0.312448490629
it says free standard delivery but charging me at checkout,INT-va1appin06-1438009599575-77918,Website Issue,Shipping  & Order Status,0.528255316622
 swan  im trying to see if a payment made electronically has been cleared it is ref16778 made on 926 10599,ID1204778114,Billing & Payments,Billing & Payments,0.203916050975
  _end_ i see that i am entitled to a smart meter upgrade - however i am concerned by reports that t may not be future proofed and are not in line with future specifications _end_ can you help,INT-sv1appin06-1452875070116-203742,Purchase Pricing Enquiry,Purchase Pricing Enquiry,0.774991376047
 i wish to know what wattage ts fridge is but not kwh thanks,INT-va1appin07-1437477623120-42293,Product or Service Details,Product or Service Details,0.250022656803
is the mattress soft or firm,INT-sv1appin09-1438108511757-85233,Product or Service Details,Product or Service Details,0.384670317503
"--am trying to complete ts order and ""oops an exception occurred"" keeps popping up yes k",INT-va1appin09-1445128418642-25593,Website Issue,Website Issue,0.249313179878
my boiler has a fault - the flame indicator light isnt lighting,INT-sv1appin07-1453196822863-232721,Product or Service Quality issues,Product or Service Quality issues,0.608139306751
 my name is  _end_ my mum is moving in to a new property and we are treying to find out who supplies the gas and  _end_ the address is 16 beckets close peterborough pe1 3jl ,INT-va1appin10-1453485989767-21416,"Modifications, Cancellation and Refunds","Modifications, Cancellation and Refunds",0.652878173634
 i am late in paying my bill for sept and need some help in late charges my dad is dying and we have beenrunning back and forth with m and my car broke downmy name is marjorie chaplin,ID667063503,Disputes,Disputes,0.973566005854
can you tell me why i am charged 30 for bank charge thanks,ID1096996769,Fees and charges,Fees and charges,0.59964567654
i am expecting a refund from a better way inc in the amount of 7500,INT-va1appin07-1437748779651-65640,"Modifications, Cancellation and Refunds","Modifications, Cancellation and Refunds",3.02807795817
good thank you and you can i close an account on line,ID1203930398,Account Management,Account Management,0.585903232232
" i am looking to have my boiler serviced and then have boiler cover i am concerned because about a year ago i had a part replaced would ts effect my cover i wouldnt even be able to tell wch part is was because the plumber who repaired it never provided me with a receipt also i tried to get cover from a local company who said my boiler was ""not suitable"" for their scheme do you cover all boilers",INT-va1appin08-1452769158313-1245,Purchase Pricing Enquiry,Purchase Pricing Enquiry,0.726727164716
yes  i am not able to pay my bill on my citi thank you card and it tells me to contact you guys,ID1190473133,Billing & Payments,Billing & Payments,0.594342262886
 i have a question regarding my accountit says that my payment is past due but it is not due until nov 1stsorry my name is esther rubalcava,ID668759242,Billing & Payments,Billing & Payments,0.473023488842
 do you service boilers in schools,INT-sv1appin10-1452870486180-203171,Product or Service Quality issues,Product or Service Quality issues,0.370657592955
 there im not a previous customer but im looking at the boiler repair service,INT-va1appin10-1452759283065-1016,Purchase Pricing Enquiry,Product or Service Quality issues,0.549525694652
 i would like to cancel my homecare agreement please with effect from renewal date  _end_ homecare number 910004299897  _end_ renewal date 040216,INT-va1appin05-1453801322096-62768,"Modifications, Cancellation and Refunds","Modifications, Cancellation and Refunds",0.527365377507
first ts is i would like to close my joint account xxxxxxxx,INT-va1appin05-1437693341366-61730,Account Management,Account Management,1.53184750768
my name is elanai wanted to know if i would get points for a balance transfer,ID663553530,Warranty & Repairs,"Discounts, Offers, Promotions",0.295372448567
i - i dont have an agreement with british gas for boiler servicing but need my boiler serviced - is ts sometng you do with out an annual agreement,INT-sv1appin05-1453202708715-233143,Product or Service Quality issues,Product or Service Quality issues,0.871934531763
 i did a wire transfer today however im being charged 175 i thought as a citigold member there would be no charge for wire transfer,ID1200843956,Fees and charges,Fees and charges,0.540993962192
 there  _end_ i am looking for a landlord cover  _end_ i do not have gas in the property ,INT-va1appin06-1453916986584-79815,Purchase Pricing Enquiry,Purchase Pricing Enquiry,1.51895225724
ezra birnbaum - i just transferred a small balance out of my smart savings ending in 5184 - id like to close ac,INT-va1appin09-1438020408492-78866,Account Management,Account Management,0.738062003035
 i was told that with the citibank checkingsavings account package i have i would not have a service charge if i had 2 direct deposit andor bill pay items per month i have met that criteria yet a service charge of 20 appeared on my checking account on june 11 can you help,ID1147024469,Fees and charges,Fees and charges,0.868625066081
i just found out that monthly service fees were charged from my ch account and wonder why,ID1146305860,Fees and charges,Fees and charges,0.788857184519
 i was wonder what the 34 dollar overdraft charge is for also i lost my atm card,ID1184798118,Fees and charges,Fees and charges,0.67855961865
i am wondering about the rewards on my checking  i recently received a letter that i have to withdraw all rewards by certain date because you are not doing ts anymore,INT-va1appin05-1437651694221-57249,"Discounts, Offers, Promotions","Discounts, Offers, Promotions",1.55613474523
" i was wondering if you could check the status of a refund for me i have the authorization code for said refund it hasnt t my account yet and its been over a week since it was ""posted"" as complete on my paypal account",ID1146573992,"Modifications, Cancellation and Refunds","Modifications, Cancellation and Refunds",1.32478497584
i have a concern about my prepayment meter bill,INT-sv1appin06-1453132844835-225703,Billing & Payments,Purchase Pricing Enquiry,0.632893051903
i recently paid a bill online sent a check to dr sachs apparently i have finished paying them my account balance so t sent the check back to me un-cashed how do i make sure that amount is recognized on my account ,ID1146554029,"Modifications, Cancellation and Refunds",Billing & Payments,0.627985199751
i have automatic payments set up to send a check once each month the most recent payment was never received by the payee and id like to cancel that check and get the money back in my account,ID1187977609,Billing & Payments,Billing & Payments,1.74396178262
 genelia i have just finished setting up auto pay instructions for my credit card account ending in 9561 how many days does it take for these instructions to take effect i guess im wondering if my payment due on july 15th will automatically be debited from the checking account i have just enrolled with or will the auto debit only go into effect from the next billing cycle ie august 15th,ID1146166931,Billing & Payments,Billing & Payments,0.533510756152
our boiler has broke down,INT-sv1appin07-1452887368964-205427,Product or Service Quality issues,Product or Service Quality issues,0.608139306751
i dont see where i can change my password,INT-va1appin05-1437685188025-60979,Account Management,Account Management,1.00929521936
i just ordered ts throw for pick up at a store in south charlotte - called far south charlotte i put in my credit card info and completed the transaction now it says i have no orders pending and i never got the confirmation email i did get a confirm  but didnt write it down bc i thought id get it in my email now it says ts store no longer has ts item in stock i am trying to figure out if ts is after my order or that my order didnt go through im trying to order it from another store but dont want to double order anita k kubin at xxxxxxx no problem it wasnt sp to store it was pick up in store t should have it in stock already do t still have it there,INT-va1appin07-1445135503746-47503,Shipping  & Order Status,Shipping  & Order Status,0.671824057209
 i stopped payment on a check is there a fee associated with that,INT-va1appin06-1437909126393-72786,Billing & Payments,Billing & Payments,0.834527500168
i have homecare 200 wch expires 14216 i wish to change to homecare 2 pound20460 as showing on your web site and cancell homecare 200,INT-sv1appin08-1453133223220-225741,Purchase Pricing Enquiry,Purchase Pricing Enquiry,0.402572077893
i need cancell all of items from order noxxxx-xxxx-9925 ok xxxxxxx becase i need pickup other orders in the store ok thank you i am ok beybey,INT-va1appin05-1445111942003-45450,"Modifications, Cancellation and Refunds",Shipping  & Order Status,0.851841857315
 i want to make my payments automatic from my checking account,ID1207391417,Billing & Payments,Billing & Payments,0.952084048869
"thank  _end_ i was not able to access my account online one of your colleagues sort it out but not i want to track my top up records but there is no option and i cannot see my nectar points the following messages appears "" we are sorry but there is a problem with some of the information you have submitted sorry - ts action is not available for prepayment accounts"" _end_ name eisa mavinzada",INT-sv1appin05-1450796755698-40909,"Discounts, Offers, Promotions","Discounts, Offers, Promotions",0.534181116273
i am well thank you  we will be closing both our savings  checking accounts  at ts time we would like to close the savings first,ID1208533883,Account Management,Account Management,1.04053635406
i have a letter stating i am eligible for the warm home discount and was wondering when i should expect it,INT-va1appin05-1452777730132-1573,"Discounts, Offers, Promotions","Discounts, Offers, Promotions",1.27022047669
i am the executor of my mothers estate and we have been waiting to be allowed to distribute it she had ~37000 in a citibank account wch is now in my name as executorthe account was opened in march ts year  i notice that since august - with no warning - there has been a 30month service charge could you kindly explain why ts suddenly started and why there was no warning that ts would happen would you like the account number i am quite upset are you there,ID1208248423,Fees and charges,Fees and charges,0.245487299638
i scheduled three online bill payments last week and there is no record of them anywhere,ID1205060004,Billing & Payments,Billing & Payments,0.722081538277
i am trying to register on line but its not happening what i want to know is do i still get the warm home discount and if not has anytng replaced it to help me my account ref is 850013365824,INT-sv1appin06-1452523753457-165525,Account Management,"Discounts, Offers, Promotions",0.606803135895
i have recently joined british gas alvin and am trying to access my online account ,INT-sv1appin05-1453035514545-216567,Account Management,Account Management,0.609522792092
someone hacked into my account and made purchases,INT-va1appin10-1437960890513-75022,Disputes,Account Management,1.03576702195
 wanted to know if there was any way that i could get the late fee reverses because i was out of the country,INT-sv1appin09-1436543060582-52715,Fees and charges,Disputes,0.710348033295
just wanted to know can i pay half bill now and make remaining half by end of ts month,INT-sv1appin05-1453122350590-224529,Billing & Payments,Billing & Payments,0.38337916978
so i just moved into a new apartment and i went to go make changes online to my address and actually the address listed is my home address as in my permanent home so im confused because last year in my old apartment i would get all my statements to that address,ID1189163863,Account Management,Account Management,0.697689079818
i changed my email contact address a wle back but have just received a meter reading request on my old email address looking at my account my new email is registered so un sure why it is going to the old email,INT-sv1appin09-1453139840101-226692,Account Management,Account Management,0.650407398141
i am trying to find out if my account has rewards,INT-va1appin08-1437763671612-66954,"Discounts, Offers, Promotions","Discounts, Offers, Promotions",0.92160746443
i wanted to set my new credit card connected to y citibank account,ID1203340465,Account Management,Account Management,0.666390813235
just placed an order yesterday online can i cancel it sure xxxx-xxxx-1976 xxxxxxx we found sometng that fits our decor better right after ordering ok yes,INT-va1appin10-1445124919896-25307,"Modifications, Cancellation and Refunds","Modifications, Cancellation and Refunds",0.333296651851
i want to know how if i can use my payment protection that i have on ts card i still have a job but im not working at the moment im on medical leave from work and not getting much money from my disability checks and i have to pay bill wch is why i havent been able to pay my card bill,ID667082351,Warranty & Repairs,Billing & Payments,0.452049315306
