Client,sessionId,lineNum,lineText,lineBy,L2,L3_old,L3,issueLine
CapOne,ID662268123,1,HI..FORGOT PIN ,2,,Account Information and Modifications,Account Management,1
CapOne,ID662295079,1,How do I make a name change?..theresa ,2,,Account Information and Modifications,Account Management,1
CapOne,ID659324890,1,I noticed my account is restricted,2,,Account Information and Modifications,Account Management,1
CapOne,ID659510240,1,Izell. What is my pin number?,2,,Account Information and Modifications,Account Management,1
CapOne,ID659642705,1,Hi. This is my first time logging into my account...Is there anything that I need to set up through you?,2,,Account Information and Modifications,Account Management,1
CapOne,ID659718030,1,i was wondering if theres anyway i can go about applying for a new joint account ,2,,Account Information and Modifications,Account Management,1
CapOne,ID660331441,1,"i have a quick question, i also have a savings and checking account, can I link all of the accounts into page?",2,,Account Information and Modifications,Account Management,1
CapOne,ID660365051,1,i was wonder can i call you guys & make a pin number over the phone,2,,Account Information and Modifications,Account Management,1
CapOne,ID660391485,1, I currently changed my accommodation status and I want to change my address too,2,,Account Information and Modifications,Account Management,1
CapOne,ID660444095,1,"Keith, can I change the name on my credit card to have a suffix so my statements don't get confused with my fathers?",2,,Account Information and Modifications,Account Management,1
CapOne,ID660449913,1,"How would I be able to set up a pin number for my capitol one credit card?..Good, thank you.",2,,Account Information and Modifications,Account Management,1
CapOne,ID660462004,1,how do i go about getting a PIN for my card.,2,,Account Information and Modifications,Account Management,1
CapOne,ID660644790,1,hi just got my new card in and it is activated just need to set up a pin number,2,,Account Information and Modifications,Account Management,1
CapOne,ID660702919,2,"strange - i have been receiving the CapOne bills at that address...anyway - yes...my home address is 37 silver hill road, ridgefield, ct 06877",2,,Account Information and Modifications,Account Management,1
CapOne,ID660804662,1,"can you send me a pin number, i forgot when i activated the card??..shirley d.",2,,Account Information and Modifications,Account Management,1
CapOne,ID634188279,1,"Rose Foust, I need to change my e mail acct. or just add one as I don't check tis one every day",2,,Account Information and Modifications,Account Management,1
CapOne,ID634292660,1,I HAVENOT USED MY CAPITAL ONE MC IN A LONG TIME. i JUST TRANSFERRED TWO BALANCES TO THIS CAPITAL ONE MASTERCARD. I WANTED TO UPDATE MY EMAIL ADDRESS. i ALSO WANTED TO SEE WHAT MY NEW BALANCE WILL BE ONCE THE FUNDS HAVE BEEN TRANSFERRED,2,,Account Information and Modifications,Account Management,1
CapOne,ID634332754,1,I like to create a PIN for my card,2,,Account Information and Modifications,Account Management,1
CapOne,ID634358781,1,"I was disconnected from Kenneth. I was asking to make sure the PIN for Pauline Velez, last four of card 8117, zip 94707 had not been changed.",2,,Account Information and Modifications,Account Management,1
CapOne,ID634360820,1,Hi. Jim McFayden..I was wondeering how to set up a pin number,2,,Account Information and Modifications,Account Management,1
CapOne,ID634463670,1,I cannot link my wifes card to mine. I am the primary card holder.???,2,,Account Information and Modifications,Account Management,1
CapOne,ID634663951,1,"Hi, i'm fine thank you....how do i request a PIN?",2,,Account Information and Modifications,Account Management,1
CapOne,ID634841232,1,do u charge if i have an add on card for someone else in my account?,2,,Account Information and Modifications,Account Management,1
CapOne,ID635338446,1,"interested in adding my granddaughter to my account with a restricted amt monthly, doable??",2,,Account Information and Modifications,Account Management,1
CapOne,ID635515861,1,i am trying to link my wifes credit card to my account but it keeps telling me it doesnt match the information that you have?,2,,Account Information and Modifications,Account Management,1
CapOne,ID635930630,1,How can I change my mailing adrress..Jessica Alfaro,2,,Account Information and Modifications,Account Management,1
CapOne,ID635956341,1,Angela..I was hoping to see if you might be able to help me change my last name on my account,2,,Account Information and Modifications,Account Management,1
CapOne,ID641917638,1,how do i update my billing information?,2,,Account Information and Modifications,Account Management,1
CapOne,ID642011451,1,"I would like a second card on my account for my wife, and my day has been good",2,,Account Information and Modifications,Account Management,1
CapOne,ID642234262,1,I just got married and need to change my name on my account how do i do that?,2,,Account Information and Modifications,Account Management,1
CapOne,ID642359653,1,hi im trying to change my ID and Password where do I go,2,,Account Information and Modifications,Account Management,1
CapOne,ID642466023,1,my name is joe..i would like to add a credit card with my son's name on it,2,,Account Information and Modifications,Account Management,1
CapOne,ID642780488,1,Well I need to change my email address on my account from my work email to personal email address,2,,Account Information and Modifications,Account Management,1
CapOne,ID642858201,1,How do I add my finacee to my account,2,,Account Information and Modifications,Account Management,1
CapOne,ID642884255,1,Hello my name is Tabitha...I was curious how I could find the account number and routing number of my account.,2,,Account Information and Modifications,Account Management,1
CapOne,ID642950592,1,Kelli Meyer..How do I get a PIN #?,2,,Account Information and Modifications,Account Management,1
CapOne,ID643115033,1,i would like to remove an authorized user off my account,2,,Account Information and Modifications,Account Management,1
CapOne,ID643178144,1,i have old bank acct numbers listed how can i get rid of them..to your questin hot,2,,Account Information and Modifications,Account Management,1
CapOne,ID643548549,1,"Great, I am trying to acquire a PIN in order to use my capital one card for a cash withdrawal",2,,Account Information and Modifications,Account Management,1
CapOne,ID643623525,1,I need to confirm that my name on my account confirms as Margaret Olivera ,2,,Account Information and Modifications,Account Management,1
CapOne,ID644441036,1,My name is Regina. I would like to know what is the routing number for capital one banking. I have a money market account that I would like to link to my credit card.,2,,Account Information and Modifications,Account Management,1
CapOne,ID644589450,1,I just want to verify that my credit card has been cancelled.,2,,Account Information and Modifications,Account Management,1
CapOne,ID644698224,1,where do I go to change my address on my account,2,,Account Information and Modifications,Account Management,1
CapOne,ID644751928,1,How do I obtain a Capitol One card for my wife?,2,,Account Information and Modifications,Account Management,1
CapOne,ID663184077,1,hi how to get a pin to be able to take out cash advance on atm?,2,,Account Information and Modifications,Account Management,1
CapOne,ID663356365,1,"ok, and how do I go about getting a pin # for my Capital One card?",2,,Account Information and Modifications,Account Management,1
CapOne,ID663426353,1,well can you assist with balances and credit available?,2,,Billing,Billing & Payments,1
CapOne,ID663441522,1,using capitol one checkes..checks..i would like to know the 15.24% APR will start from the transaction date or from the balance left on the bill,2,,Billing,Billing & Payments,1
CapOne,ID663513083,1,hi my name is rafael sandoval on thed balance its sais 4.65 what does that mean,2,,Billing,Billing & Payments,1
CapOne,ID663531955,1,"Hello Alex, what I really need is some purchase checks. The ones I have say use by March 5, 2010. Can you send a new set of 3 or 4?",2,,Billing,Billing & Payments,1
CapOne,ID663560548,1,The available credit on my secured card was ***** $ and i've made a few purchases over the past couple of days ...and th remaining credit now is *****.59 ...and the balance is 36.57 $ ... i wanna know what this balance of 36.57 $ is ?,2,,Billing,Billing & Payments,1
CapOne,ID663626804,1,when i started with *****..my question is why is my balance show 0.00,2,,Billing,Billing & Payments,1
CapOne,ID663633043,1,yes..Elisa Huff - just received my new card - wondering what the interest rate is..52806..Elisa Huff..5370,2,,Billing,Billing & Payments,1
CapOne,ID663661846,1,can a cash advance offer be picked up at a capital one banking location,2,,Billing,Billing & Payments,1
CapOne,ID663685393,1,jorge..hellodo I need to have the credit available on my card?,2,,Billing,Billing & Payments,1
CapOne,ID663727191,1,"I am checking my current account specifications. %, end date etc.. can you help me?..ok",2,,Billing,Billing & Payments,1
CapOne,ID663741099,1,Why is the APR 17.9% when my APR is 9.99%?,2,,Billing,Billing & Payments,1
CapOne,ID663756881,1,"I know my payments are due on the 4th..I am well, thank you.I made some balance transfers and I don't see a payment due yet..yes please..Kristin L ONeill",2,,Billing,Billing & Payments,1
CapOne,ID663760311,1,I trie to get cash advance from my cridet card but the ATM machine rejacted that. I don't know why??!!,2,,Billing,Billing & Payments,1
CapOne,ID663762762,1,"Mr. Perez, I was looking to see if you had any offers for me. I was hoping for a 0% offer.",2,,Billing,Billing & Payments,1
CapOne,ID663775286,1,Can I get cash from my card?,2,,Billing,Billing & Payments,1
CapOne,ID663826757,1,can u explain..i had a balanced of $***** on ma credit card and paid $50 last 2 days but it says i have a balance of $*****.52..k,2,,Billing,Billing & Payments,1
CapOne,ID663864326,1,"My name is Harold Griffin and I am requesting info on an account in my wife's name, Wanda L Griffin. She received balance transfer checks with 0% for 12 months on an account ending in 8795. She has not located this card and we have not used it. Is this account still open or was it closed. I do not need to know any more than if it is open or not.",2,,Account Information and Modifications,Account Management,1
CapOne,ID663866703,1,Basically when the no interest expires on my account..I am trying to figure out when I need to pay off the balance transfer I made last November. Can you help me with that?,2,,Billing,Billing & Payments,1
CapOne,ID663872977,1,How can i save money on interest rates,2,,Billing,Billing & Payments,1
CapOne,ID663885870,1,I need to know the terms on my credit card,2,,Billing,Billing & Payments,1
CapOne,ID663890833,1,hi - Rhonda - quick question - do you know off hand the payment percentage? 2.5% 3%..of the outstanding balance?,2,,Billing,Billing & Payments,1
CapOne,ID663912863,1,i am wondering what my interest rate is,2,,Billing,Billing & Payments,1
CapOne,ID663918073,1,I'm looking at my account and says I have a balance of 57.44 and 32.99 do not understand accessible it is?,2,,Billing,Billing & Payments,1
CapOne,ID663937093,1,"I've requested a replacement card, but I'm wanting to make a purchase online for a halloween costume, and I don't know the expiration date of my credit card...are you able to give me that information?",2,,Account Information and Modifications,Account Management,1
CapOne,ID664004653,1,Chen-Ding Hu 94404..sure..just wanted to know what my balance transfer rate would be for my two accounts,2,,Billing,Billing & Payments,1
CapOne,ID664004973,1,i was just wondering what the fees are for balance transfers and what the apr would be if i transfer a balance,2,,Billing,Billing & Payments,1
CapOne,ID664008732,1,What is my purchase rate? So... How would that work if I do request for a no hassle check to be sent to me. If I pay it off right away will I have to pay intrest?,2,,Billing,Billing & Payments,1
CapOne,ID664020260,1,i want too know my account balance please,2,,Billing,Billing & Payments,1
CapOne,ID664046411,1,Brian..I have three balance transfers but before I do I would like to know what the APR rate is..yes,2,,Billing,Billing & Payments,1
CapOne,ID664212879,1,Hi. I have an account that is negative and would like to to do a cash advance from capital one or no hassle check to pay that debt. Can you let me know my options?,2,,Billing,Billing & Payments,1
CapOne,ID664230746,1,My bill is due on 10/11/11 should this be paid by then.,2,,Billing,Billing & Payments,1
CapOne,ID664269482,1,"this is actually my first credit card..sorry if that was confusing..my first payment due date is oct 12. if i pay all of that now. and continue to charge funds to it before the 12, will they still be due then or next month?",2,,Billing,Billing & Payments,1
CapOne,ID664306670,1,"hi paula, can you tell me when my balance will be updated? & i was wondering if i can transfer back into my checking account",2,,Billing,Billing & Payments,1
CapOne,ID664357414,1,I am wondering why I don't have any available balance.,2,,Billing,Billing & Payments,1
CapOne,ID664380568,1,hey kevin how do i know whats due on my bill. cause i just got the card in i want to pay the whole thing off friday!,2,,Billing,Billing & Payments,1
CapOne,ID664445380,1,i hae a question about cash advance fees..william g...if i use a 20 cash advance how much is the fee from you?,2,,Billing,Billing & Payments,1
CapOne,ID664474007,1,theresa. my bank of america bill has a different billing address..so do i change it,2,,Account Information and Modifications,Account Management,1
CapOne,ID664552357,1,and about my bill,2,,Billing,Billing & Payments,1
CapOne,ID664559163,1,i dont have my pin number yet can i get a cash advance on my bank..my name is joe,2,,Billing,Billing & Payments,1
CapOne,ID664643695,1,"i need to set a pin for my account, also what is my daily withdrawal limit. i know my cash advance limit is 3750",2,,Account Information and Modifications,Account Management,1
CapOne,ID664748519,1,"i actually have a different question, i have forgot my password and i try to log in too many times for my checking account but now i think i remember it but i can't log in. Help?",2,,Account Information and Modifications,Account Management,1
CapOne,ID664764442,1,I was looking to get a cash advance check?,2,,Billing,Billing & Payments,1
CapOne,ID664772704,1,I had a question regarding credit refund.,2,,Billing,Billing & Payments,1
CapOne,ID664831711,1,"If I transfer a balance, when will my first payment be due?",2,,Billing,Billing & Payments,1
CapOne,ID664856040,1,i can'tfind my dell account and my password never works when i try to make my payment online,2,,Account Information and Modifications,Account Management,1
CapOne,ID664859189,1,CAn I do a cash advance to my checking account,2,,Billing,Billing & Payments,1
CapOne,ID664871347,1,I was wondering if you can give a pin to withdraw from my credit car $*****,2,,Account Information and Modifications,Account Management,1
CapOne,ID664943674,1,what would my APR be? and what would a payment be?..Kenneth B. Morrocco 48076..5344..8/9/49 5406,2,,Billing,Billing & Payments,1
CapOne,ID664956874,1,TIM JOHNSON FROM MINGO AUTO..I WAS WORRYING WHAT TODAYS BALANCE IS..OK,2,,Billing,Billing & Payments,1
CapOne,ID664962145,1,"Hi, I am wondering if I transfer a balance from another card to Capital One for the special 0% offer, how does my monthly payment get disbursed?",2,,Billing,Billing & Payments,1
CapOne,ID664965710,1,i was wondering how come i cannot see my my next pay period ends,2,,Billing,Billing & Payments,1
CapOne,ID664974380,1,"I have a question, it is not about transferring but about what my interest rate is for cash with drawals",2,,Billing,Billing & Payments,1
CapOne,ID664982078,1,"I have an American Express Credit Card and I would like to transfer my balance on that card to my Capital one card. I know there are 2 options. I just have a question on the No Fee option. If I transfer the balance with the no fee option does that mean that if I pay my entire bill on the due date, I have nothing extra to pay?",2,,Billing,Billing & Payments,1
CapOne,ID665021397,1,"how much would my minumin payment be if i transfered $10,*****",2,,Billing,Billing & Payments,1
CapOne,ID665045025,1,What would my interest rate be if I transferred a balance of another credit card?,2,,Billing,Billing & Payments,1
CapOne,ID665072408,1,"I notice there are no fees for balance trasnfers, however, does that mean I will be required to pay interest on the transferred amount, begining immediatey?",2,,Billing,Billing & Payments,1
CapOne,ID665075146,1,I was wondering how much the monthly payment would be if I transfer a balance of $4000?,2,,Billing,Billing & Payments,1
CapOne,ID665094161,1,My name is Elizabeth Dean and I had some questions in regards to transferring a balance..How do the payments work in terms of my capitol one balance vs. my transfer balance...so for example if I paid $*****.00 what part of that would go to cap one and what part would go towards the transferred?,2,,Billing,Billing & Payments,1
CapOne,ID665104813,1,"Hi ,..I have a question about balance transfers..When I transfer a balance to Cap One at the 5.99%, and there is a balance on the account already, how are the payments applied to the balances?",2,,Billing,Billing & Payments,1
CapOne,ID665118281,1,"Can you tell me how the minimum payment is calculated? Let's I transfer $5,*****, what would my minimum monthly payment be?..April",2,,Billing,Billing & Payments,1
CapOne,ID665190674,1,I am actually wondering about balances and available credit. Can you help me with that?,2,,Billing,Billing & Payments,1
CapOne,ID665199879,1,what is the rate for cash advance on my card,2,,Billing,Billing & Payments,1
CapOne,ID665214090,1,good because that bill is due!!! lets hope sooner instead of later. thanks,2,,Billing,Billing & Payments,1
CapOne,ID665219350,1,"HERES THE THING, I NEED TO DEPOSIT MONEY INTO MY BANK ACCOUNT TODAY. I NEED $***** ASAP. SO IM TRYING TO SEE MY OPTIONS, CAN I TRASNFER FROM MY CAPITALONE CARD TO MY BANK OR GET CASH BACK WHEN I GO TO THE STORE TO BUY SOMETHING",2,,Billing,Billing & Payments,1
CapOne,ID665221488,1,I am not looking for balance transfer option..I do have some other questions..I have been running with the incorrect name on my account,2,,Account Information and Modifications,Account Management,1
CapOne,ID665255656,1,MY NAME IS MADELEIME LEIVA .I WOULD LIKE TO KNOW IF I CAN DO SOME CASH ADVANCE..SO I WILL BE ABLE TO USE MY CARD,2,,Billing,Billing & Payments,1
CapOne,ID665286668,1,when is my payment due of my balance?,2,,Billing,Billing & Payments,1
CapOne,ID665350450,1,I have a question. The APR on my card for purchases and for the balance transfer is 3.25%. I am needing to know if that APR will stay at the % throughout my transfer until it is paid off. I cannot find any info on the website addressing this issue. Thanks,2,,Billing,Billing & Payments,1
CapOne,ID665369627,1,Got ya I think Im good. What is my current rate on my account?,2,,Billing,Billing & Payments,1
CapOne,ID665384666,1,just trying to change my password,2,,Account Information and Modifications,Account Management,1
CapOne,ID665399212,1,I wanna learn by last transaction,2,,Billing,Billing & Payments,1
CapOne,ID665481415,1,"Ray..I recently transfered some balance to pay my bill which was due on the 4th of this month..is this just due to a delay in the payment processing ?..It shows that the payment has been posted, but it shows that the available balance is still not the max",2,,Billing,Billing & Payments,1
CapOne,ID665503048,1,Katharine..I am doing well. I was interested in finding a different credit card with a lower interest rate. The Sony card i currently have has a very high interest rate...What is the APR on the new card?,2,,Billing,Billing & Payments,1
CapOne,ID665514002,1,"good afternoon, my limit was paid but my account is showing a zero balance",2,,Billing,Billing & Payments,1
CapOne,ID665520451,1,I would like to know what they APR rate would be if I do a transfer?,2,,Billing,Billing & Payments,1
CapOne,ID665521694,1,my question refers to my balance and available credit... why cant i use my balance..this is my social# 9270..william fleming 30294 ellenwood g.a...12/15/1991,2,,Billing,Billing & Payments,1
CapOne,ID665555225,1,Did I get charged $33.43 in a charge for Adobe photo?,2,,Billing,Billing & Payments,1
CapOne,ID663176370,1,"My name is Kelsey, I see an interest charge for purchases on my account and I'm just curious what that was for",2,,Billing,Billing & Payments,1
CapOne,ID663298833,1,"Hello, I have a charge on my account that I have no clue what it is. Can you help me",2,,Billing,Billing & Payments,1
CapOne,ID663759559,1,So how much do I need to pay monthly to pay this bill out in 6 months with the interst,2,,Billing,Billing & Payments,1
CapOne,ID663855409,1,I have not recieved a statement in two months. I think you still have my old address,2,,Billing,Billing & Payments,1
CapOne,ID663974386,1,I was able to print out the last 13 statements but will pay for previous statements to be mailed to me...Do you know how much the fee is per statement?,2,,Billing,Billing & Payments,1
CapOne,ID664146238,1,Hello..I have forgot my user name and password and I need to make a payment and the email address you have on file is my old one and I need to up date that and get my user name and password so I can make a payment..the email you have is ***** and my new one is *****,2,,Account Information and Modifications,Account Management,1
CapOne,ID664235119,1,hi there...i wish to remove 2 of my 4 accounts in the linked accounts....how to remove them ?,2,,Account information and modifications,Account Management,1
CapOne,ID664240512,1,I would like my work phone removed & cell number added...***** Chadly,2,,Account Information and Modifications,Account Management,1
CapOne,ID664240982,1,what would my payments be?,2,,Billing,Billing & Payments,1
CapOne,ID664284073,1,ok My Sony Chase card is now Capital One. I want to know what the balance is. The account # was *****,2,,Billing,Billing & Payments,1
CapOne,ID664391456,1,i would like to remove one of my accounts..my name is rayleisha taylor,2,,Account information and modifications,Account Management,1
CapOne,ID664614533,1,I need my full account number. I am viewing my account online but it only shows the last 4 digits of my account.,2,,Account Information and Modifications,Account Management,1
CapOne,ID665035923,1,how much are fees,2,,Billing,Billing & Payments,1
CapOne,ID665071486,1,So can you tell me how much would still be due after that payment to get it caught up?,2,,Billing,Billing & Payments,1
CapOne,ID666681327,1,"I have 3 accounts...all signed up for paperless billing. recently, within the last 3 months I have been receiving statements again after not receiving for over a year. The account 8511 is now overdue because I didn't get either a paper statement or a paperless statement. This is the 3rd time I have asked about the billing process and each time they say it is fixed. Now I am overdue and being charged a late fee",2,,Billing,Billing & Payments,1
CapOne,ID666681776,1,I was wondering if our interest rate will ever go down once I have the account paid and up to date?..I also will be paying at least $60.00 tomorrow maybe more.,2,,Billing,Billing & Payments,1
CapOne,ID666714652,1,I am trying to locate my account number for card ending in 1206.,2,,Account Information and Modifications,Account Management,1
CapOne,ID666767480,1,"Hi we have not received a bill for this card, therefore I logged on to see what was going on and it's really past due. why are we not receiving bills?",2,,Billing,Billing & Payments,1
CapOne,ID666772299,1,Hi..I'm just trying to figure out where can I see my last payment.,2,,Billing,Billing & Payments,1
CapOne,ID666858557,1,"I was just on the phone with NCO financial who has my account at this time, but I wanted to contact someone in Capital One who can explain A 5.00 member fee that I noticed on my bill. I never really check the bills, I usually pay by bill pay or go on the Cap1 site and just pay the amount due. Can you explain the member fee to me and why is it being charged?",2,,Billing,Billing & Payments,1
CapOne,ID666862195,2,"My last name has changed, how can I change that with you guys?",2,,Account Information and Modifications,Account Management,1
CapOne,ID667058589,1,can you tell me what my monthly pymnt is so that I can pay it bc online it just says that i owe like ***** right now,2,,Billing,Billing & Payments,1
CapOne,ID667063503,1,how much is that going to be?,2,,Billing,Billing & Payments,1
CapOne,ID667099049,1,"I am adding a payment account to my online banking account, but the account I need to add is a bank account from Spain...How do I link that account to my credit card?",2,,Account Information and Modifications,Account Management,1
CapOne,ID665035923,1,how much are fees,2,,Billing,Billing & Payments,1
CapOne,ID665071486,1,So can you tell me how much would still be due after that payment to get it caught up?,2,,Billing,Billing & Payments,1
CapOne,ID665104360,1,"HI I have a CC and I make a few payments a month sometimes more then what was owed, this month I got his with a fee..can you tell me why..it went on my credit report..Im Heather A Henderson",2,,Billing,Billing & Payments,1
CapOne,ID665124612,2,"Ok, so in order for my account not to acrue intrest I need to pay the minimum payment on top of the $41 Is that correct?..So that i can get my credit card payed off",2,,Billing,Billing & Payments,1
CapOne,ID665125057,1,When does the first payment start and what are the amounts?,2,,Billing,Billing & Payments,1
CapOne,ID665133599,2,then when will my next payment be due,2,,Billing,Billing & Payments,1
CapOne,ID665142132,1,how do I look at my account and find out what the $30.99 charge is for?..I'm john r clark the pres of southern skies and the card holder,2,,Billing,Billing & Payments,1
CapOne,ID665327479,2,I never received my statement this month.,2,,Billing,Billing & Payments,1
CapOne,ID665412789,2,"yes, please..how long does the process take to get enrolled in autopay?..and how far out can I schedule payments online?",2,,Payment,Billing & Payments,1
CapOne,ID665413667,1,My name is Stephanie C Madigan and I would like to change our payment due date.,2,,Billing,Billing & Payments,1
CapOne,ID665421804,1,"I moved a couple of times due to a fire in our house...And had a couple late payments...The address that I am currently at is E19415 Old US 2, Watersmeet, MI 49969..Now, (?)..First of all, how do you make payments ahead of time. Some charge cards offer th",2,,Payment,Billing & Payments,1
CapOne,ID665429266,1,set payments up on my two accounts for 10/16/11,2,,Payment,Billing & Payments,1
CapOne,ID665434820,1,hello Evon..i am ready to make a payment. I have had major financial difficulty for several months. I want to set up an arrangement that is workable. i was offered a lower monthly payment for my account ending in 2426..but not this one. Can you help me ou,2,,Payment,Billing & Payments,1
CapOne,ID665448296,1,"Okay, can you tell me what is the total balance as of the 15th of this month, because I have a payment there, but I want to make sure it is the full balance.",2,,Billing,Billing & Payments,1
CapOne,ID665467305,1,"ok, i am going to make the payment now of $*****.00..i have another payment of $*****.00 scheduled for Oct 19, 2011 as well..please note my account",2,,Payment,Billing & Payments,1
CapOne,ID665473882,2,ok..when would the first payment be due?,2,,Billing,Billing & Payments,1
CapOne,ID665473883,1,"Evon,..I am past due on my account. I can not make the full payment. Trying to schedule to pay $*****.00 on 10/14 and will pay another $*****.00 on 10/28. The system will not allow me to schedule these dates. Can you assist me?",2,,Payment,Billing & Payments,1
CapOne,ID665480450,1,Evon I just wat to make sure that I have two payments set up fo Octobe and November for ***** I believe?! From what me and the girl spoke about last month,2,,Payment,Billing & Payments,1
CapOne,ID665501768,1,"Hello, my name is Quiana Barrett..I'd like to make arragnements to get my account back on track",2,,Payment,Billing & Payments,1
CapOne,ID665501768,2,"Ok, can you change the dates to the 25th? I don't get paid until the 25th of every month...So there is no other amounts or alternatives? to keep my card.",2,,Billing,Billing & Payments,1
CapOne,ID665532825,1,i want to change to another checking account to pay on line how do i do,2,,Payment,Billing & Payments,1
CapOne,ID665541268,1,I just paid *****.00 from the paast due..confirmation # *****23,2,,Payment,Billing & Payments,1
CapOne,ID665543309,1,"I scheduled payments over the phone for my acct ending in 1513 and my account ending in 8207 but I don't see them in my pending or scheduled payment online, why?..My name is Martha Ruiz",2,,Payment,Billing & Payments,1
CapOne,ID666213767,1,"I made a payment online to post to my account 10/3, I got a phone call yesterday saying that it did not post. I looked on line and realized that I put the wrong routing number for my bank. I made a payment today for *****.00 directly from my bank. Because",2,,Payment,Billing & Payments,1
CapOne,ID666229363,1,I am having trouble paying regular payments on my account I would like to set up a hardship arrangement if possible until I can strart amking regular payments again..Donna Brouwer,2,,Payment,Billing & Payments,1
CapOne,ID666307236,1,"Yes I would like to make a promise to pay. On Oct.24, 2011 I will pay my account in full, $*****.03. And after this payment will my available balance still be $*****?..This is Yolanda Hairston",2,,Payment,Billing & Payments,1
CapOne,ID666315439,1,I do not see that on the account since I was over by *****. if the payment of 45 why I am still over by 60.00,2,,Billing,Billing & Payments,1
CapOne,ID666317738,1,"I just got a call about my account being late. I was on automatic payments, but I can't seem to see them coming from my bank account.......I wasn't sure if I set them up w/CapOne's website",2,,Payment,Billing & Payments,1
CapOne,ID666327925,1,i want to some money towards my accounts but i only have an edd credit/debit card,2,,Billing,Billing & Payments,1
CapOne,ID666346976,1,"Hi Renia, My account shows multiple late payment fees when I have not used my card in months..I do remember someone called me a few months ago for a 23$ payment and I made hat",2,,Billing,Billing & Payments,1
CapOne,ID666357786,1,I need to know about the fee of $51.85?,2,,Billing,Billing & Payments,1
CapOne,ID666367419,1,I paid off my balance in full in May and now I have *****$ in charges...that is made up of fees and interest,2,,Billing,Billing & Payments,1
