ruleId,ruleDesc,phrase1,operator,phrase2,=>,l1Category,l2Category,returnType,, 
125,None,teach,AND,skills,=>,Agent,Communication,flag,,
126,None,teach,AND,skill,=>,Agent,Communication,flag,,
127,None,teach,AND,skilled,=>,Agent,Communication,flag,,
128,None,teach,AND,language,=>,Agent,Communication,flag,,
129,None,teach,AND,english,=>,Agent,Communication,flag,,
130,None,train,AND,grammer,=>,Agent,Communication,flag,,
131,None,train,AND,spelling,=>,Agent,Communication,flag,,
132,None,train,AND,fluent,=>,Agent,Communication,flag,,
133,None,train,AND,skills,=>,Agent,Communication,flag,,
134,None,train,AND,skill,=>,Agent,Communication,flag,,
135,None,train,AND,skilled,=>,Agent,Communication,flag,,
136,None,train,AND,language,=>,Agent,Communication,flag,,
137,None,train,AND,english,=>,Agent,Communication,flag,,
138,None,learn,AND,grammer,=>,Agent,Communication,flag,,
139,None,learn,AND,spelling,=>,Agent,Communication,flag,,
140,None,learn,AND,fluent,=>,Agent,Communication,flag,,
141,None,learn,AND,skills,=>,Agent,Communication,flag,,
142,None,learn,AND,skill,=>,Agent,Communication,flag,,
143,None,learn,AND,skilled,=>,Agent,Communication,flag,,
144,None,learn,AND,language,=>,Agent,Communication,flag,,
145,None,learn,AND,english,=>,Agent,Communication,flag,,
146,None,human,AND,human,=>,Agent,Canned Responses,flag,,
147,None,robot,AND,robot,=>,Agent,Canned Responses,flag,,
148,None,automated,AND,automated,=>,Agent,Canned Responses,flag,,
149,None,real,AND,person,=>,Agent,Canned Responses,flag,,
150,None,staffing,AND,levels,=>,Agent,Availability,flag,,
151,None,staffing,AND,level,=>,Agent,Availability,flag,,
152,None,was,AND,directed to,=>,Process,Transfer,flag,,
153,None,wait,AND,too long,=>,Agent,Availability,flag,,
154,None,wait,AND,forever,=>,Agent,Availability,flag,,
155,None,waited,AND,forever,=>,Agent,Availability,flag,,
156,None,not ,AND,faulty,=>,Agent,Knowledge,flag,,
157,None,not ,AND,aware,=>,Agent,Knowledge,flag,,
158,None,not,AND,aware,=>,Agent,Knowledge,flag,,
159,None,that's ,AND,great,=>,Agent,Communication,flag,,
160,None,repeat ,AND,question,=>,Agent,Communication,flag,,
161,None,repeat ,AND,question,=>,Agent,Communication,flag,,
162,None,talk ,AND,politely,=>,Agent,Communication,flag,,
163,None,proper ,AND,english,=>,Agent,Communication,flag,,
164,None,proper ,AND,english,=>,Agent,Communication,flag,,
165,None,talk ,AND,politely,=>,Agent,Communication,flag,,
166,None,pay ,AND, attention,=>,Agent,Communication,flag,,
167,None,trained ,AND,answer,=>,Agent,Communication,flag,,
168,None,trained ,AND,answer,=>,Agent,Communication,flag,,
169,None,received ,AND,conflicting,=>,Agent,Response Time And Efficiency,flag,,
170,None,received ,AND,conflicting,=>,Agent,Response Time And Efficiency,flag,,
171,None,conflicting ,AND,message,=>,Agent,Response Time And Efficiency,flag,,
172,None,services,AND,difficult,=>,Agent,Resolution,flag,,
173,None,doesn't,AND,help,=>,Agent,Resolution,flag,,
174,None,doesn't,AND,help,=>,Agent,Resolution,flag,,
175,None,difficult,AND,understand,=>,Agent,Communication,flag,,
176,None,difficult,AND,understand,=>,Agent,Communication,flag,,
177,None,wasn't ,AND,helpful,=>,Agent,Communication,flag,,
178,None,wasn't ,AND,professional,=>,Agent,Communication,flag,,
179,None,didn’t,AND,assist,=>,Agent,Communication,flag,,
180,None,didn’t,AND,assist,=>,Agent,Communication,flag,,
181,None,hard,AND,solve,=>,Agent,Resolution,flag,,
182,None,hard,AND,solve,=>,Agent,Resolution,flag,,
183,None,solve ,AND,matter,=>,Agent,Resolution,flag,,
184,None,solve ,AND,matter,=>,Agent,Resolution,flag,,
185,None,upgrade,AND,Plan,=>,Product/plan,Product,flag,,
186,None,educate,AND,team,=>,Agent,Comprehension,flag,,
187,None,educate ,AND,team,=>,Agent,Comprehension,flag,,
188,None,lack,AND,Knowledge,=>,Agent,Comprehension,flag,,
189,None,Knowledge,AND,Knowledge,=>,Agent,Comprehension,flag,,
190,None,service,AND,Knowledge,=>,Agent,Comprehension,flag,,
191,None,kept ,AND,repeating,=>,Agent,Comprehension,flag,,
192,None,kept ,AND,repeating,=>,Agent,Comprehension,flag,,
193,None,kept ,AND,repeating,=>,Agent,Comprehension,flag,,
194,None,complete,AND,opposite,=>,Agent,Communication,flag,,
195,None,complete,AND,opposite,=>,Agent,Communication,flag,,
196,None,service,AND,slow,=>,Agent,Communication,flag,,
197,None,service,AND,slow,=>,Agent,Communication,flag,,
198,None,never,AND,understand,=>,Agent,Comprehension,flag,,
199,None,not,AND,available,=>,Agent,Availability,flag,,
200,None,not ,AND,available,=>,Agent,Availability,flag,,
201,None,bad,AND, experience,=>,Agent,Resolution,flag,,
202,None,resolve,AND,chatroom,=>,Agent,Resolution,flag,,
203,None,resolve,AND,chatroom,=>,Agent,Resolution,flag,,
204,None,complex,AND,Issue,=>,Agent,Resolution,flag,,
205,None,confusing,AND,bill,=>,Product/plan,Pricing,flag,,
206,None,change,AND,Plan,=>,Product/plan,Product,flag,,
207,None,change,AND,Plan,=>,Product/plan,Product,flag,,
208,None, consultant,AND,fine,=>,Agent,Helpfulness,flag,,
209,None,Experience,AND,fine,=>,Agent,Helpfulness,flag,,
210,None,Experience,AND,fine,=>,Agent,Helpfulness,flag,,
211,None,billing,AND,rorted,=>,Product/plan,Pricing,flag,,
212,None,disappointed,AND,service,=>,Agent,Resolution,flag,,
213,None,disappointed,AND,service,=>,Agent,Resolution,flag,,
214,None, hope,AND,bill isn't too high,=>,Product/plan,Pricing,flag,,
215,None,great,AND,help,=>,Agent,Helpfulness,flag,,
216,None,annoying,AND,Issue,=>,Agent,Resolution,flag,,
217,None,annoying,AND,Issue,=>,Agent,Resolution,flag,,
218,None,provide,AND,service,=>,Agent,Resolution,flag,,
219,None,bills,AND,hard,=>,Product/plan,Pricing,flag,,
220,None,bills,AND,understand,=>,Product/plan,Pricing,flag,,
221,None,matter,AND,resolved,=>,Agent,Resolution,flag,,
222,None,disgusting,AND,disgusting,=>,Agent,Resolution,flag,,
223,None,warn,AND,people,=>,Product/plan,Pricing,flag,,
224,None,cycle,AND,complicated,=>,Process,Information,flag,,
225,None,cycle,AND,complicated,=>,Process,Information,flag,,
226,None,improve,AND,Website,=>,Process,Information,flag,,
227,None,improve,AND,Website,=>,Process,Information,flag,,
228,None,won't,AND,recommending,=>,Company,,flag,,
229,None,crap ,AND,service,=>,Agent,Resolution,flag,,
230,None,costing,AND,1 percent,=>,Product/plan,Pricing,flag,,
231,None,cost ,AND,payment,=>,Product/plan,Pricing,flag,,
232,None,didn’t,AND,receive,=>,Agent,Resolution,flag,,
233,None,transperent,AND,service,=>,Agent,Resolution,flag,,
234,None,transperent,AND,service,=>,Agent,Resolution,flag,,
235,None,chat,AND,crap,=>,Agent,Resolution,flag,,
236,None,rung,AND, instead,=>,Tech,Resolution,flag,,
237,None, problem,AND,unsolved,=>,Agent,Resolution,flag,,
238,None,incorrect,AND,information,=>,Agent,Comprehension,flag,,
239,None,poor,AND,service,=>,Agent,Resolution,flag,,
240,None,customer,AND,Knowledge,=>,Agent,Resolution,flag,,
241,None,chasing,AND,Resolution,=>,Agent,Resolution,flag,,
242,None,operator not,AND,resolved,=>,Agent,Resolution,flag,,
243,None,operator,AND,resolved,=>,Agent,Resolution,flag,,
244,None,not ,AND,happy,=>,Agent,Resolution,flag,,
245,None,know,AND,protocol,=>,Agent,Resolution,flag,,
246,None,know ,AND,protocol,=>,Agent,Resolution,flag,,
247,None,handled,AND,differently,=>,Agent,Resolution,flag,,
248,None,priority,AND,problem,=>,Agent,Resolution,flag,,
249,None,not trained,AND,well,=>,Agent,Comprehension,flag,,
250,None,frustrating,AND,conversation,=>,Agent,Comprehension,flag,,
251,None,frustrating,AND,conversation,=>,Agent,Comprehension,flag,,
252,None,immediate,AND,response,=>,Agent,Response Time And Efficiency,flag,,
253,None,immediate,AND,response,=>,Agent,Response Time And Efficiency,flag,,
254,None,tried,AND,upsell,=>,Agent,Response Time And Efficiency,flag,,
255,None,bill,AND,information,=>,Product/plan,Pricing,flag,,
256,None,information,AND,not available,=>,Process,Information,flag,,
257,None,complaint,AND,telecomunication,=>,Tech,Product,flag,,
258,None,service,AND,mobile,=>,Tech,Product,flag,,
259,None,contract,AND,cost,=>,Tech,Product,flag,,
260,None,answer,AND,phones,=>,Agent,Response Time And Efficiency,flag,,
261,None,webchat,AND,transfers,=>,Agent,Response Time And Efficiency,flag,,
262,None,causing,AND,phone,=>,Agent,Resolution,flag,,
263,None,download,AND,data,=>,Agent,Resolution,flag,,
264,None,blanket,AND,outage,=>,Agent,Resolution,flag,,
265,None,suggeted ,AND,Work,=>,Agent,Resolution,flag,,
266,None,call,AND,no credit,=>,Product/plan,Pricing,flag,,
267,None,usefull,AND,Phone serivice,=>,Agent,Helpfulness,flag,,
268,None,getting ,AND,fixed,=>,Agent,Resolution,flag,,
269,None,respolved,AND,System errors,=>,Agent,Resolution,flag,,
270,None,burnt ,AND,Delivery,=>,Tech,Delay In Delivery,flag,,
271,None,going ,AND,wait,=>,Tech,Delay In Delivery,flag,,
272,None,useless,AND,help,=>,Agent,Resolution,flag,,
273,None,useless,AND,help,=>,Agent,Resolution,flag,,
274,None,change,AND,password,=>,Agent,Resolution,flag,,
275,None,Answer,AND,query,=>,Agent,Resolution,flag,,
276,None,not ,AND,larger,=>,Agent,Resolution,flag,,
277,None,professional ,AND,company,=>,Agent,Resolution,flag,,
278,None,unable,AND,resolve,=>,Agent,Resolution,flag,,
279,None,unable,AND,resolve,=>,Agent,Resolution,flag,,
280,None,problem,AND,hang up,=>,Agent,Resolution,flag,,
281,None,sudden,AND,hang up,=>,Agent,Resolution,flag,,
282,None,lost ,AND,information,=>,Tech,Disconnected,flag,,
283,None,cancel,AND,service,=>,Agent,Resolution,flag,,
284,None,cancel ,AND,service,=>,Agent,Resolution,flag,,
285,None,assistant,AND,impatient,=>,Agent,Comprehension,flag,,
286,None,assistant,AND,rude,=>,Agent,Comprehension,flag,,
287,None,leading ,AND,conversation,=>,Agent,Comprehension,flag,,
288,None,No,AND,Assistance,=>,Agent,Resolution,flag,,
289,None,waiting,AND,answer,=>,Agent,Response Time And Efficiency,flag,,
290,None,minutes,AND,answer,=>,Agent,Response Time And Efficiency,flag,,
291,None,minutes,AND,answer,=>,Agent,Response Time And Efficiency,flag,,
292,None, timely,AND, response,=>,Agent,Response Time And Efficiency,flag,,
293,None, response,AND, questions,=>,Agent,Response Time And Efficiency,flag,,
294,None,unlock,AND,phone,=>,Agent,Resolution,flag,,
295,None,offered ,AND,service,=>,Agent,Resolution,flag,,
296,None,call ,AND,overseas,=>,Agent,Resolution,flag,,
297,None,lack,AND,competitiveness,=>,Tech,Early Upgrade,flag,,
298,None,export,AND,chat,=>,Tech,Early Upgrade,flag,,
299,None,type,AND,faster,=>,Agent,Response Time And Efficiency,flag,,
300,None,reply,AND,fast,=>,Agent,Response Time And Efficiency,flag,,
301,None,reply,AND,fast,=>,Agent,Response Time And Efficiency,flag,,
302,None,too,AND,long,=>,Agent,Resolution,flag,,
303,None,information,AND,first answer,=>,Agent,Response Time And Efficiency,flag,,
304,None,too,AND,slow,=>,Agent,Resolution,flag,,
305,None,wate,AND,time,=>,Agent,Resolution,flag,,
306,None,wrong,AND,dept,=>,Agent,Response Time And Efficiency,flag,,
307,None,took,AND,long,=>,Agent,Response Time And Efficiency,flag,,
308,None,didn’t,AND,address,=>,Agent,Resolution,flag,,
309,None,while,AND,handle,=>,Agent,Response Time And Efficiency,flag,,
310,None,handle,AND,query,=>,Agent,Response Time And Efficiency,flag,,
311,None,faster,AND,responses,=>,Agent,Response Time And Efficiency,flag,,
312,None,cant,AND,wait,=>,Agent,Response Time And Efficiency,flag,,
313,None,wait,AND,long,=>,Agent,Response Time And Efficiency,flag,,
314,None,can't,AND,long,=>,Agent,Response Time And Efficiency,flag,,
315,None,slow,AND,responses,=>,Agent,Response Time And Efficiency,flag,,
316,None,slow,AND,service,=>,Agent,Response Time And Efficiency,flag,,
317,None,slow,AND,service,=>,Agent,Response Time And Efficiency,flag,,
318,None,representative,AND,distracted,=>,Agent,Comprehension,flag,,
319,None,excuse ,AND,multiple chats,=>,Agent,Response Time And Efficiency,flag,,
320,None,exceedingly,AND,slow,=>,Agent,Response Time And Efficiency,flag,,
321,None,no,AND,email address,=>,Agent,Resolution,flag,,
322,None,couldn't ,AND,access,=>,Agent,Login Issue,flag,,
323,None,unnecessary,AND,Chatter,=>,Agent,Login Issue,flag,,
324,None,non recognition,AND,password,=>,Agent,Login Issue,flag,,
325,None,change,AND,password,=>,Agent,Login Issue,flag,,
326,None,setup,AND,myaccount,=>,Agent,Login Issue,flag,,
327,None,fix,AND,website,=>,Tech,Login Issue,flag,,
328,None,time,AND,miscomuniction,=>,Agent,Communication,flag,,
329,None,change,AND,Plan,=>,Company,Company,flag,,
330,None,reminder ,AND,expiry,=>,Agent,Resolution,flag,,
331,None,wait,AND,queue,=>,Agent,Resolution,flag,,
332,None,quite,AND,frustrating,=>,Agent,Response Time And Efficiency,flag,,
333,None,wait,AND,queue,=>,Agent,Resolution,flag,,
334,None,costs,AND,explained,=>,Product/plan,Pricing,flag,,
335,None,costs,AND,explained,=>,Product/plan,Pricing,flag,,
336,None,overview,AND,charges,=>,Product/plan,Pricing,flag,,
337,None,overview,AND,charges,=>,Product/plan,Pricing,flag,,
338,None,receive,AND,password,=>,Agent,Login Issue,flag,,
339,None,tranferring ,AND,agents,=>,Agent,Response Time And Efficiency,flag,,
340,None,receive ,AND,password,=>,Agent,Login Issue,flag,,
341,None,knows,AND,fix,=>,Agent,Resolution,flag,,
342,None,knows,AND,fix,=>,Agent,Resolution,flag,,
343,None,useless,AND,looks,=>,Process,Transfer,flag,,
344,None,useless,AND,looks,=>,Process,Transfer,flag,,
345,None,moved ,AND,department,=>,Process,Transfer,flag,,
346,None,bounced,AND,people,=>,Process,Transfer,flag,,
347,None,passed,AND,departments,=>,Process,Transfer,flag,,
348,None,got ,AND,transferred,=>,Process,Transfer,flag,,
349,None,team,AND,team,=>,Process,Transfer,flag,,
350,None,recover,AND,password,=>,Agent,Login Issue,flag,,
351,None,transferred,AND,someone,=>,Process,Transfer,flag,,
352,None,transferred,AND,someone,=>,Process,Transfer,flag,,
353,None,zero ,AND,Assistance,=>,Agent,Resolution,flag,,
354,None,questions,AND,repeatedly,=>,Agent,Comprehension,flag,,
355,None,long,AND,periods,=>,Agent,Response Time And Efficiency,flag,,
356,None,looking,AND,provider,=>,Agent,Response Time And Efficiency,flag,,
357,None,hard,AND,access,=>,Agent,Authorization,flag,,
358,None,Agent,AND,access,=>,Agent,Authorization,flag,,
359,None,taking ,AND,long,=>,Agent,Resolution,flag,,
360,None,poor,AND,availablity,=>,Agent,Network Issue,flag,,
361,None,poor,AND,availablity,=>,Agent,Network Issue,flag,,
362,None,not,AND,working,=>,Agent,Resolution,flag,,
363,None,not,AND,working,=>,Agent,Resolution,flag,,
364,None,reception,AND,terrible,=>,Agent,Network Issue,flag,,
365,None,reception,AND,terrible,=>,Agent,Network Issue,flag,,
366,None,speed,AND,slow,=>,Agent,Network Issue,flag,,
367,None,bad,AND,speed,=>,Agent,Resolution,flag,,
368,None,bad,AND,speed,=>,Agent,Resolution,flag,,
369,None,service,AND,shit,=>,Agent,Resolution,flag,,
370,None,Service,AND,shit,=>,Agent,Resolution,flag,,
371,None,not ,AND,used,=>,Agent,Resolution,flag,,
372,None,not,AND,not,=>,Agent,Resolution,flag,,
373,None,explained,AND,clearly,=>,Tech,Product,flag,,
374,None,explained,AND,clearly,=>,Tech,Product,flag,,
375,None,numbers,AND,website,=>,Process,Information,flag,,
376,None,numbers,AND,website,=>,Process,Information,flag,,
377,None,destroy,AND,property,=>,Agent,Resolution,flag,,
378,None,improve,AND,website,=>,Process,Information,flag,,
379,None,improve,AND,website,=>,Process,Information,flag,,
380,None,quality,AND,website,=>,Process,Information,flag,,
381,None,quality,AND,website,=>,Process,Information,flag,,
382,None,improve,AND,quality,=>,Process,Information,flag,,
383,None,improve,AND,quality,=>,Process,Information,flag,,
384,None,improve,AND,contact,=>,Agent,Response Time And Efficiency,flag,,
385,None,improve,AND,phone,=>,Agent,Response Time And Efficiency,flag,,
386,None,improve,AND,phone,=>,Agent,Response Time And Efficiency,flag,,
387,None,improve,AND,contact,=>,Agent,Response Time And Efficiency,flag,,
388,None,waiting,AND,line,=>,Agent,Response Time And Efficiency,flag,,
389,None,waiting,AND,line,=>,Agent,Response Time And Efficiency,flag,,
390,None,transferred,AND,several,=>,Process,Transfer,flag,,
391,None,website,AND,confusing,=>,Process,Information,flag,,
392,None,website,AND,confusing,=>,Process,Information,flag,,
393,None,website,AND,misleading,=>,Process,Information,flag,,
394,None,website,AND,misleading,=>,Process,Information,flag,,
395,None,option,AND,immediately,=>,Agent,Response Time And Efficiency,flag,,
396,None,option,AND,immediately,=>,Agent,Response Time And Efficiency,flag,,
397,None,human,AND,helped,=>,Agent,Response Time And Efficiency,flag,,
398,None,human,AND,helped,=>,Agent,Response Time And Efficiency,flag,,
399,None,excellent,AND,service,=>,Agent,Helpfulness,flag,,
400,None,excellent,AND,service,=>,Agent,Helpfulness,flag,,
401,None,satisfied,AND,answer,=>,Agent,Helpfulness,flag,,
402,None,satisfied,AND,answer,=>,Agent,Helpfulness,flag,,
403,None,terrible,AND,service,=>,Agent,Resolution,flag,,
404,None,terrible,AND,service,=>,Agent,Resolution,flag,,
405,None,ability,AND,resolving,=>,Agent,Resolution,flag,,
406,None,ability,AND,resolving,=>,Agent,Resolution,flag,,
407,None,operators,AND,resolving,=>,Agent,Resolution,flag,,
408,None,operators,AND,resolving,=>,Agent,Resolution,flag,,
409,None,send,AND,transcript,=>,Agent,Resolution,flag,,
410,None,problem,AND,unresolved,=>,Agent,Resolution,flag,,
411,None,problem,AND,unresolved,=>,Agent,Resolution,flag,,
412,None,helped,AND,previously,=>,Agent,Resolution,flag,,
413,None,helped,AND,phone,=>,Agent,Resolution,flag,,
414,None,website,AND,frustrating,=>,Tech,Product,flag,,
415,None,website,AND,frustrating,=>,Tech,Product,flag,,
416,None,waiting,AND,confirmation,=>,Agent,Resolution,flag,,
417,None,waiting,AND,confirmation,=>,Agent,Resolution,flag,,
418,None,billing,AND,confusing,=>,Product/plan,Pricing,flag,,
419,None,billing,AND,confusing,=>,Product/plan,Pricing,flag,,
420,None,provide,AND,choice,=>,Process,Information,flag,,
421,None,provide,AND,choice,=>,Process,Information,flag,,
422,None,webpage,AND,confusing,=>,Process,Information,flag,,
423,None,webpage,AND,confusing,=>,Process,Information,flag,,
424,None,service,AND,hopeless,=>,Agent,Resolution,flag,,
425,None,offer,AND,Plan,=>,Company,Company,flag,,
426,None,offer,AND,Plan,=>,Company,Company,flag,,
427,None,review,AND,Plan,=>,Company,Company,flag,,
428,None,review,AND,Plan,=>,Company,Company,flag,,
429,None,easily,AND,accessible,=>,Agent,Availability,flag,,
430,None,easily,AND,accessible,=>,Agent,Availability,flag,,
431,None,improve,AND,experience,=>,Agent,Resolution,flag,,
432,None,improve,AND,technology,=>,Agent,Resolution,flag,,
433,None,improve,AND,technology,=>,Agent,Resolution,flag,,
434,None,still,AND,hold,=>,Agent,Resolution,flag,,
435,None,still,AND,hold,=>,Agent,Resolution,flag,,
436,None,responsibility,AND,resolve,=>,Agent,Resolution,flag,,
437,None,responsibility,AND,resolve,=>,Agent,Resolution,flag,,
438,None,mobile,AND,plans,=>,Tech,Product,flag,,
439,None,mobile,AND,plans,=>,Tech,Product,flag,,
440,None,mobile,AND,plans,=>,Tech,Product,flag,,
441,None,stop,AND,bill,=>,Product/plan,Pricing,flag,,
442,None,stop,AND,bill,=>,Product/plan,Pricing,flag,,
